date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error
2025-02-01,24344.9690579706,466.7347871949,-1280.8608254947,0.0000000000,23530.8430196708,23453.0444331293,44996.1686589824,0.0000000000,285.9119147052,3369.7723802710,19185.3532537735,15370.4166227674,3719.1956290772,1520.6548179639,1709.2320543962,0.0000000000,0.0000000000
2025-02-02,57451.6417530360,696.2245222133,-2252.1765364952,1011.8026219673,56907.4923607214,56993.7154875718,90608.2008367556,145.0405134701,428.1536981736,6141.7103419149,22097.0051829272,18086.6720509823,2673.0736245394,1709.2320543962,1500.2344401615,0.0000000000,0.0000000000
2025-02-03,58394.6401519575,685.2949409642,-2109.9445373072,0.0000000000,56969.9905556146,56786.0730870260,92229.1402484803,0.0000000000,422.8724694454,5902.4321119455,23637.0081063759,18744.7561256670,1640.4121252713,1500.2344401615,1946.0349296032,0.0000000000,0.0000000000
2025-02-04,60158.7238754381,501.1385509012,-2752.7481588170,228.7323935169,58135.8466610391,58346.2395869168,94066.6761297536,103.3260643336,288.8259996173,7015.4717424142,23404.5960794665,19416.7001202495,2260.5965420732,1946.0349296032,1436.0601564013,0.0000000000,0.0000000000
2025-02-05,56195.0933631615,843.4281230061,-1147.0464374568,114.3460978709,56005.8211465817,55960.7113512959,88860.7660938304,16.3913557728,648.8821178003,2829.8095148558,23809.6600574769,19187.4165286422,1325.5595403796,1436.0601564013,1545.4025096392,0.0000000000,0.0000000000
2025-02-06,60367.8784816018,867.9243008246,-3204.3064181535,0.0000000000,58031.4963642729,57917.1648697063,94655.6129468493,0.0000000000,511.8618641975,8897.3876979330,22860.8604140492,18267.8799932873,1406.0494756852,1545.4025096392,1822.5324452977,0.0000000000,0.0000000000
2025-02-07,23414.4424202251,731.3612044342,-1345.6999591724,178.3780766005,22978.4817420874,23215.2356091062,43993.8818871729,36.1418451222,448.7712719686,4124.8615031885,18562.3667559511,15552.0014038185,5537.8884822760,1822.5324452977,1248.6609658552,0.0000000000,0.0000000000
2025-02-08,19563.5628493756,1238.6398440197,-80.3932281228,0.0000000000,20721.8094652725,20526.3466813679,37387.0748226695,0.0000000000,878.7338432073,176.6241552983,18764.2596002185,14772.6434489140,2520.4056426074,1248.6609658552,1722.4463294807,0.0000000000,0.0000000000
2025-02-09,55672.9335685622,510.1274332975,-840.0177115242,0.0000000000,55343.0432903354,55458.6564486125,88049.2800123748,0.0000000000,368.3956741698,2369.0554090950,22191.7083127724,18227.4966560616,2528.9926540722,1722.4463294807,1442.2097486852,0.0000000000,0.0000000000
2025-02-10,52683.0004045330,411.0859825051,-1626.1088036933,90.4613521391,51558.4389354838,51646.6733210110,83892.4639545187,31.5845086480,259.6982060975,4482.8994826056,22984.5383370884,18809.9615156784,1199.6327819152,1442.2097486852,1228.3370124220,0.0000000000,0.0000000000
2025-02-11,53776.9131939763,824.3146498638,-2485.0835702167,5164.4346361637,57280.5789097870,57231.4845658530,85246.1406316238,971.7081977008,466.2628386855,6127.2906124212,23498.7803306087,18926.9115598843,764.3551515313,1228.3370124220,1347.3375767651,0.0000000000,0.0000000000
2025-02-12,53581.1578423894,645.2867206552,-1888.1230936087,794.5246604432,53132.8461298791,53152.9157728753,85073.7083366100,164.3147041090,366.9110034431,5110.4489231039,23848.9687977881,19361.4471415784,740.2273315152,1347.3375767651,1298.6904485762,0.0000000000,0.0000000000
2025-02-13,49548.0180820478,732.5549646850,-1371.4034594939,1037.6638673084,49946.8334545473,49943.7544706659,79837.4578529803,169.1497894269,495.9025107913,3703.5298096242,22954.8084653371,18586.6779785392,1101.3708401098,1298.6904485762,1306.1536467806,0.0000000000,0.0000000000
2025-02-14,19020.1986052367,2329.0682133463,-111.7138178162,0.0000000000,21237.5530007668,20892.9614251023,36265.7357096749,0.0000000000,1665.0602892049,223.2279320202,18323.2867234627,14090.1273246791,3672.6068514093,1306.1536467806,2141.4146704758,0.0000000000,0.0000000000
2025-02-15,18730.8591185959,881.7028361149,-305.7177214764,0.0000000000,19306.8442332344,19646.5023358609,34990.1463313803,0.0000000000,594.7563365144,829.3314361435,16806.0033774994,14353.8351654203,3023.3119196720,2141.4146704758,1318.1119708694,0.0000000000,0.0000000000
2025-02-16,52822.5840037742,3203.9200034698,-2402.0188729078,1738.8762401856,55363.3613745218,55310.6542298393,84257.2753281078,364.1830316389,1793.4892382519,6510.7642989481,22705.6095097565,18276.5617821032,97.7564713972,1318.1119708694,1445.8696606467,0.0000000000,0.0000000000
2025-02-17,51580.0517076469,1465.7679374879,-2997.5925839814,1456.2018870780,51504.4289482314,51596.7356922207,83096.1662236231,266.4866182501,828.4644986437,8879.6679935727,21988.2280555307,18011.8341368605,151.1922616073,1445.8696606467,1222.1258696682,0.0000000000,0.0000000000
2025-02-18,46080.2125796909,3382.4136930066,-140.0462311688,56.6698132399,49379.2498547686,49304.0683313763,74259.2159928755,12.4562728300,2719.8552036367,300.2214734943,21999.4564823250,17655.5494249418,256.0111551312,1222.1258696682,1404.3595649364,0.0000000000,0.0000000000
2025-02-19,46432.5937428051,3262.2032222940,-200.0920259309,2981.7560976014,52476.4610367697,52560.7707106151,74658.4063277121,685.2685598127,2975.0679554329,414.3195128442,23126.5944126075,18916.4650826549,814.9666168275,1404.3595649364,1200.0000000000,0.0000000000,0.0000000000
2025-02-20,48235.4819839850,1263.9341516074,-806.4812376767,843.4604589341,49536.3953568497,49465.8208923502,78387.6599920636,176.8675139831,855.5819996680,2453.0066840450,22784.7840712603,18301.7151832455,1490.9002003217,1200.0000000000,1371.0665716392,0.0000000000,0.0000000000
