date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error
2025-02-01,40996.6989408662,0.0000000000,-6442.1890652073,0.0000000000,34554.5098756589,31524.3457553192,59470.8043497292,0.0000000000,0.0000000000,10806.7414768186,18207.5604569119,8137.7470848977,4216.0735675630,1520.6548179639,8865.5180237428,0.0000000000,0.0000000000
2025-02-02,60993.5893728290,70.4851778833,-1923.0404895206,0.0000000000,59141.0340611918,59205.7987651194,87223.2989558242,0.0000000000,50.5077602655,4783.8044075485,11729.3292538840,9642.0424758275,2046.4375804847,8865.5180237428,8708.5338235412,0.0000000000,0.0000000000
2025-02-03,61869.7076399701,126.0091560676,-2313.2274216066,0.0000000000,59682.4893744312,59908.6631587155,88573.7798024664,0.0000000000,81.2125314662,5927.6582459705,11793.2042256149,10045.8990458838,763.1124082310,8708.5338235412,8160.3075756126,0.0000000000,0.0000000000
2025-02-04,63935.7624020143,342.6033819117,-2483.4018721112,0.0000000000,61794.9639118149,61588.4325267819,90791.9325797650,0.0000000000,261.4312843809,6004.7024430978,12832.9123433439,9944.1057476998,964.9908754041,8160.3075756126,8660.9222982890,0.0000000000,0.0000000000
2025-02-05,59649.9741670017,1002.5623148603,-1126.7794707870,0.0000000000,59525.7570110749,59503.0331588983,85211.0379897000,0.0000000000,1090.7869888437,2575.1937934690,12192.7741183202,9826.5743984489,612.0044818702,8660.9222982890,8716.0030065005,0.0000000000,0.0000000000
2025-02-06,63947.6096002947,82.2465453704,-3026.8159579717,0.0000000000,61003.0401876934,60975.5577428599,90935.7222635674,0.0000000000,67.7838827033,7632.9338415973,12025.5797390389,9680.7659653649,754.7013143328,8716.0030065005,8782.6181434522,0.0000000000,0.0000000000
2025-02-07,28780.1888594254,0.2563001140,-1082.9919439349,0.0000000000,27697.4532156045,27848.8792821341,49295.9195516742,0.0000000000,0.1761512811,2841.6190553260,10711.1371476640,9006.3607445740,12944.0205778727,8782.6181434522,8415.5740823786,0.0000000000,0.0000000000
2025-02-08,25640.4203586065,536.6156156084,-168.6295253799,0.0000000000,26008.4064488349,25829.3365652928,45420.9707840394,0.0000000000,421.9430164507,555.8532721684,11387.8362476179,8833.5020450060,11155.5636090432,8415.5740823786,8849.6244330059,0.0000000000,0.0000000000
2025-02-09,59223.2587035536,1301.3106382216,-1073.4473166187,0.0000000000,59451.1220251566,59472.0456669377,84742.7923154997,0.0000000000,1036.5820484053,2409.7021898434,11625.2573681046,9462.1039026993,1651.1027419896,8849.6244330059,8798.9072835230,0.0000000000,0.0000000000
2025-02-10,56064.0368609950,131.7663563717,-1233.3243871050,0.0000000000,54962.4788302617,55052.9395253689,80735.8743786154,0.0000000000,100.9681621778,2768.7269611744,11677.6486832727,9656.2376447000,1720.0669577128,8798.9072835230,8579.6381599128,0.0000000000,0.0000000000
