date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error
2025-02-01,46043.8248052674,0.0000000000,-8259.7370538462,10050.1200594564,47834.2078108776,45455.3180559407,70984.9912620277,1655.6965953478,0.0000000000,14311.9923722507,18451.3913191899,9756.0209855141,15255.1492181157,1520.6548179639,7286.8836879969,0.0000000000,0.0000000000
2025-02-02,55319.5917158037,70.4851778833,-1427.4819141041,53167.0020921810,107129.5970717639,107131.5230869833,88460.8623208185,8141.9793468844,50.5077602655,3783.4960974075,12539.2739755927,10161.0135693755,12135.3149743437,7286.8836879969,7282.2151889465,0.0000000000,0.0000000000
2025-02-03,55739.1790459456,17646.5446649926,-1647.9264944245,4876.5876062321,76614.3848227458,76418.1993740450,89362.5863727981,832.2901770020,9075.2247659876,4599.9662113918,12180.9798725664,9438.6103586489,11710.8490904784,7282.2151889465,7757.7522313130,0.0000000000,0.0000000000
2025-02-04,57665.2739905788,17034.2620435310,-1926.6046858946,3607.5656252470,76380.4969734623,76571.8488554713,91448.0411638972,580.7521040242,8800.6721515764,5002.9267017975,11884.7783324744,10044.1092438835,12791.0056791094,7757.7522313130,7293.9313484472,0.0000000000,0.0000000000
2025-02-05,54246.2782904219,17952.5215051887,-790.2194437361,2127.9030659918,73536.4834178664,73454.1238615276,86724.8296336033,340.6166938066,9757.4156367224,1966.5493636048,12509.9664362750,9953.4034338126,11551.3226147317,7293.9313484472,7493.5639924140,0.0000000000,0.0000000000
2025-02-06,57520.1037367540,17535.6794228639,-2299.8309418621,3189.9824735100,75945.9346912658,75897.8134149038,91433.8241404229,520.5750208228,9028.4751821366,6201.5421278395,12027.7723344287,9637.5178536042,12120.0205180516,7493.5639924140,7610.2059227285,0.0000000000,0.0000000000
2025-02-07,30119.4358245952,0.0000000000,-765.8772416940,10882.8704571450,40236.4290400462,40442.1145462809,57232.6743053573,1795.4404780170,0.0000000000,2093.1761473217,11907.7347799045,10093.9731169157,23315.4973063971,7610.2059227285,7111.6415391807,0.0000000000,0.0000000000
2025-02-08,28090.0711475681,438.3498140433,-91.2098962259,11129.4830347882,39566.6941001737,39475.0962440815,54449.5299353213,1761.9224331310,367.8036048715,231.8187644653,12066.0688726277,9573.6928311735,22277.8984507376,7111.6415391807,7333.6670454640,0.0000000000,0.0000000000
2025-02-09,53357.1625490497,966.6140716422,-735.6630209752,54117.1848301099,107705.2984298265,107753.5711796192,85767.8874191201,8323.2286470353,817.6067513486,1719.8595856003,12945.5509005076,10591.2044096753,11279.1007744048,7333.6670454640,7216.6579562816,0.0000000000,0.0000000000
2025-02-10,51200.9977750511,131.7663563717,-641.2976316143,44549.1457396642,95240.6122394727,95297.8198223080,82793.0527305093,6803.1377584209,100.9681621778,1576.6482418113,12997.4170502208,10652.7075470015,11449.1633227440,7216.6579562816,7077.9915825897,0.0000000000,0.0000000000
2025-02-11,52315.1917821834,140.8993531488,-1684.6972334857,56265.4824910564,107036.8763929028,106984.8716331911,84162.8830724346,8664.6752002927,88.0718902978,4061.2741050921,12407.8305008820,9936.8930548485,11162.8214785662,7077.9915825897,7204.0467502185,0.0000000000,0.0000000000
2025-02-12,52045.1875133929,34.0988037129,-1297.6329894083,53939.4428809106,104721.0962086082,104737.9781311759,83819.5342045845,8290.5478630606,20.3764157188,3215.6012620505,12666.3191353950,10296.5468252284,11278.3487778135,7204.0467502185,7163.1263884869,0.0000000000,0.0000000000
2025-02-13,49478.1715347064,360.4820969302,-503.4619871481,33907.0706265004,83242.2622709890,83241.1438180829,80393.5848611514,5212.2543707965,300.5972526332,1136.0642447677,13831.9576916577,11201.4457979672,10810.3813294562,7163.1263884869,7165.8374243487,0.0000000000,0.0000000000
2025-02-14,27405.6148580518,1034.5630518633,-54.3551887670,10801.8537250270,39187.6764461752,39121.9128414976,53312.1071508275,1732.3206134256,897.6983259667,139.0803453377,11604.6599149302,9256.3096245790,23652.8936378642,7165.8374243487,7325.2428760314,0.0000000000,0.0000000000
2025-02-15,27593.7086448360,270.3225034778,-158.3622445585,11373.6909419092,39079.3598456645,39175.0864315358,53472.7285191167,1860.7140699456,248.2963652865,437.0871087440,11026.9706030094,9140.6760687385,23978.2662113339,7325.2428760314,7093.2096756971,0.0000000000,0.0000000000
2025-02-16,51123.4990476255,18067.7820733408,-1626.5958489473,3557.1231716418,71121.8084436607,71040.4246091654,82694.6207335762,587.8196878917,9356.1765091476,4278.9577886292,12106.1963290244,9628.4782079233,10504.5619208854,7093.2096756971,7290.4772519043,0.0000000000,0.0000000000
2025-02-17,50457.2170261352,121.8516669447,-1497.6170574078,39107.0033997983,88188.4550354705,88304.0322608761,82414.3694196978,5969.4816950395,90.0568759483,4361.0790959817,12881.4391452708,10686.1002419505,10733.6268247170,7290.4772519043,7010.3277693697,0.0000000000,0.0000000000
2025-02-18,47646.0690632499,1268.0475550474,-168.7528706048,44237.9226012150,92983.2863489075,92912.2085545546,78007.2288704745,6724.1660727299,1079.6456509730,388.5803616241,12903.5501586573,10296.8176876939,10724.3399782565,7010.3277693697,7182.6143702791,0.0000000000,0.0000000000
2025-02-19,47854.1015887960,874.1520949945,-144.5349779034,44558.3381351218,93142.0568410089,93284.0797286854,78327.5081355651,6805.8678637426,741.9172638085,275.6274941120,13457.9442612070,11210.7612426845,10473.1553671484,7182.6143702791,6838.3628246049,0.0000000000,0.0000000000
2025-02-20,47999.9121886020,826.5122842463,-379.1746459473,38784.0131146021,87231.2629415031,87131.1381356817,78718.8242267394,5925.4378826444,585.6769143818,1131.8723893492,13630.5510074042,10822.3216116739,10296.7035053528,6838.3628246049,7081.0569405199,0.0000000000,0.0000000000
2025-02-21,26218.4338432491,442.8478779221,-2.0603063426,10210.0729674813,36869.2943823098,36940.1175852907,51587.9469679228,1677.4694703617,359.2033082109,7.6814627083,10962.7735749009,9034.3491392046,26128.2518147575,7081.0569405199,6909.3874477034,0.0000000000,0.0000000000
2025-02-22,26332.6784353326,808.8582847797,-88.7127630474,10639.3833307821,37692.2072878470,37562.8414212916,51702.4663367062,1699.2397980134,744.4646209098,237.1999664894,11722.4414446149,9212.9627791068,23554.7292402986,6909.3874477034,7222.9594377381,0.0000000000,0.0000000000
2025-02-23,47649.2946996304,1106.9395035117,-593.3877900059,45426.0218653539,93588.8682784901,93673.1798657149,78097.5331358027,6940.8697191182,764.5031120857,1537.4791968197,12503.3286960781,10311.6240263498,10541.8684171253,7222.9594377381,7018.5952349309,0.0000000000,0.0000000000
2025-02-24,48096.9918698266,1282.1415534023,-797.4023394330,26521.2891117630,75103.0201955590,75037.5231226701,78564.9507492402,4093.0028306069,921.1647076621,1911.7966178014,14835.1387685452,11873.5789416006,10502.7282260965,7018.5952349309,7177.3546359542,0.0000000000,0.0000000000
2025-02-25,47085.3491756327,295.9106390261,-602.4400695587,21186.1126664343,67964.9324115344,68063.4732027437,77214.4631735324,3331.9807073620,191.4080616994,1443.9712650606,14989.7477760128,12356.6648364090,10839.4745045962,7177.3546359542,6938.5000383557,0.0000000000,0.0000000000
2025-02-26,45599.4999559831,2113.2395266620,-8.7855953328,29619.1430095042,77323.0968968166,77227.3567234724,75511.7090568316,4542.1481032301,1710.7338127076,15.5690562290,14198.1879214843,11291.6726946981,10027.6586564207,6938.5000383557,7170.5661735826,0.0000000000,0.0000000000
