day,generation,best,mean
2025-02-10,0,86457.4272467470,99081.0378560421
2025-02-10,1,86309.1392789952,95286.2626751635
2025-02-10,2,84017.3611055171,91830.5481754930
2025-02-10,3,80967.5846942442,89507.2871288518
2025-02-10,4,79725.4692447216,87446.4275795361
2025-02-10,5,77313.7227306231,85587.2158749695
2025-02-10,6,76231.1928293018,83460.8844832098
2025-02-10,7,74029.1913697515,81444.0631761307
2025-02-10,8,73142.5028530932,79276.2305495894
2025-02-10,9,70281.9463209642,77946.0369792691
2025-02-10,10,69323.8565106452,76408.7299421311
2025-02-10,11,69013.4660849340,75034.9168343863
2025-02-10,12,68728.1942181873,73948.4650294125
2025-02-10,13,65255.0151868582,72769.2103483654
2025-02-10,14,65255.0151868582,71855.1952887133
2025-02-10,15,65255.0151868582,71104.7934030213
2025-02-10,16,63250.3421906495,70428.1842273554
2025-02-10,17,63250.3421906495,69722.3636316034
2025-02-10,18,62918.6451169137,69564.4593292384
2025-02-10,19,62918.6451169137,69109.9661960209
2025-02-10,20,62918.6451169137,67700.9321541262
2025-02-10,21,62918.6451169137,67885.9902169513
2025-02-10,22,62752.5091111287,66761.5807099362
2025-02-10,23,61572.7783513479,66276.0416735108
2025-02-10,24,61572.7783513479,66166.2676747588
2025-02-10,25,60547.6638716458,65391.0453639162
2025-02-10,26,60150.0854892967,65175.8439918116
2025-02-10,27,60150.0854892967,64639.6403291862
2025-02-10,28,60150.0854892967,63888.6653208693
2025-02-10,29,59822.1171364816,63881.0868292004
2025-02-10,30,59822.1171364816,63667.5697477233
2025-02-10,31,59637.8553995644,63652.8937496715
2025-02-10,32,59637.8553995644,63616.2824082748
2025-02-10,33,59637.8553995644,63143.6400453151
2025-02-10,34,59613.5936940259,63403.3211999665
2025-02-10,35,59248.7185460531,62956.6537421833
2025-02-10,36,58947.6394301340,63090.3856995336
2025-02-10,37,58947.6394301340,63373.1513280565
2025-02-10,38,58947.6394301340,63334.1704737210
2025-02-10,39,58947.6394301340,62553.0326795818
