generation,best,mean
0,1366657.8548328951,1655896.4244810618
1,1366657.8548328951,1548304.6579877692
2,1366657.8548328951,1469251.9391272354
3,1363920.9848075316,1463649.6463111953
4,1363920.9848075316,1460994.9623632221
5,1361768.0058215852,1468571.7654950588
6,1361768.0058215852,1464915.9308711563
7,1361768.0058215852,1445804.4552332887
8,1361768.0058215852,1457413.2109386674
9,1361768.0058215852,1442791.3461292689
10,1361768.0058215852,1445537.6220227536
11,1361768.0058215852,1434866.9478487871
12,1361768.0058215852,1442161.4133565198
13,1361768.0058215852,1456176.6141523279
14,1361768.0058215852,1428795.4107358556
15,1361768.0058215852,1430539.9138541287
16,1361768.0058215852,1422466.1405451531
17,1361768.0058215852,1434727.6150504162
18,1361768.0058215852,1429032.4781493773
19,1361768.0058215852,1426461.5359969935
20,1361768.0058215852,1437488.3095646317
21,1361768.0058215852,1424831.7103608642
22,1355255.7102753795,1417563.5877085559
23,1355255.7102753795,1418718.6104150258
24,1355255.7102753795,1407653.5577226335
25,1355255.7102753795,1425945.9973217067
26,1355255.7102753795,1442185.9129510741
27,1355255.7102753795,1419864.0378883181
28,1355255.7102753795,1417180.3783565513
29,1355255.7102753795,1426955.7206434375
30,1355165.5117712345,1433950.1813185581
31,1353063.2944348396,1439237.1812130325
32,1353063.2944348396,1422237.4201990054
33,1353063.2944348396,1433433.7849072653
34,1353063.2944348396,1432018.8154499028
35,1353063.2944348396,1416905.3806039735
36,1352192.1945092459,1443742.9569130489
37,1352192.1945092459,1445774.9368088166
38,1352179.7245713060,1420235.7272835164
39,1348891.8665850796,1410003.3783524106
