level,day,method,objective,purchase_cost,emergency_kwh,gap_vs_lp_percent,seconds,ngrid
L1,2025-02-10,DP(ngrid=40),52454.1562250765,52949.2228917431,0.0000000000,0.9533148696,0.0042040348,40.0000000000
L1,2025-02-10,DP(ngrid=80),52274.2171715224,52769.2838381891,0.0000000000,0.6070040100,0.0074429512,80.0000000000
L1,2025-02-10,DP(ngrid=160),52150.4850236573,52645.5516903240,0.0000000000,0.3688690102,0.0185048580,160.0000000000
L1,2025-02-10,RULE(手工阈值),68645.7642551536,73101.3642551536,0.0000000000,32.1156978215,0.0000000000,
L1,2025-02-10,GA(直接编码144维),57394.9083303733,59027.2572804545,0.0000000000,10.4622906853,0.5993509293,
L1,2025-02-10,LP(基准),51958.8250200914,52453.8916867581,0.0000000000,0.0000000000,0.0066151619,
L1,2025-03-18,DP(ngrid=40),44364.0613916902,44859.1280583569,0.0000000000,1.2112991072,0.0041842461,40.0000000000
L1,2025-03-18,DP(ngrid=80),44151.2522414144,44646.3189080810,0.0000000000,0.7258004877,0.0070900917,80.0000000000
L1,2025-03-18,DP(ngrid=160),44019.1846247172,44514.2512913838,0.0000000000,0.4245040185,0.0184540749,160.0000000000
L1,2025-03-18,RULE(手工阈值),60209.3218680421,64664.9218680421,0.0000000000,37.3603654279,0.0000000000,
L1,2025-03-18,GA(直接编码144维),49303.2838176906,51190.7409495706,4.8200698152,12.4795442280,0.5931499004,
L1,2025-03-18,LP(基准),43833.1113057838,44328.1779724504,0.0000000000,0.0000000000,0.0038311481,
L1,2025-04-23,DP(ngrid=40),31471.3276522830,31966.3943189497,0.0000000000,4.4212233770,0.0040879250,40.0000000000
L1,2025-04-23,DP(ngrid=80),30648.1230370660,31143.1897037327,0.0000000000,1.6898472507,0.0070152283,80.0000000000
L1,2025-04-23,DP(ngrid=160),30360.3318579964,30855.3985246631,0.0000000000,0.7349619873,0.0188112259,160.0000000000
L1,2025-04-23,RULE(手工阈值),49436.6794016771,53892.2794016771,0.0000000000,64.0298941263,0.0000000000,
L1,2025-04-23,GA(直接编码144维),38288.6688767266,39213.5448936800,0.0000000000,27.0410225383,0.5832731724,
L1,2025-04-23,LP(基准),30138.8229657807,30633.8896324473,0.0000000000,0.0000000000,0.0035989285,
L1,2025-05-29,DP(ngrid=40),36914.1711109680,37409.2377776347,0.0000000000,4.1656935760,0.0041501522,40.0000000000
L1,2025-05-29,DP(ngrid=80),36127.7683885707,36622.8350552373,0.0000000000,1.9465949875,0.0072679520,80.0000000000
L1,2025-05-29,DP(ngrid=160),35812.5209088110,36307.5875754777,0.0000000000,1.0570186706,0.0189008713,160.0000000000
L1,2025-05-29,RULE(手工阈值),53563.7052248889,58019.3052248889,0.0000000000,51.1479287583,0.0000000000,
L1,2025-05-29,GA(直接编码144维),42859.4247464637,45055.5740219022,22.0047551750,20.9422173279,0.6701219082,
L1,2025-05-29,LP(基准),35437.9353160418,35933.0019827084,0.0000000000,0.0000000000,0.0040369034,
L1,2025-07-04,DP(ngrid=40),19216.9857928908,19712.0524595575,0.0000000000,4.2522199743,0.0042190552,40.0000000000
L1,2025-07-04,DP(ngrid=80),18669.4289588584,19164.4956255250,0.0000000000,1.2817220968,0.0080347061,80.0000000000
L1,2025-07-04,DP(ngrid=160),18546.0047372200,19041.0714038866,0.0000000000,0.6121452317,0.0199561119,160.0000000000
L1,2025-07-04,RULE(手工阈值),35650.7965741583,40106.3965741583,0.0000000000,93.4057050760,0.0000000000,
L1,2025-07-04,GA(直接编码144维),26077.0300540851,27542.4544587690,0.0000000000,41.4679858109,0.6196389198,
L1,2025-07-04,LP(基准),18433.1669844733,18928.2336511400,0.0000000000,0.0000000000,0.0037889481,
L1,2025-08-09,DP(ngrid=40),24121.8865496575,24616.9532163242,0.0000000000,1.5688711146,0.0149688721,40.0000000000
L1,2025-08-09,DP(ngrid=80),23983.0347377465,24478.1014044131,0.0000000000,0.9842144478,0.0182840824,80.0000000000
L1,2025-08-09,DP(ngrid=160),23863.7909119364,24358.8575786031,0.0000000000,0.4821201879,0.0271708965,160.0000000000
L1,2025-08-09,RULE(手工阈值),41251.1761746946,45706.7761746946,0.0000000000,73.6943496351,0.0000000000,
L1,2025-08-09,GA(直接编码144维),33607.5891357559,35130.4918637855,0.0000000000,41.5098641798,0.6235849857,
L1,2025-08-09,LP(基准),23749.2907865825,24244.3574532492,0.0000000000,0.0000000000,0.0123519897,
L1,2025-09-14,DP(ngrid=40),47005.9557212841,47501.0223879508,0.0000000000,2.0998554624,0.0044410229,40.0000000000
L1,2025-09-14,DP(ngrid=80),46444.9219753740,46939.9886420406,0.0000000000,0.8812553194,0.0074839592,80.0000000000
L1,2025-09-14,DP(ngrid=160),46274.8970195974,46769.9636862640,0.0000000000,0.5119505548,0.0182828903,160.0000000000
L1,2025-09-14,RULE(手工阈值),63837.9658101683,68293.5658101683,0.0000000000,38.6600268460,0.0000000000,
L1,2025-09-14,GA(直接编码144维),52081.9058686781,53778.3490325501,109.4773641288,13.1251344602,0.5956022739,
L1,2025-09-14,LP(基准),46039.1990844466,46534.2657511132,0.0000000000,0.0000000000,0.0037801266,
L1,2025-10-20,DP(ngrid=40),44378.4588379404,44873.5255046070,0.0000000000,1.7585752234,0.0038697720,40.0000000000
L1,2025-10-20,DP(ngrid=80),44045.5491054935,44540.6157721602,0.0000000000,0.9952224406,0.0071811676,80.0000000000
L1,2025-10-20,DP(ngrid=160),43831.5710592255,44326.6377258922,0.0000000000,0.5045767154,0.0180938244,160.0000000000
L1,2025-10-20,RULE(手工阈值),62131.2875500660,66586.8875500659,0.0000000000,42.4653190634,0.0000000000,
L1,2025-10-20,GA(直接编码144维),49890.5013300708,50851.0891304400,0.0000000000,14.3975357745,0.5790050030,
L1,2025-10-20,LP(基准),43611.5174966997,44106.5841633663,0.0000000000,0.0000000000,0.0038468838,
L1,2025-11-25,DP(ngrid=40),56581.2721684402,57076.3388351069,0.0000000000,0.7073424354,0.0040137768,40.0000000000
L1,2025-11-25,DP(ngrid=80),56483.7162060903,56978.7828727570,0.0000000000,0.5337054469,0.0070388317,80.0000000000
L1,2025-11-25,DP(ngrid=160),56370.1408954197,56865.2075620864,0.0000000000,0.3315560914,0.0181429386,160.0000000000
L1,2025-11-25,RULE(手工阈值),72944.6468835448,77400.2468835448,0.0000000000,29.8320318897,0.0000000000,
L1,2025-11-25,GA(直接编码144维),62912.4640777924,64620.1785412573,0.0000000000,11.9760447322,0.5865840912,
L1,2025-11-25,LP(基准),56183.8598855980,56678.9265522647,0.0000000000,0.0000000000,0.0037670135,
L1,2025-12-31,DP(ngrid=40),62292.9850042123,62788.0516708790,0.0000000000,0.5355568508,0.0041489601,40.0000000000
L1,2025-12-31,DP(ngrid=80),62221.2128886654,62716.2795553321,0.0000000000,0.4197227869,0.0072889328,80.0000000000
L1,2025-12-31,DP(ngrid=160),62127.6916747493,62622.7583414160,0.0000000000,0.2687875361,0.0184199810,160.0000000000
L1,2025-12-31,RULE(手工阈值),78805.5289500861,83261.1289500861,0.0000000000,27.1853923099,0.0000000000,
L1,2025-12-31,GA(直接编码144维),67997.0419904290,68858.3178337102,0.0000000000,9.7414175970,0.5872220993,
L1,2025-12-31,LP(基准),61961.1478321739,62456.2144988405,0.0000000000,0.0000000000,0.0038690567,
