date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1084.9832245449,0.0000000000,22681.5569434128,22534.2073796920,44945.8823612059,41637.0745872555,0.0000000000,0.0000000000,3308.8077739504,3154.0741791939,1520.6548179639,1877.8177787736,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,57184.9945158083,0.0000000000,-1775.0524343138,1016.6094152197,56426.5514967142,56492.7261382751,90512.2984595647,85792.2795520450,146.0667289382,0.0000000000,4720.0189075198,3433.7599888548,1877.8177787736,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,348.1469292097,-1723.5304950694,16.8928799177,56752.3421356576,56657.5356282179,92107.1201333747,87477.2437974885,3.6065072412,187.7525345783,4817.6288704644,2668.9184918015,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1428.3035259643,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,-2474.2624888739,160.9802325535,57657.7598336111,57841.7677872241,94162.1529313047,87890.0558106751,48.8292260397,0.0000000000,6272.0971206297,2533.6266799406,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,0.0000000000,-851.6746056642,765.9714851017,55916.3944152836,55864.4200363625,88856.1564909600,86725.8426182136,158.8017201719,0.0000000000,2130.3138727464,1397.9322938874,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,418.5865656753,-2936.4093581021,255.5220758397,57890.7813986282,57806.4008811939,94661.5407155433,86896.7711514270,47.2046078578,217.3479930399,7982.1175571562,2028.3112979331,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22840.4292409037,0.0000000000,-1063.5134645967,277.8956128002,22054.8113891072,22208.1019070089,43857.8612623967,40179.1474722725,60.3915118073,0.0000000000,3678.7137901242,5107.6562459554,1831.7120092044,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085648683,835.4639640788,0.0000000000,0.0000000000,20028.7725289472,19918.1389151240,37229.6231406300,37784.5900555929,0.0000000000,554.9669149629,0.0000000000,2330.7251800389,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,425.2655412875,-550.8654585451,0.0000000000,55375.2299390691,55484.9357503096,88093.8029069990,86534.5478788916,0.0000000000,357.7486466744,1917.0036747817,2994.9692784304,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52481.7968988710,78.3085780678,-1163.5581834104,187.6353726110,51584.1826661394,51663.4525128653,84028.4823657568,80088.4349418184,49.4148179198,64.4720119684,4004.5194359067,1909.0908335097,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
