date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23941.5309017441,0.0000000000,-1230.9091276425,0.0000000000,22710.6217741016,22598.0210308740,45265.1708652103,41547.7581095930,0.0000000000,0.0000000000,3717.4127556173,3137.7007758782,1520.6548179639,1793.5895578098,0.0000000000,0.0000000000,1356.4442453005,10800.0000000000
2025-02-02,57460.7162955204,0.0000000000,-2191.9105620931,871.5516354292,56140.3573688565,56174.4753936350,90915.7395892869,85025.2732758624,212.0278861370,0.0000000000,5890.4663134246,2588.3102440411,1793.5895578098,1710.8903326531,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58327.9440370585,268.8049862666,-2143.8908851195,127.1942878050,56580.0524260105,56513.7083385987,92413.7288218900,86530.3512955398,50.7465818620,139.5013043615,6022.8788307117,1639.4907439876,1710.8903326531,1871.7028257062,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60193.1997077007,0.0000000000,-2639.3523216807,235.8805865884,57789.7279726083,57936.3587967317,94495.0505838164,87759.3522060092,95.6308010722,0.0000000000,6735.6983778072,2358.3107232972,1871.7028257062,1516.2820292854,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56223.3574015291,80.1221229214,-1012.0225950309,267.0122047041,55558.4691341237,55516.4333765071,89153.2539579392,86680.1544420084,64.5958842110,66.8520007688,2539.9515166996,1318.1506461264,1516.2820292854,1618.1731735217,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60391.3544335877,547.4950000127,-3233.0713371986,191.0480759938,57896.8261723956,57839.3834887767,94984.3245079814,86395.1380492811,58.7483602470,283.3605051433,8872.5469638437,1593.9578093179,1618.1731735217,1757.4094117577,0.0000000000,0.0000000000,1493.3411943241,10800.0000000000
2025-02-07,23040.7727442198,0.0000000000,-1167.8547362626,210.8374121554,22083.7554201125,22206.1738766881,44205.8930691915,40189.7686321061,76.3560205557,0.0000000000,4016.1244370854,5080.6229723591,1757.4094117577,1460.6773597298,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19280.7952110122,604.9820676000,-10.6135950679,107.4122874827,19982.5759710270,19900.5385809452,37363.9209855354,37717.1534852962,29.2852084309,376.1480721845,22.9155724236,2356.8934300811,1460.6773597298,1659.5290997611,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55764.7597709004,149.0133341359,-961.1175472438,67.8368655635,55020.4924233560,55127.4617242860,88496.6354137531,86175.5603275077,23.4739393969,120.2003661108,2441.2754523562,2485.2939183436,1659.5290997611,1400.2445028395,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,52722.4873915394,1.7467920174,-1673.9052647578,361.1441611658,51411.4730799649,51461.9789894445,84405.5589652021,79698.6279928329,125.6626059630,1.2430913873,4708.1740637565,1122.6059641056,1400.2445028395,1277.8224222263,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
