date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,24304.1831630335,0.0000000000,-1326.8654803440,0.0000000000,22977.3176826895,22816.0466453259,45920.7875887375,41797.5314787594,0.0000000000,0.0000000000,4123.2561099781,3276.5127949896,1520.6548179639,1911.5622610753,0.0000000000,0.0000000000,1442.9622668168,10800.0000000000
2025-02-02,57848.7896892486,0.0000000000,-2255.7342745450,1099.7796572763,56692.8350719798,56755.9353012067,91379.4099778328,85285.5049936055,158.4058151501,0.0000000000,6093.9049842273,2889.4689009877,1911.5622610753,1758.6126076840,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58746.5022055872,264.9206734616,-2226.0966321349,21.1255502198,56806.4517971337,56720.6275144832,92969.3144849403,86833.6166844681,4.5101516268,115.1691219083,6250.8669223806,1862.8604030728,1758.6126076840,1966.6434570928,0.0000000000,0.0000000000,1255.1002936232,10800.0000000000
2025-02-04,60556.0949557929,0.0000000000,-2752.0447471603,95.9803609811,57900.0305696138,58076.5230617567,94925.8879609453,87923.1902508281,35.6279424702,0.0000000000,7002.6977101172,2559.1679616859,1966.6434570928,1538.8404866412,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56598.5781471698,170.5065252248,-1138.1612120111,211.9095358676,55842.8329962511,55788.4139006058,89672.7112566315,86932.6693563190,30.3769403480,114.8338211347,2854.8757214473,1517.1871059159,1538.8404866412,1670.7478016984,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60778.1975822140,402.5827780270,-3299.7803024729,288.9446626679,58169.9447204360,58096.1843384211,95483.9936059358,86590.1207301231,53.1042951798,173.6333350702,9067.5062108829,1748.0066465936,1670.7478016984,1849.5367696850,0.0000000000,0.0000000000,1532.1218431338,10800.0000000000
2025-02-07,23339.7759579339,0.0000000000,-1220.9904763032,293.6446431141,22412.4301247447,22559.5549722905,44670.6843988620,40498.8357915122,63.8140083685,0.0000000000,4171.8486073499,5497.5976553266,1849.5367696850,1492.9185020006,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19437.5548635024,718.6623410273,-10.4941151899,0.0000000000,20145.7230893397,20039.2893192722,37599.3874359466,37949.6500393498,0.0000000000,372.6909464067,22.4283430036,2504.9191586027,1492.9185020006,1750.9050171117,0.0000000000,0.0000000000,1245.6691460909,10800.0000000000
2025-02-09,56163.1723287722,147.5405490697,-1031.8211177997,0.0000000000,55278.8917600422,55392.8204968689,89005.7328111229,86426.9339759479,0.0000000000,95.4510819382,2674.2499171133,2765.1993011755,1750.9050171117,1474.7513323714,0.0000000000,0.0000000000,1252.0293636721,10800.0000000000
2025-02-10,53085.1600857784,1.8044077079,-1777.3248128528,161.4811705958,51471.1208512293,51545.8054019220,84900.8827445254,79877.0089340749,40.0043277171,1.0700776330,5024.9438880835,1295.3271778950,1474.7513323714,1293.7222571669,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,54137.1928840599,0.0000000000,-2486.7239983167,5426.1278200279,57076.5967057711,57002.2672819873,86115.7584520657,79771.1253040763,1017.8812200085,0.0000000000,6344.6331479894,877.9004804341,1293.7222571669,1473.8905345851,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53904.8190437179,713.7237271466,-2138.9941207058,1852.9309571802,54332.4796073389,54371.3123469490,85994.3132086660,80356.3898904508,375.7323572125,307.8608782803,5945.7841964955,1000.7095152138,1473.8905345851,1379.7632368498,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49908.4535486781,0.0000000000,-1390.4918970425,1264.7434342103,49782.7050858459,49757.7556503411,80702.8036780170,76827.2640657997,214.7041540928,0.0000000000,3875.5396122173,1240.8114777855,1379.7632368498,1440.2385720354,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18837.6474843232,2302.2587825203,0.0000000000,0.0000000000,21139.9062668435,20864.7880723373,36626.2987397237,37950.6598952995,0.0000000000,1324.3611555759,0.0000000000,3982.9001741667,1440.2385720354,2107.1019575878,0.0000000000,0.0000000000,1440.2385720354,10800.0000000000
2025-02-15,18686.0814034531,411.0468024873,-258.2847624667,0.0000000000,18838.8434434736,19171.9367955116,35599.8995408790,34950.1975872162,0.0000000000,217.1797880565,866.8817417193,3089.0427704971,2107.1019575878,1299.7116617781,0.0000000000,0.0000000000,1263.6208069495,10800.0000000000
2025-02-16,53305.3382284808,3393.7964731915,-2579.2824609478,1960.2976888823,56080.1499296067,56027.7875353549,85362.9654685238,79683.0559317352,412.4223715647,1477.5926423235,7157.5021791121,247.6553518245,1299.7116617781,1426.6337054802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,52153.4316329044,1213.9256186998,-3166.8931089793,1545.7485641213,51746.2127067462,51825.8361642068,84282.6390045429,75340.6761884094,268.3285022114,523.8905209149,9465.8533370484,402.2580396184,1426.6337054802,1233.6331352821,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,46521.8806944297,2462.3609566085,-8.7796852920,154.8970330537,49130.3589987998,49064.5436858401,75323.3738395059,76765.3163132875,34.4503571206,1472.8459770973,30.9035033157,377.4663697004,1233.6331352821,1393.1639234959,0.0000000000,0.0000000000,1200.6835706200,10800.0000000000
