date,interval,plan_kwh,adjusted_kwh,emergency_kwh
2025-03-20,10:00-10:10,0.0,0.0,0.0
2025-03-20,12:00-12:10,532.8985545533,528.5926867523,0.0
2025-03-20,14:00-14:10,0.0,0.0,0.0
2025-03-20,16:00-16:10,641.1372421999,641.1372421999,0.0
2025-03-20,18:00-18:10,697.3257488713,680.0014465427,0.0
2025-03-20,20:00-20:10,0.0,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0,0.0
2025-06-21,16:00-16:10,203.3670399704,161.631505987,0.0
2025-06-21,18:00-18:10,0.0,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0,0.0
2025-09-23,12:00-12:10,371.2055654888,371.2055654888,0.0
2025-09-23,14:00-14:10,0.0,0.0,0.0
2025-09-23,16:00-16:10,534.8056131346,506.2886089966,0.0
2025-09-23,18:00-18:10,749.7678594396,798.3519637493,0.0
2025-09-23,20:00-20:10,0.0,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0,0.0
2025-12-21,12:00-12:10,973.7927256024,933.4255484697,0.0
2025-12-21,14:00-14:10,0.0,0.0,0.0
2025-12-21,16:00-16:10,862.2954224036,867.0042751382,0.0
2025-12-21,18:00-18:10,728.36705578,712.4134164728,0.0
2025-12-21,20:00-20:10,0.0,0.0,0.0
