parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
alpha0,0.45,0.6,13447571.1002671383,13447653.7101855129,334756.0962991093,72193.2838864166,1047254.6290431775,403789.5843364152,12050089.2705258951,1194768.0344643355,-132042.3010222033,19798244.4689286239,20441709.5136353932,61545.7553597699,64028.1444830931,1320.4153174624
alpha0,0.5,0.6,13415256.4728546813,13415339.0827730559,328633.4392355055,70243.7088324989,884909.6836131958,493353.3285332660,12233611.3129595406,1016097.1138617746,-163085.3932021372,20078034.8731062040,20469591.2281861342,61406.3633170306,63818.2813844318,1320.4153174624
alpha0,0.55,0.6,13394340.8789199069,13394423.4888382815,319488.3209374335,67668.4205040574,738993.0120369659,596651.2178830859,12417887.3417259604,856191.2946152950,-199226.0783587808,20357972.4291802272,20500314.2233341075,61506.3821781662,63713.5574152922,1320.4153174624
alpha0,0.65,0.6,13392171.2885776851,13392234.9316127468,302729.9505601415,62426.2668145759,485038.4197736161,851039.7829854279,12798545.1327652782,581071.1976350257,-290174.9923827617,20932519.0813627169,20566517.7181509063,61804.9863692377,63645.9361747499,1366.3894488377
alpha0,0.7,0.6,13411613.7728719637,13411664.5449044667,291829.7394486188,58929.7443564825,376101.9540877154,1000231.7947199184,13001426.2552587874,463095.6878183655,-344737.9096538076,21235726.2730948851,20611596.4324626848,61549.6861317746,63684.0757131728,1397.5876774999
alpha0,0.75,0.6,13456390.3878590111,13456428.2804516591,282297.8470167469,55825.9227500383,283402.2925822125,1178399.4190785908,13223915.2791468725,361316.2693657372,-411139.0076703475,21564746.0089390129,20669748.8824426383,61909.0638282115,63820.1372936863,1428.8063574642
alpha0,0.8,0.6,13530319.9102189522,13530340.5186884366,275547.4642178182,53196.0614535052,207555.3802610401,1394518.0375541302,13471007.3451142441,276109.7772919405,-492344.6764050523,21925915.3411315791,20738952.6838384941,62342.7103375163,63960.6315197010,1470.7016196433
alpha0,0.85,0.6,13633202.5973246247,13633206.9443166535,266766.7963362217,50124.0706782774,145185.9936219559,1666462.9527864393,13756519.0334040858,204578.3399075524,-594661.5723232348,22340283.7822567336,20819006.8230922520,62760.6037356701,64208.1756017222,1510.1180745626
alpha0,0.9,0.6,13781193.0506462120,13781174.8935216293,258570.4104722192,47058.3761307858,93427.7771358071,2021976.5325285678,14109228.7825893331,142628.0813452551,-729234.2237605955,22848121.8958229758,20919573.1404302157,63352.5043490386,64629.7971280101,1564.6661622242
alpha_update,0.5,0.6,13501726.6837317478,13501808.3940972053,520202.5902052819,106403.0069105756,513198.8689276963,782523.7154566468,12618848.8412221335,632818.7041701430,-270143.4518658117,20673541.3949381188,20404216.5484091640,62302.7765022507,64371.2963936359,1322.5957581405
alpha_update,0.55,0.6,13428858.9851652253,13428940.6955306809,406381.8898070470,84318.2061205366,555527.2105648922,747962.2829196617,12612700.1552634444,665511.7806971327,-255734.8406023990,20659207.2319657207,20466772.1596109532,61922.0200219842,63981.0216862418,1322.5957581405
alpha_update,0.65,0.6,13369130.7492520213,13369200.8129971977,231228.3725927454,48705.8235292940,666784.3686617860,684725.2611790504,12593772.0864122696,771626.7324190114,-227496.4421720048,20615097.3562959693,20597156.4637787044,61610.5619394761,63499.5576638457,1350.8261870453
alpha_update,0.7,0.6,13382711.0809950437,13382764.2138879411,169288.4305898782,35941.7405934073,738598.8563886698,653931.9406301475,12580125.6709946133,846926.7615276524,-213629.7821170999,20583252.6738935672,20667919.5896520913,61710.5306032078,63440.3784263489,1391.8651502869
