date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,26988.0148376090,0.0000000000,-2273.3501260310,0.0000000000,24714.6647115780,24441.5259950030,50380.5196520029,43388.3929374027,0.0000000000,0.0000000000,6992.1267146002,4698.1373768988,1520.6548179639,2182.7201153448,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,61079.1565276492,0.0000000000,-3680.9254674331,1013.6919571953,58411.9230174114,58482.6471900262,95613.5841340044,86045.8122892913,145.4438728270,0.0000000000,9567.7718447131,3666.1352616881,2182.7201153448,2011.2906638141,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,61576.6253479113,0.0000000000,-3415.5904934308,16.4618140000,58177.4966684804,58095.2981340369,96682.7629338993,87456.7845233724,3.5144777967,0.0000000000,9225.9784105269,2511.0771845450,2011.2906638141,2210.5330042371,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,63238.1683701752,0.0000000000,-3940.2981048961,0.0000000000,59297.8702652791,59490.5966734547,98384.2048204220,88552.9358938205,0.0000000000,0.0000000000,9831.2689266015,3204.1251817730,2210.5330042371,1743.3803854438,0.0000000000,0.0000000000,1208.2339479993,10800.0000000000
2025-02-05,59299.4299425109,0.0000000000,-2286.0261796323,114.3460978709,57127.7498607495,57067.0155513495,93231.0380260303,87712.9568119991,16.3913557728,0.0000000000,5518.0812140312,2274.4527111541,1743.3803854438,1890.5952479807,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,63448.6388827892,0.0000000000,-4368.2572409462,285.7538500510,59366.1354918940,59276.6413344250,98927.9683847121,87258.9942931877,52.4471734363,0.0000000000,11668.9740915244,2385.1793326803,1890.5952479807,2107.5215655732,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,25487.7353046955,0.0000000000,-2159.7328375107,277.8956128002,23605.8980799849,23758.1897448664,48379.8199267416,41098.5619577250,60.3915118073,0.0000000000,7281.2579690166,6116.1837824742,2107.5215655732,1738.3793668299,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,20617.3514581178,458.1132896969,-307.2233162817,0.0000000000,20768.2414315330,20654.4317848987,39460.8038280906,39114.0088401293,0.0000000000,249.8027644348,596.5977523961,3656.2341890851,1738.3793668299,2014.2443869508,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,58971.8115543004,0.0000000000,-2258.3705510688,46.6123705656,56760.0533737971,56878.4726446982,92701.3880082114,87129.3185876326,9.9514027681,0.0000000000,5572.0694205789,3463.7517570777,2014.2443869508,1727.2060249497,0.0000000000,0.0000000000,1266.5383469468,10800.0000000000
2025-02-10,55854.7632295322,0.0000000000,-2987.1425538193,52.7827203286,52920.4033960415,53000.5255230489,88630.2867287453,80572.8603073035,10.6945031564,0.0000000000,8057.4264214417,1997.2354400338,1727.2060249497,1532.9967216731,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,56881.3507957999,0.0000000000,-3707.2182868685,5191.8678789116,58366.0003878429,58304.7482538084,89756.0454332475,80421.4212449847,975.6747950758,0.0000000000,9334.6241882627,1518.1310321546,1532.9967216731,1681.4667476120,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,56648.9554624415,132.6266647395,-3179.6026355271,1444.7875618016,55046.7670534555,55092.2404597151,89577.5071728757,81014.8475671758,304.3903372960,68.6420126489,8631.3016183488,1610.6684043012,1681.4667476120,1571.2430319276,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,52586.9687479098,0.0000000000,-2539.6969088574,1168.1394873864,51215.4113264388,51193.2879216891,84278.1621490966,77572.1947112154,199.2711504455,0.0000000000,6705.9674378813,2009.4459085190,1571.2430319276,1624.8683060313,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,20652.6515756440,633.2312891487,-81.3880451951,0.0000000000,21204.4948195976,20970.5977423857,40090.2343632878,40070.6598065599,0.0000000000,376.1854490837,395.7600058115,6217.9441584075,1624.8683060313,2191.8151670352,0.0000000000,0.0000000000,1624.8683060313,10800.0000000000
2025-02-15,20732.4092448654,180.8032746566,-557.9020398658,0.0000000000,20355.3104796562,20654.7132720367,39493.3805514705,38023.0570828549,0.0000000000,98.5894948779,1568.9129634935,6108.2411076348,2191.8151670352,1466.0879568483,0.0000000000,0.0000000000,1297.4050307189,10800.0000000000
2025-02-16,56111.9332951930,2278.7443502768,-3646.7991777368,1666.6611669583,56410.5396346913,56363.4371924875,89191.3075713865,80279.9401576016,349.0720219434,1156.0917605741,10067.4591743590,819.0060677997,1466.0879568483,1580.2603187750,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,54913.8785575325,541.5171600929,-4239.5592670455,1269.3475183185,52485.1839688983,52573.8310015071,88225.8331686744,75980.2637145199,186.0788547843,280.2666253101,12525.8360794647,995.1777520905,1580.2603187750,1365.3873606604,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,49277.6581362938,915.6892934905,-883.3176230282,79.3591732773,49389.3889800335,49287.0035237577,79326.0124251002,77486.3652230211,17.8468051311,473.9224664185,2313.5696684976,967.0456045948,1365.3873606604,1613.5611033165,0.0000000000,0.0000000000,1215.8734861391,10800.0000000000
2025-02-19,49577.8512419472,579.7581429017,-1112.0884341615,4063.0982245306,53108.6191752179,53272.8471933120,79517.6879614042,77393.9652536708,767.3035864368,568.9771421300,2692.6998498634,1202.7084654391,1613.5611033165,1215.4861873869,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,51377.0735752849,0.0000000000,-1975.9862358333,1619.2849116849,51020.3722511364,50878.2595870941,83068.4159523369,77435.9627687513,340.6723285035,0.0000000000,5632.4531835856,2103.3779418665,1215.4861873869,1559.9553434281,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,18530.9023377923,313.5289438355,-240.7751032702,0.0000000000,18603.6561783575,18631.8360540654,35787.8159342955,35467.5865015265,0.0000000000,170.9629444547,491.1923772238,6577.3745537702,1559.9553434281,1491.6496926414,0.0000000000,0.0000000000,1378.6964080300,10800.0000000000
2025-02-22,18879.2426269036,1654.9789769761,-465.3612399780,0.0000000000,20068.8603639017,19742.9030167581,35868.0320193448,35709.8993020464,0.0000000000,939.8407832425,1097.9735005409,3751.0148427727,1491.6496926414,2281.7429122192,0.0000000000,0.0000000000,1491.6496926414,10800.0000000000
2025-02-23,49772.4053285803,621.4366498648,-1755.9461361786,79.9225437175,48717.8183859840,49112.4883689400,80145.3383447542,75421.2457391604,20.7040767881,324.1615167298,5048.2541223236,637.8308648538,2281.7429122192,1325.0960372924,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-24,48264.7475418795,906.9905030064,-1495.4042705625,356.0363974500,48032.3701717734,47828.3799918843,77553.7081768101,73816.2732846185,77.7168000000,474.2263100962,4211.6612022877,1159.3531673726,1325.0960372924,1819.5510922351,0.0000000000,0.0000000000,1325.0960372924,10800.0000000000
2025-02-25,49667.1482350091,274.2150933050,-3145.5501746757,310.2508523043,47106.0640059427,47332.2286443977,80021.6979173080,70852.0639139157,76.8054083984,141.9222592992,9311.5562626916,1565.8168955307,1819.5510922351,1271.3470130282,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-26,45099.8950270561,1121.3691046727,-203.6414595986,607.0660886125,46624.6887607427,46419.4350968752,73688.0388279095,74230.2796053638,129.1413906254,1164.6179822311,622.3772047768,743.8860758462,1271.3470130282,1768.8646469650,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,45882.0775347475,682.4034237060,-965.5830993918,1863.5714233140,47462.4692823757,47543.2106841680,74432.5593768914,71664.1987914574,382.5487083853,353.3323398725,3121.6929253065,993.1452353815,1768.8646469650,1573.1542736467,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,17834.6177977085,0.0000000000,-245.3969551822,0.0000000000,17589.2208425263,17626.4637058344,34099.1582362612,33595.9870661382,0.0000000000,0.0000000000,503.1711701230,7107.9174546299,1573.1542736467,1482.8807024715,0.0000000000,0.0000000000,1299.3642282819,10800.0000000000
