date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1210.4295234109,0.0000000000,22556.1106445467,22485.9780589611,44945.8823612059,41369.1760538614,0.0000000000,0.0000000000,3576.7063073445,3054.8578806551,1520.6548179639,1690.6503122463,0.0000000000,0.0000000000,1271.8768308829,10800.0000000000
2025-02-02,57274.6477322749,0.0000000000,-2199.2066367378,1749.3281508739,56824.7692464110,56831.7949629068,90720.2623112618,84849.2741951537,255.6324479910,0.0000000000,5870.9881161081,2351.0097438462,1690.6503122463,1673.6205658250,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58131.8108385092,275.3229621938,-2201.2810579546,922.1044225563,57127.9571653047,57079.7691350875,92155.7817360412,86125.4495724087,202.5696432919,142.7369612658,6173.0691248984,1422.2483231872,1673.6205658250,1790.4243018753,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60046.1467578795,0.0000000000,-2644.8544782048,922.6431618352,58323.9354415099,58443.2568648304,94336.3692800592,87584.9116223145,195.9385086488,0.0000000000,6751.4576577447,2193.4291016328,1790.4243018753,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,0.0000000000,-949.9720866527,812.5705234466,55864.6959726400,55830.1911698706,88856.1564909600,86490.2181335469,119.6739854693,0.0000000000,2365.9383574131,1178.1086649806,1501.1991982166,1584.8359407227,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60173.3652670574,725.4527817953,-3231.4683619076,443.4748652196,58110.8245521648,58067.2121778491,94708.5904762533,86259.9148071188,81.8645602049,375.4640073469,8824.1396764815,1501.0382015491,1584.8359407227,1690.5486713560,0.0000000000,0.0000000000,1450.2821003858,10800.0000000000
2025-02-07,22908.0464797331,0.0000000000,-1162.5985068957,414.3273368243,22159.7753096617,22258.4863651242,44014.7094155616,40017.4110121933,89.7062050409,0.0000000000,3997.2984033683,4825.4920713280,1690.5486713560,1451.2813675147,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19197.5461524336,600.7565777805,-14.8903964217,473.6782140051,20257.0905477975,20183.1071394263,37239.4757041390,37560.9112964235,77.4870299370,353.6042346565,32.1686423720,2269.5139492634,1451.2813675147,1630.6109326482,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55547.6302282366,108.2184367223,-967.9350335829,511.2105136444,55199.1241450204,55299.1599102061,88202.3632686550,85923.4512058560,93.7192369297,100.4297519622,2379.3418147612,2253.0872178630,1630.6109326482,1388.1326437520,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,52517.3698082056,0.0000000000,-1659.3568453738,1035.9880486675,51894.0010114993,51942.6324419970,84110.9989728888,79487.0205335500,194.6179964923,0.0000000000,4623.9784393388,952.6126307702,1388.1326437520,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,161.6239100591,-2376.4400843655,7134.8587812715,58475.5687414921,58406.0891936171,85307.5142025036,79286.4260579248,1332.8970268265,83.6497735989,6104.7379181778,764.3551515313,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,841.8850194238,-2138.5700618516,4135.9048657703,56157.1837267689,56197.0784300966,85172.4740136200,79714.9328597527,803.5216431400,435.7244620883,5893.2656159555,813.2608509870,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,2.8383720307,-1287.9317734035,2212.3270353827,50235.2428574253,50208.8539097061,79870.0350400066,76285.2464776570,364.3863353557,2.1603470950,3586.9489094445,810.1022189378,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,1764.3963635238,0.0000000000,0.0000000000,20374.0073967316,20177.6726800314,36245.8823922755,37455.1788371656,0.0000000000,1209.2964448900,0.0000000000,3667.3561928231,1405.9299117075,1881.8287671618,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18352.6929079938,310.1306895608,-177.6007200575,731.1169249230,19216.3398024202,19487.8981778903,34958.1224511714,34705.6306767684,178.5340579255,207.5064097506,459.9981841535,2860.8333652699,1881.8287671618,1223.5940838244,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52681.7480060570,3155.9160005801,-2514.2809438467,3175.2135733235,56498.5966361139,56496.7682446193,84481.7391151837,79162.5460006927,672.9301582085,1617.9737778578,6937.1668923489,134.8619531964,1223.5940838244,1228.0259511693,0.0000000000,0.0000000000,1200.0000000000,10777.7207307635
2025-02-17,51481.9441579779,1424.2903211215,-3007.0503993576,2460.1237128433,52359.3077925852,52361.5164095854,83418.8751670677,75195.8717826650,436.2090905493,738.3607210085,8961.3641054112,211.0954307970,1228.0259511693,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10797.9967163821
2025-02-18,45848.0648279785,2814.6702126847,-6.4349007272,773.8505529230,49430.1506928590,49393.0022681719,74284.4534854131,76439.8112493818,125.6246426582,2169.0503284223,13.6925644536,233.8542786624,1222.6724491486,1312.7171090421,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46225.5176203097,2360.7816766027,-274.3285337187,6443.4997947640,54755.4705579578,54801.9726274993,74809.4560519139,76538.4316672564,1342.7796014361,2371.1363993506,642.1607840080,624.8046385960,1312.7171090421,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48040.1750282058,522.8483470936,-966.6829214854,3156.0133845605,50752.3538383745,50733.2347951994,78430.9240545855,75841.7971464511,695.9736051486,354.4312270301,2943.5581351645,1142.2535727645,1200.0000000000,1246.3429541008,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17390.8945667789,618.4380679027,-4.0523661301,192.1331743589,18197.4134429105,18216.5324860856,33992.3270401444,34413.8195181624,90.2095312143,430.4927086375,9.0002306195,5576.4645880193,1246.3429541008,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-22,17547.6484183866,2369.6562176053,-119.8300460687,87.9875474543,19885.4621373776,19528.7420430517,33862.9429822210,35207.1905874338,16.0619838361,1649.4634918205,305.2158866077,3206.4299717217,1200.0000000000,2064.6595337820,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46280.8606007400,2894.9105960483,-861.6157143209,1372.8116206458,49686.9671031131,50043.6871974390,75287.5690763406,74775.4811858178,315.8509040280,1942.4650252406,2454.5529157634,200.3937449023,2064.6595337820,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10487.9268301331
2025-02-24,44967.5518006877,1560.3391130442,-309.4653547365,321.0065758932,46539.4321348887,46397.0202082464,72635.9792250273,72856.7960455780,70.2381873705,961.1663610927,740.3495405419,183.8862588342,1200.0000000000,1545.1945434368,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
