date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1025.8705427204,0.0000000000,22740.6696252373,22559.8937728963,44945.8823612059,41761.0863557566,0.0000000000,0.0000000000,3184.7960054494,3204.2309837035,1520.6548179639,1958.8402936085,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57146.1847312024,113.8168973784,-1866.1218995142,1664.8602695879,57058.7399986544,57164.3885844188,90422.2734430815,85433.7825621173,238.6892615315,90.8649923696,5079.3558733338,3249.6748304436,1958.8402936085,1702.7569992700,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58117.8544868890,0.0000000000,-1992.0510635818,615.9436845514,56741.7471078586,56765.5280293919,92123.4079211023,86621.3341399643,88.2946795515,0.0000000000,5502.0737811380,2072.5143034826,1702.7569992700,1645.1140437625,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60115.7503715155,209.8926182416,-2501.8604207097,0.0000000000,57823.7825690473,57880.2226104289,94497.8251224067,87884.6105889905,0.0000000000,108.6316374203,6721.8461708365,2253.7490300923,1645.1140437625,1508.3081260587,0.0000000000,0.0000000000,1207.1089278421,10800.0000000000
2025-02-05,55998.6923594097,458.4581511092,-795.8206028056,0.0000000000,55661.3299077133,55566.6672804229,88848.2576822465,87205.5141588008,0.0000000000,394.5418768604,2037.2854003061,1692.0449826643,1508.3081260587,1737.7623801964,0.0000000000,0.0000000000,1294.4717483129,10800.0000000000
2025-02-06,60100.1135025495,669.7360371623,-3123.8004812872,400.4202676080,58046.4693260326,57997.8249838727,94538.6722101715,86329.5037435485,73.7112336958,346.7244166742,8555.8928832973,1577.7814354628,1737.7623801964,1855.6721780524,0.0000000000,0.0000000000,1577.3840026408,10800.0000000000
2025-02-07,22828.9523200255,0.0000000000,-1041.6639337937,17.1968993676,21804.4852855994,21966.9767064570,43831.2388525655,40099.8062087519,3.6702378332,0.0000000000,3731.4326438136,4997.6939016012,1855.6721780524,1461.8066278993,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19192.5162474431,1000.4697431184,0.0000000000,0.0000000000,20192.9859905615,20040.8283341758,37227.7809703784,37875.3959882363,0.0000000000,647.6150178579,0.0000000000,2324.9616352470,1461.8066278993,1830.6240013093,0.0000000000,0.0000000000,1327.0932741904,10800.0000000000
2025-02-09,55451.8239683479,538.3179547259,-879.8039377970,471.8386364731,55582.1766217499,55764.7288895954,87980.1265256982,86112.7873456152,83.3557140397,447.5609082072,2314.9000882902,2754.8774320398,1830.6240013093,1388.1326437520,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,52517.3698082056,24.4749147042,-1664.0773717060,336.6894812235,51214.4568324273,51263.0882629251,84110.9989728888,79381.1018969168,80.4639320075,17.4173887733,4747.3144647453,808.2801270498,1388.1326437520,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,16.5672189844,-2014.7074938973,5358.3017137403,56915.6875733544,56846.2080254794,85307.5142025036,80395.7950163798,938.8641623974,9.7123995037,4921.4315856275,1417.5184481179,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,1233.6732481038,-2054.8645671812,1909.7305044484,54406.5030887975,54446.3977921252,85172.4740136200,80106.6144356921,356.2113095936,638.4976570680,5704.3572349959,782.4657607096,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,45.7291350196,-1141.3922206467,703.8608180754,48916.2069558637,48889.8180081444,79870.0350400066,76586.4807114516,116.2519260390,33.6396956611,3317.1940242160,928.1637126055,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,2166.9987141894,0.0000000000,0.0000000000,20776.6097473972,20478.1488076157,36245.8823922755,37769.6489262514,0.0000000000,1523.7665339759,0.0000000000,3739.2405285602,1405.9299117075,2129.3741503376,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18234.8338005596,629.0690458011,-239.1709272011,47.6782919882,18672.4102111477,19045.8081569228,34683.0720254204,34514.8083648926,22.4897603718,434.4613996209,602.7250601487,2781.1300449852,2129.3741503376,1224.2889060672,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52681.4151862027,2268.0425341813,-1987.6470479052,1508.6108989350,54470.4215714138,54234.5309426099,84480.9670904696,80300.9978925986,317.7397090936,1316.1211995284,5496.0903973993,234.4215955689,1224.2889060672,1796.0679686137,0.0000000000,0.0000000000,1200.0000000000,10777.7207307635
2025-02-17,51209.8520316220,1150.1181226252,-2867.8492415072,1907.8574041505,51399.9783168906,51636.5358239766,82787.7173699072,74716.2476779913,344.9055649857,597.2129444325,8668.6826363483,293.3879960759,1796.0679686137,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10796.4957338330
2025-02-18,45848.0648279785,3162.3677612409,-7.9610869954,186.9175184601,49189.3890206841,49070.0278445416,74284.4534854131,76969.8496077607,41.4885998740,2713.4182518633,28.0221295157,425.5867443799,1222.6724491486,1511.9939103073,0.0000000000,0.0000000000,1222.6724491486,10800.0000000000
2025-02-19,46130.0640325037,2646.2375765690,-267.2600052749,6255.8534394026,54764.8950432004,54893.6098641972,74588.0373838416,76532.5823334880,1359.6194175847,2618.6767758188,674.1318261724,864.4513673982,1511.9939103073,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
