date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,22926.2066886821,0.0000000000,-917.2695870907,0.0000000000,22008.9371015914,21739.0752539781,45279.9590683251,42288.5567538401,0.0000000000,0.0000000000,2991.4023144849,3147.7432073370,1824.7857815567,2478.9082239266,0.0000000000,0.0000000000,1824.7857815567,12960.0000000000
2025-02-02,55754.5577640512,0.0000000000,-1953.3370249440,1013.6919571953,54814.9126963025,55030.0572070692,90516.4201871726,85134.9966399999,145.4438728270,0.0000000000,5381.4235471727,2732.3021432021,2478.9082239266,1957.4160082249,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-03,56857.2141491358,340.7482007072,-1958.8820253982,16.4618140000,55255.5421384447,55159.5008291744,92512.4534667080,87161.0269319516,3.5144777967,187.7525345783,5539.1790693347,1764.0573503553,1957.4160082249,2190.2120716326,0.0000000000,0.0000000000,1671.2965818427,12960.0000000000
2025-02-04,58715.2138809637,0.0000000000,-2481.9320718876,159.4886439802,56392.7704530562,56578.0132085000,94564.1606469955,88231.4683519600,48.5107827064,0.0000000000,6332.6922950355,2474.4171799531,2190.2120716326,1741.1991982166,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-05,54746.0712786758,65.0788545116,-839.0226112958,108.6184506388,54080.7459725303,54028.7715936092,89285.1378083752,87279.8892398450,15.5703054241,86.2392695451,2091.4878380753,1392.6834296454,1741.1991982166,1867.1807253617,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-06,58899.0532191999,407.3467563500,-3039.1775923749,285.7538500510,56552.9762332260,56465.2856404593,95066.8740488767,86878.3989109462,52.4471734363,217.2598851906,8405.7350231211,1608.6541170531,1867.1807253617,2079.7353536679,0.0000000000,0.0000000000,1798.2360898533,12960.0000000000
2025-02-07,22056.6292234624,0.0000000000,-1059.7629058150,0.0000000000,20996.8663176474,21110.8373216178,44254.2797685483,40475.3949934539,0.0000000000,0.0000000000,3778.8847750944,4854.2385522273,2079.7353536679,1803.4792169231,0.0000000000,0.0000000000,1552.1978494084,12960.0000000000
2025-02-08,17444.6136477552,879.5266352498,0.0000000000,0.0000000000,18324.1402830050,18255.7058407482,35386.8114270186,36170.5438461684,0.0000000000,783.7324191498,0.0000000000,426.4688355144,1803.4792169231,1969.3585544698,0.0000000000,0.0000000000,1683.7033152916,12960.0000000000
2025-02-09,54215.5015495056,188.4278930864,-744.9575164113,46.6123705656,53705.5842967463,53812.1312702716,88710.8454415443,86759.7740263965,9.9514027681,139.5854823389,2090.6568974867,2634.2103149938,1969.3585544698,1711.0976436894,0.0000000000,0.0000000000,1522.9649999373,12960.0000000000
2025-02-10,51229.3342115640,123.2097676559,-1507.6029279547,123.5562609661,49968.4973122312,50051.3564143698,84424.1489729584,80300.9451194179,35.8103736721,108.3657269293,4231.5695804698,1163.7410965104,1711.0976436894,1510.2541426802,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-11,52308.6989972604,0.0000000000,-1915.3123516872,2208.5503166761,52601.9369622494,52532.4574143744,85712.8475358369,80886.8400569963,366.5187130100,0.0000000000,4826.0074788406,800.9514440278,1510.2541426802,1678.6667284261,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-12,52070.1715100558,650.6612938471,-1787.1049931479,657.4386983034,51591.1665090584,51631.0612123861,85577.8073469533,80947.7007897870,128.6603964048,346.5979174256,4976.7044745920,890.0633394391,1678.6667284261,1581.9653198752,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-13,48059.2045449274,640.6772138969,-1282.4224567314,1161.8444809949,48579.3037830878,48552.9148353686,80275.3683733399,77310.9821813054,198.3687699422,581.9005090852,3546.2867011197,1168.1056949285,1581.9653198752,1645.9299117075,0.0000000000,0.0000000000,1440.0000000000,12960.0000000000
2025-02-14,17472.6277368875,1978.1539157271,-58.1021871583,0.0000000000,19392.6794654562,19091.7305047277,35824.4359854510,37070.1173712888,0.0000000000,1528.2108638748,282.5294780370,2635.0739132883,1645.9299117075,2375.4049040470,0.0000000000,0.0000000000,1645.9299117075,12960.0000000000
2025-02-15,17446.7338438020,470.8914695727,-226.2564643331,0.0000000000,17691.3688490416,18027.4087154374,35081.7045212989,34678.2276604910,0.0000000000,363.8763210946,767.3531819025,2425.3696439698,2375.4049040470,1560.8725050268,0.0000000000,0.0000000000,1527.9140529182,12960.0000000000
