date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23869.4724152489,0.0000000000,-1101.8750010070,0.0000000000,22767.5974142419,22598.5936513678,45157.7596915514,41731.7395703713,0.0000000000,0.0000000000,3426.0201211801,3202.2998038847,1520.6548179639,1930.3057379390,0.0000000000,0.0000000000,1505.5093103570,10800.0000000000
2025-02-02,57173.2655091984,0.0000000000,-1960.5467315716,1025.5064334603,56238.2252110871,56328.5843846187,90458.9371401150,85084.1814006181,149.9981940066,0.0000000000,5374.7557394969,2750.0067907562,1930.3057379390,1711.2826940972,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,57550.0320968925,483.5497392930,-1787.6463214060,153.3365151472,56399.2720299268,56333.6640538135,91362.4161647498,86577.7331690554,37.6660982553,266.9718751658,5051.6548708602,1664.0670983565,1711.2826940972,1870.3109152174,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60009.3554578993,0.0000000000,-2500.2058926405,431.0839346338,57940.2334998926,58086.6609335167,94244.9927513546,87868.5100042205,115.4872301864,0.0000000000,6376.4827471341,2515.8585002471,1870.3109152174,1515.3831202760,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55830.1401132664,372.9208956508,-895.8617722932,499.1811825966,55806.3804192206,55758.2503790628,88643.2215150538,86654.5481374164,71.5569355786,288.0737152700,2276.7470929074,1305.6199924254,1515.3831202760,1632.0462932951,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60143.6401482479,316.3620769384,-3034.5918763331,304.0513190236,57729.4616678768,57671.9301321837,94604.6735683351,86398.7750457001,55.4530048968,163.7357746233,8369.6342972583,1595.7582599552,1632.0462932951,1771.4979014928,0.0000000000,0.0000000000,1531.8182886021,10800.0000000000
2025-02-07,22974.5468350603,0.0000000000,-1104.7986307660,285.4974125275,22155.2456168217,22288.9306113010,44064.9914861204,40202.2396709146,62.1788710646,0.0000000000,3862.7518152058,5097.4986696442,1771.4979014928,1447.4567083031,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19005.7282066179,890.8897933679,0.0000000000,0.0000000000,19896.6179999858,19804.8077148457,36861.5723733925,37481.2906466468,0.0000000000,619.7182732543,0.0000000000,2063.5682771305,1447.4567083031,1669.9971247483,0.0000000000,0.0000000000,1246.0645717220,10800.0000000000
2025-02-09,55026.6894698359,623.3958479031,-678.9658055733,0.0000000000,54971.1195121657,55069.5858630510,87438.7652988213,86074.6806120800,0.0000000000,492.9316218810,1857.0163086223,2380.8336974678,1669.9971247483,1431.3229642400,0.0000000000,0.0000000000,1304.2949958069,10800.0000000000
2025-02-10,51665.6112773992,235.5103179928,-1246.6592140860,235.0032229561,50889.4656042622,50984.8991782870,82864.9745473680,79414.0270866084,66.4460088219,154.1678476896,3605.1153084492,892.6543840245,1431.3229642400,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53079.0950972352,0.0000000000,-2016.0004372247,5267.8691659884,56330.9638259989,56253.1248096176,84646.6746906305,79492.8975948504,978.6312486520,0.0000000000,5153.7770957801,531.3200766154,1200.0000000000,1388.6752349668,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,52896.2738420839,808.1468698126,-1735.3865029797,1694.0731327690,53663.1073416858,53704.1033402067,84560.6475043763,80165.5574776807,357.5539209407,422.2259041556,4817.3159308511,782.9204850390,1388.6752349668,1289.3043794084,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,48904.1820855145,104.4810245122,-993.4388070070,1234.8811884573,49250.1054914769,49216.5848395096,79315.9238164128,76534.4690035388,200.4174472956,89.1156579620,2870.5704708359,886.9820058644,1289.3043794084,1370.5556230675,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18566.2818936899,2269.4980296527,0.0000000000,0.0000000000,20835.7799233427,20484.9926186300,36049.5086669050,37640.5720140864,0.0000000000,1591.0633471814,0.0000000000,3482.2932826450,1370.5556230675,2220.8345733540,0.0000000000,0.0000000000,1370.5556230675,10800.0000000000
2025-02-15,18115.6796858159,636.2709027383,-129.6996404991,172.7630054786,18795.0139535337,19212.1490838809,34364.4479004453,34568.6896742957,70.0523066993,537.4181830914,333.1764092410,3043.0792809463,2220.8345733540,1209.7340688766,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52367.7842769772,3196.8732406570,-2207.6146195822,1943.8339036034,55300.8768016555,55237.3713682860,84026.3968085052,79600.3673390002,409.5754751886,1693.6653025959,6119.6947721008,141.8099874354,1209.7340688766,1363.6659030605,0.0000000000,0.0000000000,1200.0000000000,10693.2589968917
2025-02-17,50752.9049981884,1638.0463583796,-2617.9732288825,1040.0463535655,50813.0244812510,50868.6353918933,82402.1036999182,75381.0600696328,201.5216070077,910.1385936284,7931.1822239138,277.6445964583,1363.6659030605,1228.8697285976,0.0000000000,0.0000000000,1200.0000000000,10688.4480465533
2025-02-18,45630.3574138605,3614.1578094355,-13.8103497079,192.9809145768,49423.6857881648,49304.7637592149,73937.0997767688,76812.8202574045,42.7367921551,2924.3313560597,48.6108754239,316.1181445617,1228.8697285976,1517.1267338626,0.0000000000,0.0000000000,1228.8697285976,10800.0000000000
2025-02-19,45960.7267004795,2914.2507533786,-54.4827065578,4230.8535186215,53051.3482659218,53182.1806617920,74298.2268656716,77065.7833587995,949.4652271911,2890.7107134226,123.1542202947,984.8117834769,1517.1267338626,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
