date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,25109.8342258612,0.0000000000,-1270.1963319554,0.0000000000,23839.6378939058,23754.1410962721,47017.9696090071,43172.4526074327,0.0000000000,0.0000000000,3845.5170015744,2832.9501669398,1520.6548179639,1716.3787015852,0.0000000000,0.0000000000,1322.8255087877,10800.0000000000
2025-02-02,59237.6160084329,0.0000000000,-1949.8429554799,1102.8794999808,58390.6525529338,58402.7560711468,92311.2092837881,87316.3377202672,158.0962585982,0.0000000000,4994.8715635209,2924.3087437491,1716.3787015852,1688.6706744346,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,60132.4094939282,358.3770626989,-1997.6419035867,0.0000000000,58493.1446530404,58392.5088551117,93727.6305749929,88562.7211193581,0.0000000000,192.0447753395,5356.9542309743,1739.9765629134,1688.6706744346,1919.0515746215,0.0000000000,0.0000000000,1429.5458562871,10800.0000000000
2025-02-04,62021.4894669680,0.0000000000,-2453.0913978324,80.2891262782,59648.6871954138,59838.5244395159,95781.8939548252,89416.6459190104,38.2511321001,0.0000000000,6365.2480358148,2437.8388684463,1919.0515746215,1484.4659094268,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,57981.1552979088,124.8653063463,-846.7451190123,71.5556439347,57330.8311291775,57279.0370742240,90533.0887887674,88675.3841541456,10.2574030870,173.2361424720,2030.9407770938,1434.9442092998,1484.4659094268,1603.0356554825,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,62206.9121136645,416.4484494706,-3092.5278398615,204.1939283003,59735.0266515739,59644.1928143914,96293.9663523566,88318.2750003343,35.0347221658,210.8112503687,8186.5026023910,1628.5879721076,1603.0356554825,1810.9773780925,0.0000000000,0.0000000000,1551.8315253485,10800.0000000000
2025-02-07,24186.4680102271,0.0000000000,-1282.6092784373,618.3148905501,23522.1736223400,23682.8158079703,46054.0402700299,41513.8146697701,120.2453284740,0.0000000000,4540.2256002597,4456.0923577621,1810.9773780925,1443.2266164826,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,20157.3208930810,837.2289132185,0.0000000000,0.0000000000,20994.5498062994,20880.6726188683,38548.1340801723,39104.5447527904,0.0000000000,556.4106726182,0.0000000000,1743.0898059824,1443.2266164826,1703.9204201897,0.0000000000,0.0000000000,1267.8265037780,10800.0000000000
2025-02-09,57473.7469507187,963.3274699535,-1011.4665680722,0.0000000000,57425.6078526000,57535.9488463232,89845.3594451053,88021.1761302640,0.0000000000,767.2790655051,2591.4623803464,2576.6741742292,1703.9204201897,1451.3218619761,0.0000000000,0.0000000000,1274.8812511228,10800.0000000000
2025-02-10,54395.2849469893,0.0000000000,-1522.1674473789,118.3421564274,52991.4596560379,53075.4361833034,85814.5538265623,81611.6997439891,34.2391037593,0.0000000000,4202.8540825731,1176.7286900763,1451.3218619761,1259.0782633342,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,55483.6909681458,0.0000000000,-1919.0975533994,2121.6861631555,55686.2795779018,55614.6067493719,86981.7605526288,82373.6342925065,346.4664361292,0.0000000000,4608.1262601223,795.3053155580,1259.0782633342,1423.1555707688,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,55249.3180589703,548.7875905808,-1742.4342417232,540.8995130926,54596.5709209206,54638.4583019170,86885.2825037723,82508.4262550153,99.8888658208,282.6616122789,4659.5178610359,886.6004995937,1423.1555707688,1327.2647174240,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,51115.8613331141,477.9532060585,-1212.4326568276,1159.7020200759,51541.0839024208,51512.8095048006,81667.7643716059,78750.9347243122,187.5501562045,437.7184595401,3354.5481068338,1153.9766390156,1327.2647174240,1391.9919944970,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,19560.9516141313,2181.9925953946,0.0000000000,0.0000000000,21742.9442095258,21419.1046184754,37561.4811936341,39089.6920575089,0.0000000000,1528.2108638748,0.0000000000,3193.0709278609,1391.9919944970,2133.3430647714,0.0000000000,0.0000000000,1391.9919944970,10800.0000000000
2025-02-15,19348.3173054025,588.2735227110,-226.2564643331,0.0000000000,19710.3343637804,20069.2247048757,36397.8867884564,36027.7791483787,0.0000000000,397.2455418248,767.3531819025,2405.2914911209,2133.3430647714,1311.7519257167,0.0000000000,0.0000000000,1280.6244987252,10800.0000000000
2025-02-16,54552.6125547910,2932.1445104138,-2167.4981773650,5.4233781518,55322.6822659917,55276.5593418996,86180.1860428934,81959.8637846212,1.1578518685,1546.8965035595,5767.2187618317,180.1357390095,1311.7519257167,1417.3390129193,0.0000000000,0.0000000000,1311.7519257167,10745.2917546181
2025-02-17,53248.1189105801,1058.7679928780,-2859.4597323951,1494.3720440134,52941.7992150763,53027.3843649243,85164.2731368278,77024.2783899191,273.8312480753,548.8840458977,8688.8787928064,286.7831559078,1417.3390129193,1221.4128686404,0.0000000000,0.0000000000,1200.0000000000,10789.1767775554
2025-02-18,47595.3961492421,3123.7237915793,-73.5431309570,139.6481151267,50785.2249249911,50712.8423788420,76256.4211092939,78547.8155807323,30.6952665407,2550.2580087738,258.8635373353,245.8879617184,1221.4128686404,1387.1148999540,0.0000000000,0.0000000000,1212.2940037401,10800.0000000000
2025-02-19,48001.3294668284,3233.2968985543,-46.9902823678,2368.0757982599,53555.7118812749,53637.4480722783,76799.5890451881,79566.2727743593,539.2125002523,2884.4472196414,117.7634904702,908.2052903181,1387.1148999540,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,49824.4472148956,1346.5713012543,-765.0899796942,162.1160097365,50568.0445461921,50500.8458668429,80185.1185577126,78969.2557577953,34.6105913186,1084.2611056432,2300.1239055605,1518.9866191927,1200.0000000000,1353.8348436489,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,18216.0697690987,957.6476967220,0.0000000000,0.0000000000,19173.7174658208,19221.4913257049,35024.8859304891,35735.2956935332,0.0000000000,710.4097630441,0.0000000000,5138.2525183515,1353.8348436489,1244.4683451262,0.0000000000,0.0000000000,1244.4683451262,10800.0000000000
