date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23757.4952551273,0.0000000000,-1090.2673270092,0.0000000000,22667.2279281182,22520.2435628850,44843.7653862479,41615.1521691490,0.0000000000,0.0000000000,3228.6132170988,3131.3361977311,1520.6548179639,1876.9325683271,0.0000000000,0.0000000000,1458.1590869638,10800.0000000000
2025-02-02,57093.4458211716,0.0000000000,-2007.4262171027,1016.3392894602,56102.3588935291,56168.1683366024,90430.2953641941,84926.1506553493,146.0090590493,0.0000000000,5504.1447088448,2494.8621969769,1876.9325683271,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58201.7552028700,392.7644961697,-2136.0535625325,697.3480751292,57155.8142116364,57061.0077041968,92283.3166304364,86446.5024112375,152.3705768644,210.8447204645,6047.6589396633,1586.6321669035,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60218.5367119200,0.0000000000,-2605.4527509508,55.0009960512,57668.0849570204,57852.0929106335,94497.8139229155,87770.2435293660,26.2034283236,0.0000000000,6727.5703935495,2424.2182618123,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55801.5229256403,334.7008600245,-843.1255260954,105.1559438058,55398.2542033753,55346.2798244542,88591.5286780824,86727.6324148274,16.0033183357,280.8502328177,2144.7464960727,1288.5119239100,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60356.3137672771,749.9125006179,-3217.2491071813,319.6189929679,58208.5961536816,58124.2156362474,94969.8544025343,86490.8010632902,58.2951944000,388.8284344873,8867.8817737314,1644.2941741249,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22814.3778157366,0.0000000000,-1141.1418073158,277.8956128002,21951.1316212209,22104.4221391227,43799.9179573844,39849.1893912721,60.3915118073,0.0000000000,3950.7285661123,4756.8104478487,1831.7120092044,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19054.5117989871,980.9442940559,0.0000000000,0.0000000000,20035.4560930430,19924.8224792198,37020.9285079156,37669.2197589530,0.0000000000,648.2912510374,0.0000000000,2216.2512966549,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55509.8147865047,491.8961439347,-851.7458354109,0.0000000000,55149.9650950285,55259.6709062690,88146.1043967026,86272.7623652791,0.0000000000,412.2052459314,2285.5472773549,2616.7487692022,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52213.6649046960,8.7284122878,-1422.6642050246,178.3320970159,50978.0612089750,51057.3310557009,83668.2367685791,79547.7738072618,47.5298466717,6.2115088868,4126.6744702041,930.8819283147,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53403.7702452358,436.9736160079,-2295.3804830595,6208.1507272717,57753.5141054559,57684.0345575809,85097.0350986456,79421.7944847500,1189.3772297558,226.1592609310,5901.3998748266,764.3551515313,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53188.8030359329,1039.2097395062,-2033.3243182331,3024.8429861306,55219.5314433366,55259.4261466643,85006.9142131492,79887.4239882582,625.8179393589,538.2662815671,5657.7565064581,809.7017834610,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,48811.6642975244,195.4621539754,-1055.2406705498,1526.4482401466,49478.3340210966,49451.9450733774,79265.2806273426,76317.5822745751,272.2608801827,177.5963980256,3125.2947507932,748.3606132926,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18480.9779369403,2253.3489709475,0.0000000000,0.0000000000,20734.3269078878,20436.4191504872,36056.6259689662,37649.7075962337,0.0000000000,1593.0816272676,0.0000000000,3619.7432149472,1405.9299117075,2128.0332827296,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18147.1659556396,736.2578991704,-155.7622574515,80.3224431874,18807.9840405459,19140.9827036138,34513.2406133209,34676.2930319831,14.6627315055,561.4003506376,398.3479319754,2869.3134073619,2128.0332827296,1320.8725050268,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52639.8774999936,3632.9996897847,-2512.4806487258,2680.9044842858,56441.3010253384,56390.5895975721,84413.9792412190,79377.3705937327,564.3176435075,1918.1969333108,6954.8055807971,145.3190298204,1320.8725050268,1443.7927446972,0.0000000000,0.0000000000,1200.0000000000,10777.7207307635
2025-02-17,51317.5697011768,1838.0066059673,-2986.8482441872,1553.7154478426,51722.4435107995,51813.6679171742,83196.2719712187,75134.4722942359,284.9536294001,956.1381541227,9017.9378311055,249.2214490166,1443.7927446972,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10797.9967163821
2025-02-18,45247.6630038999,4022.6039755341,0.0000000000,186.9175184601,49457.1844978941,49382.1151942437,73378.3794626764,76689.9764413659,41.4885998740,3311.5969786896,0.0000000000,306.1698453983,1222.6724491486,1404.6341331920,0.0000000000,0.0000000000,1213.5567169615,10800.0000000000
2025-02-19,45639.7435342940,2983.6773640705,-44.2579899613,4928.5246355141,53507.6875439172,53592.1104924218,73868.5530165589,76782.6103137994,1068.1269461328,3032.5603338918,118.5030366513,689.6150526614,1404.6341331920,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,47690.5858463808,886.2766390255,-809.0562769673,2496.7937519214,50264.5999603604,50195.9372201014,78003.5674059521,76086.1778806871,522.9065256079,611.4271762832,2528.8167015481,1096.4598543852,1200.0000000000,1366.4327127206,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17211.0363389357,1096.2210572476,0.0000000000,0.0000000000,18307.2573961833,18353.6883569771,33673.2688684867,34470.1797002115,0.0000000000,796.9108317248,0.0000000000,5650.1108078601,1366.4327127206,1253.8879653075,0.0000000000,0.0000000000,1253.8879653075,10800.0000000000
2025-02-22,17468.8816821831,2698.7189144482,-95.6690318062,0.0000000000,20071.9315648251,19649.7263115432,33694.6140468818,35374.7195741052,0.0000000000,1947.0180801871,266.9125529636,3226.6526922798,1253.8879653075,2277.2780217408,0.0000000000,0.0000000000,1213.1293620532,10800.0000000000
2025-02-23,45910.7046889003,3933.0862796253,-939.3199112328,263.2965101321,49167.7675674249,49608.2547288723,74712.1615876884,74845.7195385931,92.4236729240,2791.8553237105,2658.2973728058,278.0730048382,2277.2780217408,1209.5741561264,0.0000000000,0.0000000000,1200.0000000000,10487.9268301331
2025-02-24,44618.6270658543,1983.7128350151,-77.7376043149,324.3955726841,46848.9978692386,46619.7443884663,71982.3557585989,73307.5197538112,70.9617135854,1538.1121165585,212.9481213462,406.4457600763,1209.5741561264,1765.2653295578,0.0000000000,0.0000000000,1209.5741561264,10800.0000000000
2025-02-25,45722.9498619709,1586.5245222694,-1655.1517172556,692.3160334823,46346.6387004669,46578.4380323733,74556.6817902818,70155.1468884555,227.7031067093,845.5058418878,5247.0407437140,1062.4318500802,1765.2653295578,1203.4032269030,0.0000000000,0.0000000000,1200.0000000000,10588.1563399730
2025-02-26,41043.3096520644,6418.6700675415,0.0000000000,1812.5886733028,49274.5683929087,49100.5689407051,67392.8342732096,73732.6390352767,376.9926359908,6339.8047620672,0.0000000000,595.0115399291,1203.4032269030,1625.1632780296,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,41955.4226214185,3479.4828394267,-77.2960845820,2441.4960258016,47799.1054020648,47882.0025742373,68425.5970091141,70764.5112149400,503.1421750244,2667.1651930934,328.2509872675,239.3255323346,1625.1632780296,1424.2274984570,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16685.4710856066,784.8924046421,-12.9157008667,118.1758205080,17575.6236098900,17663.4563320264,32287.7958713175,32933.5062291723,47.2183210949,672.8931494188,27.1827915640,6681.0911335402,1424.2274984570,1211.3283605019,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17808.5973028363,0.0000000000,-324.9874390641,1245.2028961656,18728.8127599378,18720.7315298698,34478.0835081772,33472.5651933570,264.6746209783,0.0000000000,1005.5183148202,6900.4582132552,1211.3283605019,1230.9165831285,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48212.1604850783,3129.0247244172,-799.6417058987,0.0000000000,50541.5435035968,50260.6046576543,78378.0758177141,78461.3002210046,0.0000000000,2274.2345377333,2191.0101344428,964.9996377511,1230.9165831285,1911.8887386583,0.0000000000,0.0000000000,1230.9165831285,10800.0000000000
2025-03-03,49232.7359930819,2580.0831712416,-1679.9212096603,86.9346029134,50219.8325575765,50487.3310411691,79747.5450534300,76419.4653372014,41.3674704351,1656.0061369795,4984.0858532082,652.3008018529,1911.8887386583,1263.4948920832,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-04,43636.7486812790,3369.5806087147,-24.2240592720,229.8738556360,47211.9790863577,47238.1742568360,71093.7131309710,73431.2709522760,107.6884492408,2389.1025072192,51.5446859142,281.2728623509,1263.4948920832,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-05,46386.3684313887,4110.3459742338,-2199.2479145719,20.0421646426,48317.5086556931,48194.3201892876,75865.5507563427,71255.6443658504,4.3068600856,2136.6893909611,6746.5957814535,862.9346434462,1200.0000000000,1498.5984911526,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-06,42586.5129887052,2199.7829112563,-105.1596928438,0.0000000000,44681.1362071177,44539.0646220084,69775.9491277351,70912.7848222387,0.0000000000,1428.8757836417,292.0400891382,459.3125529631,1498.5984911526,1842.9680753117,0.0000000000,0.0000000000,1498.5984911526,10800.0000000000
2025-03-07,17146.4206987126,479.6203629525,-521.9972384544,0.0000000000,17104.0438232107,17280.0057565057,32522.2080776745,31531.1822221252,0.0000000000,272.1898940550,1263.2157496042,8076.3289897368,1842.9680753117,1416.4511349254,0.0000000000,0.0000000000,1302.6343106188,10800.0000000000
2025-03-08,15992.9874786466,172.7578750790,-21.3764286286,0.0000000000,16144.3689250970,16174.8153443100,30846.2869445040,30959.3149475227,0.0000000000,158.7997535003,45.7717504816,8922.4549206435,1416.4511349254,1342.6515731378,0.0000000000,0.0000000000,1220.7902656234,10800.0000000000
2025-03-09,44544.8137238802,20.8792644706,-1752.0611821558,1750.1317096175,44563.7635158125,44592.8808344139,73348.0498343745,67475.3867442084,316.6861104426,15.0120546858,5887.6751448519,308.2988692273,1342.6515731378,1272.0736395495,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-10,41748.6320421781,4114.9009120485,0.0000000000,0.0000000000,45863.5329542266,45777.3459651105,69439.1009100934,73084.8724373971,0.0000000000,3645.7715273037,0.0000000000,590.5958598049,1272.0736395495,1480.9836589531,0.0000000000,0.0000000000,1272.0736395495,10800.0000000000
2025-03-11,37343.0243437024,7345.4154639969,0.0000000000,0.0000000000,44688.4398076994,44601.8385131320,60723.8512724620,69337.3147378530,0.0000000000,8613.4634653910,0.0000000000,1043.7263817899,1480.9836589531,1690.8979199566,0.0000000000,0.0000000000,1450.6035995215,10800.0000000000
2025-03-12,43528.1727137233,361.7558617316,-1466.9476653343,0.0000000000,42422.9809101206,42569.1940823922,71416.6699521708,66613.6862320305,0.0000000000,231.7659286402,5034.7496487805,409.3972772467,1690.8979199566,1336.4894765295,0.0000000000,0.0000000000,1302.1045427498,10800.0000000000
