date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23728.5496224013,0.0000000000,-1040.0494654085,0.0000000000,22688.5001569928,22538.5923677549,45021.9763005197,41692.8283126915,0.0000000000,0.0000000000,3329.1479878282,3207.9942931355,1520.6548179639,1884.0187024619,0.0000000000,0.0000000000,1465.2452210986,10800.0000000000
2025-02-02,57250.5837004860,0.0000000000,-1894.6687286473,1170.6660247006,56526.5809965393,56595.3138636174,90620.9438098828,85504.9010475173,178.9566968034,0.0000000000,5116.0427623655,3102.5142395577,1884.0187024619,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58172.3811384601,172.5990449427,-1963.2890700886,288.3821336154,56670.0732469296,56575.2667394899,92125.4746052185,86806.9200546725,65.2464835708,96.8962945001,5415.4508450461,1845.0260934889,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60002.1990128479,0.0000000000,-2418.7614631748,55.0009960512,57638.4385457243,57822.4464993373,94155.2782168307,87868.4757399716,26.2034283236,0.0000000000,6286.8024768592,2593.1863156455,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55989.4870848862,639.7883441776,-1045.5887410141,114.3460978709,55698.0327859206,55646.0584069995,88867.9909605355,86715.3198232211,16.3913557728,522.3295653312,2675.0007026456,1298.3716211298,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60061.5123928145,297.6392478941,-2889.4844041771,430.0805735947,57899.7478101263,57815.3672926920,94691.9898600919,86646.3211538457,83.2598812808,154.7507217198,8200.4194279660,1821.5285851856,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22797.1354770903,0.0000000000,-970.5553904002,277.8956128002,22104.4756994902,22257.7662173920,43846.4465844714,40308.1245901011,60.3915118073,0.0000000000,3538.3219943703,5277.8592157728,1831.7120092044,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19332.4577428739,281.7484137874,0.0000000000,0.0000000000,19614.2061566612,19503.5725428381,37197.7428264314,37387.0500914874,0.0000000000,189.3072650560,0.0000000000,1916.3886128401,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55807.9911452627,223.3698764970,-817.0604802376,0.0000000000,55214.3005415221,55324.0063527626,88067.5138202149,85989.7461772629,0.0000000000,187.2687219919,2265.0363649439,2449.0815964361,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52495.5072397417,16.9642412363,-1334.6830343715,280.5962645670,51458.3847111735,51537.6545578994,84062.1052020360,80160.3286514110,69.9853748170,12.0724745490,3913.8490251740,1567.1982700443,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53396.6835748776,0.0000000000,-2059.6548141116,5226.0618696222,56563.0906303882,56493.6110825133,85322.7814093174,79923.3677392474,984.0939646053,0.0000000000,5399.4136700699,1000.9533452309,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53488.5244734951,207.6004072457,-1887.0283326885,2706.5436517046,54515.6401997570,54555.5349030847,85290.9269744583,80220.3841099997,562.4538373555,108.2226337778,5178.7654982364,1029.5637485959,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49231.6919192707,306.0738717874,-1171.1070411477,3183.9424083113,51550.6011582217,51524.2122105024,79806.2286593000,76881.2982446871,622.6318902625,291.3026849464,3216.2330995593,1662.5693017161,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18949.9830103122,1773.1059459953,0.0000000000,0.0000000000,20723.0889563075,20422.1399955790,36666.5301658749,37937.4500409579,0.0000000000,1270.9198750830,0.0000000000,3906.8972677962,1405.9299117075,2135.4049040470,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18177.7409661273,761.3435763640,-151.0971480033,1056.4580843067,19844.4454787948,20180.4853451905,34520.4337830538,34608.6353841654,183.9118830705,630.2925872373,542.0909861257,3046.1608303223,2135.4049040470,1320.8725050268,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52732.0847260675,2622.3162953906,-2246.2735588414,1815.9963476066,54924.1238102234,54872.5555392438,84498.4914747500,79534.9644339478,383.1342645057,1413.5413397634,6377.0683805657,119.9639156356,1320.8725050268,1445.8696606467,0.0000000000,0.0000000000,1200.0000000000,10777.7207307635
2025-02-17,51317.5219040633,467.4567341716,-2650.9217517906,1660.1894763061,50794.2463627504,50886.3276123384,83224.1746150434,75361.6522799953,308.0661677068,256.7663172971,8119.2886523453,398.2889816513,1445.8696606467,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10797.9967163821
2025-02-18,45935.6102044905,2686.1936580286,-13.7124007574,388.9740368601,48997.0654986217,48921.9961949714,74361.1108231171,76661.3775603568,84.6261998740,2348.5328433905,48.2661061508,267.6504136904,1222.6724491486,1404.6341331920,0.0000000000,0.0000000000,1213.5567169615,10800.0000000000
2025-02-19,46260.3833644127,2953.6272507113,-98.2911835012,5399.4734835049,54515.1929151277,54599.6158636324,74836.9369429444,77488.5277272229,1168.3348063910,2936.3791064058,284.7883221273,1515.1603028553,1404.6341331920,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48134.9251170179,1034.6670865461,-700.7198790865,636.9489825027,49105.8213069802,49046.1176205489,78301.5759610243,76960.4302805137,135.3018564392,814.9014857746,2156.0471662851,1614.3462987271,1200.0000000000,1344.7167190632,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17626.9169607649,703.9415716351,-0.9110245428,0.0000000000,18329.9475078572,18367.4194148233,34160.5483487382,34719.2813860330,0.0000000000,561.0621298239,2.3290925291,5849.7427859743,1344.7167190632,1253.8879653075,0.0000000000,0.0000000000,1253.8879653075,10800.0000000000
2025-02-22,17398.7670243549,2495.3264341141,0.0000000000,541.9363909560,20436.0298494250,20013.8245961431,33476.0396548265,35317.0120762813,95.2785681642,1840.9724214548,0.0000000000,3282.5452252336,1253.8879653075,2277.2780217408,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
