date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23745.6121990873,0.0000000000,-1082.0672460341,0.0000000000,22663.5449530532,22516.1953893325,44945.8823612059,41637.0745872555,0.0000000000,0.0000000000,3308.8077739504,3154.0741791939,1520.6548179639,1877.8177787736,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,56845.3828214463,0.0000000000,-1926.9995650516,1011.8026219673,55930.1858783620,55996.3605199229,90582.7631787565,85289.7062202402,145.0405134701,0.0000000000,5293.0569585163,2732.3021432021,1877.8177787736,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,57772.2946253993,348.1469292097,-2186.9302564675,2248.1509855837,58181.6622837252,58086.8557762855,92250.8716657846,86257.5136055826,471.6117070882,187.7525345783,6181.1105947802,1679.5837299168,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,59604.9950322442,0.0000000000,-2404.2350123580,55.0009960512,57255.7610159375,57439.7689695505,94288.8195979714,87747.8812067328,26.2034283236,0.0000000000,6540.9383912386,2373.6171552606,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55672.2824581021,251.0690748097,-876.3610680323,89.3151981097,55136.3056629892,55084.3312840681,88887.8231576266,86880.2463069802,12.8032107382,193.8385495600,2201.4154002064,1422.3893249471,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,59778.2980877515,418.5865656753,-2972.0059096928,0.0000000000,57224.8787437341,57140.4982262998,94788.2073822100,86654.6713857950,0.0000000000,217.3479930399,8350.8839894549,1568.7475641670,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1512.7076226404,10800.0000000000
2025-02-07,22811.0926793548,0.0000000000,-1145.1622673497,277.8956128002,21943.8260248052,22097.1165427070,43896.4431404051,39825.2101830857,60.3915118073,0.0000000000,4071.2329573194,4715.1370787602,1831.7120092044,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19179.9554843801,835.4639640788,0.0000000000,0.0000000000,20015.4194484589,19904.7858346357,37229.6231406300,37784.5900555929,0.0000000000,554.9669149629,0.0000000000,2330.7251800389,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55179.6928156143,1179.0074799237,-1049.0563267526,0.0000000000,55309.6439687854,55419.3497800258,88125.4695736656,86434.4548281807,0.0000000000,1032.9513539153,2723.9660994003,2601.5455941336,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52171.5986008154,0.0000000000,-1401.6809960838,121.5554048826,50891.4730096142,50970.7428563401,84137.9884922667,79809.8012017006,34.8901519722,0.0000000000,4328.1872905660,1203.0174415372,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53246.3395331854,0.0000000000,-2164.6113214744,5188.6893853198,56270.4175970307,56200.9380491557,85464.1916788248,79734.9885859939,972.2035745930,0.0000000000,5729.2030928309,766.1899511048,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,52993.5051103661,572.7208403079,-2041.8196299394,3744.1582275914,55268.5645483259,55308.4592516536,85212.4021766210,79848.4815929773,761.4587847416,296.8311449585,5660.7517286022,827.2248055300,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49038.8775072318,404.4160300584,-1175.3460927609,995.2197106606,49263.1671551900,49236.7782074708,79970.5002140095,76845.9135516875,159.2802029491,442.3915718417,3566.9782341637,1155.5296262775,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18596.2590672604,2162.3002912234,0.0000000000,0.0000000000,20758.5593584838,20460.6516010833,36245.8823922755,37774.0932561504,0.0000000000,1528.2108638748,0.0000000000,3744.3831314832,1405.9299117075,2128.0332827296,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18224.3201354996,716.3393862893,-148.7891387537,0.0000000000,18791.8703830352,19124.8690461030,34684.5618783182,34845.0679889665,0.0000000000,551.1642982429,390.6581875946,3021.7211495285,2128.0332827296,1320.8725050268,0.0000000000,0.0000000000,1287.9140529182,10800.0000000000
2025-02-16,52329.0985836764,2987.4959418176,-2251.5971914304,1672.4953445929,54737.4926786565,54685.9244076769,84518.2482012842,79687.5209263053,348.7730577222,1595.2227558962,6425.9500308751,141.2135459322,1320.8725050268,1445.8696606467,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,51081.5425139452,1078.0232003953,-2712.9187829202,1434.6519990061,50881.2989304263,50973.3801800144,83398.4932676482,75229.9955128577,258.7733470594,569.1700431980,8737.6677979886,275.8551729848,1445.8696606467,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45724.5859377881,3221.9080475120,-67.2904193990,0.0000000000,48879.2035659010,48804.1342622507,74316.1201520798,76736.9858551196,0.0000000000,2716.5827735696,295.7170705297,245.4737261155,1222.6724491486,1404.6341331920,0.0000000000,0.0000000000,1213.5567169615,10800.0000000000
2025-02-19,46059.0815568016,2473.0794837407,-48.8998981555,4095.9713851022,52579.2325274889,52663.6554759936,74738.9926917474,77274.9168593277,886.4802517311,2658.2286399050,122.3044723247,957.5081041388,1404.6341331920,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,47780.1549036472,934.1845768138,-755.8642054760,1630.2407744941,49588.7160494791,49520.0533092201,78462.5907212522,76705.2590285378,340.1832972250,689.4998420098,2446.8315347242,1498.0386648548,1200.0000000000,1366.4327127206,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
