date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1068.7523485225,0.0000000000,22697.7878194351,22497.7426754815,44945.8823612059,41637.0745872555,0.0000000000,0.0000000000,3308.8077739504,3032.0283142078,1520.6548179639,2005.5474372966,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57123.8120093758,117.9677541500,-2023.7538148420,1013.6919571953,56231.7179058791,56350.5881276728,90370.3766167614,84926.5971324614,145.4438728270,101.0401499365,5544.8196342365,2668.0853620658,2005.5474372966,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,737.5018314590,-2081.1142559926,16.4618140000,56783.6822110660,56688.9777885758,92107.1201333747,86726.5760291483,3.5144777967,488.2601679269,5868.8042721533,1743.6056932064,1717.4160082249,1946.9715704150,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,59971.1606162490,160.0629230944,-2524.9313746328,55.0009960512,57661.2931607618,57845.1990294254,94162.4278705707,87818.5431519750,26.2034283236,100.2143292944,6444.0990478900,2474.4171799531,1946.9715704150,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,706.3902484103,-1037.3300870546,114.3460978709,55785.5037950727,55733.5294161516,88856.1564909600,86831.8251444087,16.3913557728,502.0272668015,2526.3586133528,1410.9060609904,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,657.2039522495,-3119.2653522543,285.7538500510,57976.7745652616,57892.7666668658,94661.5407155433,86471.9797942103,52.4471734363,347.7169711368,8537.2778924699,1608.6541170531,1627.1807253617,1830.8088119662,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22840.8618723809,0.0000000000,-1105.4970585384,277.8956128002,22013.2604266426,22166.1783255060,43858.8648148836,39990.6943733981,60.3915118073,0.0000000000,3868.1704414855,4918.1995945940,1830.8088119662,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085648683,1122.0333212760,-106.2257428379,0.0000000000,20209.1161433065,20098.5017244684,37229.6231406300,37784.5066346087,0.0000000000,798.1555117078,243.2720177292,2330.7251800389,1460.1486746728,1728.2687311078,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8521427745,858.9932663585,-947.7377347505,0.0000000000,55412.1076743825,55515.0200219809,88093.8546036999,86275.2366876504,0.0000000000,670.8798804053,2489.4977964548,2609.6740337861,1728.2687311078,1478.8178481597,0.0000000000,0.0000000000,1267.8052670926,10800.0000000000
2025-02-10,52473.9315952943,3052.0702817682,-2519.4937845292,173.4467375513,53179.9548300847,53265.9989454676,84010.2376346580,79729.2232709454,46.5400058319,3048.6944818344,7329.7088455471,1183.4015978081,1478.8178481597,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,0.0000000000,-2155.8594974172,5174.5516955331,56574.2183326428,56504.7387847678,85307.5142025036,79689.9922274209,972.2035745930,0.0000000000,5617.5219750827,766.1899511048,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,2223.6416873899,-2387.2467763042,1505.7821102413,54660.1409247534,54700.0356280811,85172.4740136200,80317.5416074706,310.3986702947,1799.9031668466,6654.8355729960,890.0633394391,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,1188.0991576772,-1484.5928293871,1087.5108104491,50099.0263621546,50072.6374144353,79870.0350400066,76800.8404568730,180.5224754223,1208.7901235772,4277.9847067108,1166.7678456263,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,2165.7718786464,0.0000000000,0.0000000000,20775.3829118542,20477.4751544536,36245.8823922755,37776.2703214881,0.0000000000,1530.3879292126,0.0000000000,3746.7565902466,1405.9299117075,2128.0332827296,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
2025-02-15,18235.4722025263,1199.4426528807,-309.8301543071,0.0000000000,19125.0847010998,19457.8550182743,34684.5618783182,34845.2896250116,0.0000000000,939.2949991953,778.5672525019,3021.7211495285,2128.0332827296,1321.4259962845,0.0000000000,0.0000000000,1289.3044636486,10800.0000000000
