date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23602.4567658895,0.0000000000,-1027.7431156561,0.0000000000,22574.7136502334,22441.5049883147,44708.1483954823,41562.8671181069,0.0000000000,0.0000000000,3145.2812773755,3105.5109307373,1520.6548179639,1843.5414210527,0.0000000000,0.0000000000,1426.1808170567,10800.0000000000
2025-02-02,56601.7624638800,0.0000000000,-1751.6518324231,1022.5356057414,55872.6462371984,55950.0949069327,89727.8462662410,84833.1540245259,148.1656640545,0.0000000000,4894.6922417151,2451.1955785540,1843.5414210527,1655.8123535576,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,57255.6699713194,536.8831942654,-1716.6887128414,171.3266726844,56247.1911254279,56178.0271756768,90890.3422183479,86309.2975736814,42.5631992195,304.0101989569,4885.0548436234,1397.0671442099,1655.8123535576,1823.4599559708,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,58970.4862643153,0.0000000000,-2128.0864370395,253.0812896988,57095.4811169746,57256.7848260909,92773.4502056348,87227.8036974377,110.3138911050,0.0000000000,5545.6465081971,1884.5423144807,1823.4599559708,1432.4733192762,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,54652.4805719394,959.7479618033,-670.3055255082,179.6396305883,55121.5626388228,55121.8328187873,86927.4111920374,86004.2843719195,27.3278968211,783.3994051205,1706.5262252384,674.4063908731,1432.4733192762,1431.8184257451,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,58690.3396725103,1134.8171920052,-2632.2020830844,227.0539159926,57420.0086974237,57319.0476904962,92659.5126697569,85857.5960429586,40.1796292066,617.1236982904,7419.0403250887,946.7315935204,1431.8184257451,1676.5394228760,0.0000000000,0.0000000000,1431.8184257451,10800.0000000000
2025-02-07,21527.7425746354,0.0000000000,-720.4509589240,973.1492807926,21780.4408965040,21939.9084884836,41431.9349228036,39005.1897729468,203.5950356872,0.0000000000,2426.7451498568,4030.4917654250,1676.5394228760,1290.0033798337,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,18312.9127511126,1427.8082664311,0.0000000000,0.0000000000,19740.7210175437,19631.7179591431,35624.0871067568,36691.5330778066,0.0000000000,1067.4459710498,0.0000000000,1220.0325754183,1290.0033798337,1554.2176339691,0.0000000000,0.0000000000,1257.8717988405,10800.0000000000
2025-02-09,53758.9286332677,1027.8615366806,-313.6419599187,115.4368718646,54588.5850818942,54715.0488765572,85644.7217696127,85468.0756789555,34.0568756339,810.2860239643,986.9321146216,1863.3403645987,1554.2176339691,1247.6800223433,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,50896.4622314896,368.9231497440,-943.9769623722,685.2549350582,51006.6633539196,51026.3340120264,81750.0018651116,79122.8672546958,204.0073935615,252.8197625233,2879.9543729391,581.2359645285,1247.6800223433,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,51970.9343322310,614.3699848558,-1736.6747172961,5645.7414656636,56494.3710654543,56460.4588674078,83040.9618286817,78852.3551641397,1094.0094949869,320.3156169887,4508.9222815306,163.8863796376,1200.0000000000,1282.2003184538,0.0000000000,0.0000000000,1200.0000000000,10743.7309656007
2025-02-12,51926.9129259101,1329.2510487935,-1474.9382339689,1516.5040992944,53297.7298400291,53320.1765854812,83127.9013473026,79703.3773067758,324.2047603389,717.5805754374,4142.1046159642,239.5235988081,1282.2003184538,1227.7912936574,0.0000000000,0.0000000000,1200.0000000000,10765.5905867546
2025-02-13,48054.6362742824,320.1861543864,-523.6670225927,514.6315522113,48365.7869582874,48352.0057978372,78048.1084797190,76507.3102573789,90.5772934876,260.4976315902,1801.2958539303,828.9473592805,1227.7912936574,1261.1956685705,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,17995.9772027498,2902.5056226530,0.0000000000,0.0000000000,20898.4828254027,20471.9800855054,35003.3041470789,37108.3524942783,0.0000000000,2105.0483471995,0.0000000000,2780.8241354683,1261.1956685705,2295.0024714459,0.0000000000,0.0000000000,1261.1956685705,10800.0000000000
