date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23612.2631834175,0.0000000000,-1041.0216220339,0.0000000000,22571.2415613836,22437.3641326571,44632.2107353608,41545.4026676218,0.0000000000,0.0000000000,3086.8080677389,3092.0166442682,1520.6548179639,1845.1624555989,0.0000000000,0.0000000000,1436.0147872059,10800.0000000000
2025-02-02,56772.0931154365,0.0000000000,-1772.6151514470,686.6594311229,55686.1373951123,55740.7248136234,89981.5431719401,85055.8387145464,98.9651550256,0.0000000000,4925.7044573937,2564.3220554804,1845.1624555989,1712.8471400589,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,57999.9768317563,503.4614572958,-1917.9487300365,13.3566266937,56598.8461857092,56468.5764646919,91948.3682353089,86830.7486376396,2.8515428466,291.5253836423,5409.1449813116,1747.0401299061,1712.8471400589,2028.6099973592,0.0000000000,0.0000000000,1250.4849945200,10800.0000000000
2025-02-04,60084.1719397600,0.0000000000,-2502.3724661659,0.0000000000,57581.7994735940,57791.6945495168,94266.2457764882,87851.8080799624,0.0000000000,0.0000000000,6414.4376965258,2558.4600411262,2028.6099973592,1519.8419706141,0.0000000000,0.0000000000,1204.4849182577,10800.0000000000
2025-02-05,56415.3849113287,232.7843497586,-1049.6465776492,0.0000000000,55598.5226834381,55540.8556407098,89405.8282518078,86931.9830225393,0.0000000000,183.8002898187,2657.6455190872,1489.2698034261,1519.8419706141,1659.6220364786,0.0000000000,0.0000000000,1209.9157915580,10800.0000000000
2025-02-06,60463.5603185521,329.4652136972,-3139.8568334752,258.6836767170,57911.8523754912,57831.8209680003,95061.0549943634,86586.2483110733,46.7491821502,170.5174099823,8645.3240932723,1729.5713273867,1659.6220364786,1853.6114432704,0.0000000000,0.0000000000,1533.6603708475,10800.0000000000
2025-02-07,23107.4908036956,0.0000000000,-1163.9092503402,252.9006374605,22196.4821908159,22350.0126732438,44298.2086787671,40283.2852796147,54.7725580542,0.0000000000,4014.9233991524,5256.2938610035,1853.6114432704,1481.4664548914,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19386.0511984551,705.3265329071,-3.6374232079,0.0000000000,20087.7403081544,19970.0807753889,37546.5562122244,38005.7827906916,0.0000000000,466.9162664839,7.6896880167,2534.3184402814,1481.4664548914,1766.6632754918,0.0000000000,0.0000000000,1260.2177657246,10800.0000000000
2025-02-09,55868.0894062132,181.5590638894,-803.5061760406,0.0000000000,55246.1422940620,55365.9018186025,88609.6354464890,86487.7055610625,0.0000000000,143.3535590283,2265.2834444548,2917.9906367204,1766.6632754918,1476.3762512893,0.0000000000,0.0000000000,1263.1980091737,10800.0000000000
2025-02-10,52798.7182807550,4.6142559151,-1576.9557835349,2.9038350169,51229.2805881521,51311.3889621455,84492.8490955617,80044.5751419966,0.6382756384,3.2837004804,4451.5576540455,1463.0521967373,1476.3762512893,1277.3524522209,0.0000000000,0.0000000000,1200.5944112745,10800.0000000000
2025-02-11,53817.9196265428,0.0000000000,-2188.5107416681,3906.4506320991,55535.8595169738,55460.4943284161,85680.7836419511,80165.6618062194,729.5636385712,0.0000000000,5515.1218357317,963.7336434218,1277.3524522209,1460.0313364167,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53601.5746372438,481.1845742962,-1851.1315940580,749.2847157562,52980.9123332382,53016.7946663430,85572.0936391113,80720.0992975037,149.2616413725,249.0410031810,5101.0353447886,1115.6876750811,1460.0313364167,1373.0555761304,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49745.0000052015,41.0967569535,-1191.4580517735,994.9456225671,49589.5843329486,49557.1698845750,80501.2311022749,77231.5112216264,161.0873350933,36.8260333888,3306.5459140373,1593.4550093791,1373.0555761304,1451.6254752316,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18928.4126384914,1877.6206250796,0.0000000000,0.0000000000,20806.0332635710,20539.6596385236,36816.8686312109,38142.7183602330,0.0000000000,1325.8497290221,0.0000000000,4204.4517740278,1451.6254752316,2097.2927592138,0.0000000000,0.0000000000,1451.6254752316,10800.0000000000
2025-02-15,18841.6042963573,341.5039539583,-247.2939542051,0.0000000000,18935.8142961105,19235.4960696630,35901.3834105823,35286.6523958736,0.0000000000,221.1292856577,835.8603003663,3355.3618702320,2097.2927592138,1370.8893221082,0.0000000000,0.0000000000,1307.7690305098,10800.0000000000
2025-02-16,53332.9642356160,2350.3823070935,-2420.2334220509,1610.5805422234,54873.6936628820,54818.2455631736,85425.2816662661,79957.2155337498,338.8381132457,1231.6519587519,6699.7180912683,437.7945530277,1370.8893221082,1505.2908565481,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,52399.1958940611,849.0314187781,-3173.4127944768,1039.6481799580,51114.4626983203,51222.6389202929,84684.0383071395,75619.3465341288,151.4501580388,439.4798344453,9504.1716074560,639.2837952339,1505.2908565481,1243.0807844356,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,46990.9964314027,1764.3149892098,-111.1426858832,104.1889089563,48748.3576436856,48641.5162021457,76122.7308372741,77098.3160589258,23.3044896413,1366.7949572489,391.2097355972,599.3830744871,1243.0807844356,1502.0554609396,0.0000000000,0.0000000000,1243.0807844356,10800.0000000000
2025-02-19,47218.1087884861,2029.4710489517,-324.6402802167,3730.9893139519,52653.9288711731,52778.5435296696,76307.6767751763,77480.5885908845,782.5360514507,1940.0288086297,767.1169929215,1197.3554154698,1502.0554609396,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,49001.9509280687,702.1386299494,-1029.2341346738,1406.4982476473,50081.3536709916,49977.6812175853,79869.5777893887,77242.4618163149,296.9974028457,474.4920984795,3101.6080715532,1962.1160020634,1200.0000000000,1451.2933155552,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17664.2368772065,484.4140028608,-2.4040512545,0.0000000000,18146.2468288129,18181.6211371964,34517.0553585119,34811.2201538147,0.0000000000,299.2838938231,5.1190985204,5925.5204812227,1451.2933155552,1365.5489645045,0.0000000000,0.0000000000,1365.5489645045,10800.0000000000
