parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,cost_change_yuan,cost_change_percent
alpha0,0.45,0.6,13447571.100267138,13447653.710185513,334756.0962991093,72193.2838864166,1047254.6290431776,403789.5843364152,12050089.270525897,1194768.0344643355,-132042.3010222033,19798244.468928624,20441709.513635393,61545.7553597699,64028.1444830931,1320.4153174624,61484.816141132265,0.45931883924911276
alpha0,0.5,0.6,13415256.47285468,13415339.082773056,328633.4392355055,70243.7088324989,884909.6836131958,493353.328533266,12233611.31295954,1016097.1138617746,-163085.3932021372,20078034.873106204,20469591.228186134,61406.3633170306,63818.2813844318,1320.4153174624,29170.188728673384,0.21791424401070145
alpha0,0.55,0.6,13394340.878919907,13394423.48883828,319488.3209374335,67668.4205040574,738993.0120369659,596651.217883086,12417887.34172596,856191.294615295,-199226.0783587808,20357972.429180227,20500314.223334108,61506.3821781662,63713.5574152922,1320.4153174624,8254.594793900847,0.061665483239037706
alpha0,0.65,0.6,13392171.288577683,13392234.931612747,302729.9505601415,62426.2668145759,485038.4197736161,851039.7829854279,12798545.132765278,581071.1976350257,-290174.9923827617,20932519.081362717,20566517.718150903,61804.9863692377,63645.9361747499,1366.3894488377,6085.004451677203,0.045457681375423026
alpha0,0.7,0.6,13411613.772871964,13411664.544904467,291829.7394486188,58929.7443564825,376101.9540877154,1000231.7947199184,13001426.255258787,463095.6878183655,-344737.9096538076,21235726.273094885,20611596.432462685,61549.6861317746,63684.0757131728,1397.5876774999,25527.488745957613,0.19070165994843155
alpha0,0.75,0.6,13456390.387859011,13456428.28045166,282297.8470167469,55825.9227500383,283402.2925822125,1178399.4190785908,13223915.279146872,361316.2693657372,-411139.0076703475,21564746.008939013,20669748.88244264,61909.0638282115,63820.1372936863,1428.8063574642,70304.103733005,0.5252028280766101
alpha0,0.8,0.6,13530319.910218952,13530340.518688437,275547.4642178182,53196.0614535052,207555.3802610401,1394518.0375541302,13471007.345114244,276109.7772919405,-492344.6764050523,21925915.34113158,20738952.683838498,62342.7103375163,63960.631519701,1470.7016196433,144233.62609294616,1.077489140825177
alpha0,0.85,0.6,13633202.597324625,13633206.944316652,266766.7963362217,50124.0706782774,145185.9936219559,1666462.952786439,13756519.033404084,204578.3399075524,-594661.5723232348,22340283.782256734,20819006.823092252,62760.6037356701,64208.1756017222,1510.1180745626,247116.3131986186,1.8460684322023486
alpha0,0.9,0.6,13781193.050646212,13781174.893521627,258570.4104722192,47058.3761307858,93427.7771358071,2021976.532528568,14109228.782589331,142628.0813452551,-729234.2237605955,22848121.895822976,20919573.140430216,63352.5043490386,64629.7971280101,1564.6661622242,395106.7665202059,2.9516227382214493
alpha_update,0.5,0.6,13501726.683731748,13501808.394097203,520202.5902052819,106403.0069105756,513198.8689276963,782523.7154566468,12618848.841222132,632818.704170143,-270143.4518658117,20673541.39493812,20404216.548409164,62302.7765022507,64371.2963936359,1322.5957581405,115640.39960574172,0.8638850605861909
