alpha0,alpha_update,full_adjusted_cost,none_adjusted_cost,saving,beats_none
0.4500000000,0.5000000000,13559182.9985838458,16421984.8654248379,2862801.8668409921,True
0.4500000000,0.5500000000,13488113.7440103292,16421984.8654248379,2933871.1214145087,True
0.4500000000,0.6000000000,13447653.7101855129,16421984.8654248379,2974331.1552393250,True
0.4500000000,0.6500000000,13438067.9919568226,16421984.8654248379,2983916.8734680153,True
0.4500000000,0.7000000000,13464997.1727952436,16421984.8654248379,2956987.6926295944,True
0.4500000000,0.7500000000,13521535.1847086884,16421984.8654248379,2900449.6807161495,True
0.4500000000,0.8000000000,13615542.4081263468,16421984.8654248379,2806442.4572984912,True
0.5000000000,0.5000000000,13528312.2069107257,15797981.5310865827,2269669.3241758570,True
0.5000000000,0.5500000000,13457354.3206347227,15797981.5310865827,2340627.2104518600,True
0.5000000000,0.6000000000,13415339.0827730559,15797981.5310865827,2382642.4483135268,True
0.5000000000,0.6500000000,13403109.8701565769,15797981.5310865827,2394871.6609300058,True
0.5000000000,0.7000000000,13424244.1733297780,15797981.5310865827,2373737.3577568047,True
0.5000000000,0.7500000000,13477560.8811382279,15797981.5310865827,2320420.6499483548,True
0.5000000000,0.8000000000,13565718.0849262588,15797981.5310865827,2232263.4461603239,True
0.5500000000,0.5000000000,13509010.0028894916,15286666.8420943040,1777656.8392048124,True
0.5500000000,0.5500000000,13437622.0425522979,15286666.8420943040,1849044.7995420061,True
0.5500000000,0.6000000000,13394423.4888382815,15286666.8420943040,1892243.3532560226,True
0.5500000000,0.6500000000,13378061.8401669264,15286666.8420943040,1908605.0019273777,True
0.5500000000,0.7000000000,13396020.7549746186,15286666.8420943040,1890646.0871196855,True
0.5500000000,0.7500000000,13445539.3589669298,15286666.8420943040,1841127.4831273742,True
0.5500000000,0.8000000000,13528985.8117830958,15286666.8420943040,1757681.0303112082,True
0.6000000000,0.5000000000,13501808.3940972053,14865329.9943004623,1363521.6002032571,True
0.6000000000,0.5500000000,13428940.6955306809,14865329.9943004623,1436389.2987697814,True
0.6000000000,0.6000000000,13386165.0355510395,14865329.9943004623,1479164.9587494228,True
0.6000000000,0.6500000000,13369200.8129971977,14865329.9943004623,1496129.1813032646,True
0.6000000000,0.7000000000,13382764.2138879411,14865329.9943004623,1482565.7804125212,True
0.6000000000,0.7500000000,13426741.9031340890,14865329.9943004623,1438588.0911663733,True
0.6000000000,0.8000000000,13502596.9005271122,14865329.9943004623,1362733.0937733501,True
0.6500000000,0.5000000000,13517438.9356748443,14524686.0394631177,1007247.1037882734,True
0.6500000000,0.5500000000,13439030.2198979501,14524686.0394631177,1085655.8195651677,True
0.6500000000,0.6000000000,13392234.9316127468,14524686.0394631177,1132451.1078503709,True
0.6500000000,0.6500000000,13373584.9729011338,14524686.0394631177,1151101.0665619839,True
0.6500000000,0.7000000000,13381533.3344480991,14524686.0394631177,1143152.7050150186,True
0.6500000000,0.7500000000,13419250.2182792090,14524686.0394631177,1105435.8211839087,True
0.6500000000,0.8000000000,13488633.5166870281,14524686.0394631177,1036052.5227760896,True
0.7000000000,0.5000000000,13546165.2235236056,14266735.6434199326,720570.4198963270,True
0.7000000000,0.5500000000,13464126.4852812774,14266735.6434199326,802609.1581386551,True
0.7000000000,0.6000000000,13411664.5449044667,14266735.6434199326,855071.0985154659,True
0.7000000000,0.6500000000,13387890.0340003744,14266735.6434199326,878845.6094195582,True
0.7000000000,0.7000000000,13392334.8663215190,14266735.6434199326,874400.7770984136,True
0.7000000000,0.7500000000,13424575.3660960011,14266735.6434199326,842160.2773239315,True
0.7000000000,0.8000000000,13488022.7219070010,14266735.6434199326,778712.9215129316,True
0.7500000000,0.5000000000,13598656.9363473058,14138914.1982584037,540257.2619110979,True
0.7500000000,0.5500000000,13514303.3753585294,14138914.1982584037,624610.8228998743,True
0.7500000000,0.6000000000,13456428.2804516591,14138914.1982584037,682485.9178067446,True
0.7500000000,0.6500000000,13425229.9154604524,14138914.1982584037,713684.2827979513,True
0.7500000000,0.7000000000,13423250.8499510847,14138914.1982584037,715663.3483073190,True
0.7500000000,0.7500000000,13448349.4798067100,14138914.1982584037,690564.7184516937,True
0.7500000000,0.8000000000,13503860.8174900878,14138914.1982584037,635053.3807683159,True
0.8000000000,0.5000000000,13674476.7237706948,14101938.1753663085,427461.4515956137,True
0.8000000000,0.5500000000,13590562.4789277092,14101938.1753663085,511375.6964385994,True
0.8000000000,0.6000000000,13530340.5186884366,14101938.1753663085,571597.6566778719,True
0.8000000000,0.6500000000,13491448.0171386059,14101938.1753663085,610490.1582277026,True
0.8000000000,0.7000000000,13478838.7315312438,14101938.1753663085,623099.4438350648,True
