date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-748.5735840470,0.0000000000,23017.9665839106,22714.9690045224,44945.8823612059,42361.5599334932,0.0000000000,0.0000000000,2584.3224277127,3537.0695633283,1520.6548179639,2255.0954897910,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57004.2784922310,224.7531157056,-1278.5688540954,0.0000000000,55950.4627538412,56017.1517369510,90093.1010028788,86239.3112135671,0.0000000000,169.4276977776,4023.2174870892,3826.9102327515,2255.0954897910,2093.4469985471,0.0000000000,0.0000000000,1469.4881158727,10800.0000000000
2025-02-03,57930.7139772353,103.8056425967,-1766.9243509499,0.0000000000,56267.5952688821,56352.9202133933,91689.3079219055,86590.3235655272,0.0000000000,53.7254574421,5152.7098138205,2218.0164195578,2093.4469985471,1886.6265028289,0.0000000000,0.0000000000,1385.5531571439,10800.0000000000
2025-02-04,60000.0659036227,504.3214675830,-2069.6422140802,0.0000000000,58434.7451571256,58456.8068195483,94229.4779456662,88837.3921327852,0.0000000000,365.5542254324,5757.6400383134,3264.4457245234,1886.6265028289,1833.1508869376,0.0000000000,0.0000000000,1513.3213459549,10800.0000000000
2025-02-05,55843.0926769487,1208.4433639673,-650.0419093536,0.0000000000,56401.4941315624,56400.8001965398,88487.3212812699,87792.3821030834,0.0000000000,1020.6790592894,1715.6182374760,2650.1984557613,1833.1508869376,1834.8329271217,0.0000000000,0.0000000000,1372.5416930479,10800.0000000000
2025-02-06,60053.6167105723,92.0085769922,-2713.7936858636,97.1387156066,57528.9703173075,57532.9306408465,94430.8160469212,86896.4943981984,16.6290705481,47.6197898673,7581.9414385901,2251.2328717310,1834.8329271217,1825.2334356457,0.0000000000,0.0000000000,1538.8698318923,10800.0000000000
2025-02-07,22843.5324776384,0.0000000000,-918.0329978192,0.0000000000,21925.4994798192,22043.6366240579,43865.0596774619,40598.2397112179,0.0000000000,0.0000000000,3266.8199662441,5380.1560048873,1825.2334356457,1538.8789249673,0.0000000000,0.0000000000,1237.0150514311,10800.0000000000
2025-02-08,19155.6842530332,772.5661535112,0.0000000000,0.0000000000,19928.2504065444,19860.3384146504,37142.1450847473,37721.9614976496,0.0000000000,579.8164129023,0.0000000000,2374.2401378303,1538.8789249673,1703.4918867358,0.0000000000,0.0000000000,1243.7456955207,10800.0000000000
2025-02-09,55512.7202512286,165.2889265299,-732.3780650254,0.0000000000,54945.6311127332,55033.6012826434,88121.3844307799,86072.8679765905,0.0000000000,144.3538678859,2192.8703220753,2427.1642265705,1703.4918867358,1490.2595869265,0.0000000000,0.0000000000,1302.1269431745,10800.0000000000
2025-02-10,52468.4510024250,104.6340139544,-1402.8724419611,66.0799677284,51236.2925421467,51306.3701438581,83997.5245915838,80026.3923575879,14.5246659476,66.8324584505,4037.9646924464,1402.1743952633,1490.2595869265,1320.3973689350,0.0000000000,0.0000000000,1250.1432262548,10800.0000000000
2025-02-11,53531.5075291509,0.1624780883,-1769.6234164438,987.9205672754,52749.9671580708,52701.1744767607,85251.7995066649,80670.4396892266,180.7105410092,0.1156263082,4581.4754437465,975.2392200021,1320.3973689350,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,640.9262652609,-1770.1565559437,285.1054891467,52473.8391018904,52513.7338052181,85172.4740136200,80486.6168052442,60.0078024382,331.7166189276,5017.5738273034,865.7350682390,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,387.6224356885,-873.1599335236,153.3422867647,48975.8140123450,48946.1748779910,79870.0350400066,77542.0286621990,34.8606462213,313.1575078116,2641.1638856192,1773.8603720661,1341.9653198752,1413.8080910000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18605.8461388593,1056.5894239687,0.0000000000,0.0000000000,19662.4355628279,19666.0408313610,36237.1288597283,37002.9323861029,0.0000000000,765.8035263746,0.0000000000,3685.8328581194,1413.8080910000,1405.0692230233,0.0000000000,0.0000000000,1257.8497386155,10800.0000000000
2025-02-15,18579.9510372640,374.6623410105,-208.1012980329,736.1092616309,19482.6213418725,19557.4899187442,35487.8552779919,35236.4511961417,187.8201789962,278.6111610978,530.0152429480,2885.3439952785,1405.0692230233,1223.5940838244,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52681.7480060570,1725.1408528439,-2202.2744986607,3064.1882751154,55268.8026353555,55266.9742438609,84481.7391151837,79310.2449515996,649.8988980472,889.2742341003,6060.7683976844,185.6071522739,1223.5940838244,1228.0259511693,0.0000000000,0.0000000000,1200.0000000000,10777.7207307635
2025-02-17,51481.9441579779,1482.5923725504,-2906.4440947338,1490.1135267506,51548.2059625452,51550.4145795455,83418.8751670677,75398.1753609880,282.0463605755,768.7514627142,8789.4512687939,303.1638316646,1228.0259511693,1222.6724491486,0.0000000000,0.0000000000,1200.0000000000,10797.9967163821
2025-02-18,45848.0648279785,2779.1526122238,0.0000000000,565.4554039791,49192.6728441815,49150.6613875593,74284.4534854131,76509.3234098611,97.0397828565,2224.8699244480,0.0000000000,243.1034942465,1222.6724491486,1324.5046898163,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46219.8713691189,2344.8927154715,-14.7118336226,3413.9089757699,51963.9612267376,52015.3263282141,74796.3587399426,77056.2519416147,790.0740573391,2324.6479281782,64.7547265061,593.6048946759,1324.5046898163,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48040.1750282058,467.7529288664,-902.5421955711,1701.9880211274,49307.3737826284,49288.2547394533,78430.9240545855,75897.9301402071,387.8937056595,296.3584075241,2829.3523219024,886.9241864565,1200.0000000000,1246.3429541008,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17390.8945667789,658.2446206400,0.0000000000,35.7465003216,18084.8856877405,18104.0047309156,33992.3270401444,34458.8996305172,16.7195979053,466.5725903729,0.0000000000,5526.6653285407,1246.3429541008,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-22,17547.6484183866,984.4683194965,-76.9802164009,389.2524097486,18844.3889312308,18840.3531789598,33862.9429822210,34394.0891514634,69.1407643112,744.1130888791,212.9669196367,3247.7425176857,1200.0000000000,1209.7823243842,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46690.3467840415,2604.3695153431,-799.9955298209,1441.4940391423,49936.2148087060,49940.2505609770,76237.4326423381,75768.7471867056,327.4219980074,1803.8390834745,2272.5245391071,245.0126487410,1209.7823243842,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10487.9268301331
2025-02-24,44967.5518006877,1160.1261618087,-403.1713267379,907.1049663223,46631.6116020808,46619.0474364406,72635.9792250273,72754.0686930603,219.6236498705,1093.9397827180,975.8503146849,527.8505736540,1200.0000000000,1230.4544817566,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-25,46275.4206783672,751.6209321929,-1682.1538784689,1217.4454783381,46562.3332104292,46573.4933559039,75552.5417313538,70744.0789322720,343.4547788754,395.3583942451,5203.8211933268,1117.9416832303,1230.4544817566,1203.4032269030,0.0000000000,0.0000000000,1200.0000000000,10722.7208426927
2025-02-26,41715.6818188844,4789.7616535901,0.0000000000,1512.0484500811,48017.4919225557,47988.1408296193,68466.4712724343,73323.9007940442,318.5362531139,4857.4295216099,0.0000000000,458.9974858497,1203.4032269030,1274.5478098351,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
