date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1157.1989925008,0.0000000000,22609.3411754569,22504.3198332343,44945.8823612059,41484.4215410636,0.0000000000,0.0000000000,3461.4608201424,3093.9582579070,1520.6548179639,1775.2177266638,0.0000000000,0.0000000000,1356.4442453005,10800.0000000000
2025-02-02,57234.1399407689,0.0000000000,-2089.5484034151,1452.5860590486,56597.1775964024,56631.3670121570,90626.2985174645,84979.2931161935,212.0278861370,0.0000000000,5647.0054012710,2541.3851703818,1775.2177266638,1692.3454557799,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58122.8416162208,297.3862948675,-2057.6856554853,211.9904796750,56574.5327352780,56504.7658980425,92134.9763027580,86497.9664842936,50.7465818620,154.3286351098,5791.3384535742,1596.6199365377,1692.3454557799,1861.4544067951,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60012.1233376229,0.0000000000,-2557.5381375372,400.5560035063,57855.1412035920,58003.7664913089,94257.4469412594,87720.5617703829,99.1666240955,0.0000000000,6536.8851708765,2328.6159505679,1861.4544067951,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,88.2254357132,-911.1003378125,451.1888421835,55630.4114759303,55587.8781803448,88856.1564909600,86642.3174964568,65.6876337139,73.6132129439,2287.4522074470,1274.1254425404,1501.1991982166,1604.2963326818,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60164.0437393090,583.5798191079,-3140.8878573116,318.4134599897,57925.1491610950,57866.2189827843,94686.9678185210,86356.1720472004,58.7483602470,302.0364977398,8632.8322690604,1550.1691663311,1604.2963326818,1747.1381330579,0.0000000000,0.0000000000,1493.3411943241,10800.0000000000
2025-02-07,22880.9401275779,0.0000000000,-1133.9861423524,351.3956869256,22098.3496721511,22220.2696893617,43951.8322358928,40019.6575543411,76.3560205557,0.0000000000,3932.1746815517,4878.7024309900,1747.1381330579,1451.6142561671,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19197.3870686453,712.5664744316,-6.8782142211,179.0204791379,20082.0958079937,20001.8346099999,37239.1058278586,37675.3906230321,29.2852084309,451.2434515341,14.9586563606,2318.9513446348,1451.6142561671,1646.1606558288,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55540.1819108331,280.3935427512,-902.2518502991,113.0614426058,55031.3850458910,55137.8359357623,88185.0857984543,86115.4611822480,23.4739393969,244.2276574471,2313.8522736534,2428.4579524493,1646.1606558288,1388.1326437520,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,52517.3698082056,4.5099965531,-1578.6644709325,609.9333363651,51553.1486701913,51601.7801006891,84110.9989728888,79670.5541662214,127.5388467009,3.2095050905,4443.6543117578,1090.6544711387,1388.1326437520,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,0.0000000000,-2273.8562271420,6215.7211961517,57497.3911035366,57427.9115556616,85307.5142025036,79484.3060266919,1161.4693192066,0.0000000000,5823.2081758117,764.3551515313,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
