date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,26970.5622823100,0.0000000000,0.0000000000,0.0000000000,26970.5622823100,26462.6227987411,50144.2141575839,50144.2141575839,0.0000000000,0.0000000000,0.0000000000,10999.7027831943,1904.7128492138,3135.9154756938,0.0000000000,0.0000000000,1904.7128492138,10800.0000000000
2025-02-02,58991.9955401788,0.0000000000,0.0000000000,0.0000000000,58991.9955401788,59246.6578969420,92346.4079862745,92346.4079862745,0.0000000000,0.0000000000,0.0000000000,10602.1791044352,3135.9154756938,2518.6353219451,0.0000000000,0.0000000000,1653.1165304421,10800.0000000000
2025-02-03,57664.0399878241,1082.4450795241,0.0000000000,0.0000000000,58746.4850673482,58847.3296395512,91251.6262238337,91870.3895215150,0.0000000000,618.7632976813,0.0000000000,7676.6425189297,2518.6353219451,2274.1965528024,0.0000000000,0.0000000000,1683.4827485175,10800.0000000000
2025-02-04,61584.3608116133,0.0000000000,0.0000000000,0.0000000000,61584.3608116133,61650.4011153987,96007.1204659315,96007.1204659315,0.0000000000,0.0000000000,0.0000000000,10759.7437099936,2274.1965528024,2114.1204057330,0.0000000000,0.0000000000,1660.6729205207,10800.0000000000
2025-02-05,57039.7670853146,97.1219680764,0.0000000000,0.0000000000,57136.8890533910,57160.3475590090,89863.5413388612,89938.6450602761,0.0000000000,75.1037214149,0.0000000000,4835.3539025355,2114.1204057330,2057.2589593117,0.0000000000,0.0000000000,1488.2090185333,10800.0000000000
2025-02-06,61112.4113613666,0.0000000000,0.0000000000,0.0000000000,61112.4113613666,61160.0609208158,95597.3779008529,95597.3779008529,0.0000000000,0.0000000000,0.0000000000,11266.2150247192,2057.2589593117,1941.7604311559,0.0000000000,0.0000000000,1567.9465382083,10800.0000000000
2025-02-07,24571.2579625100,0.0000000000,0.0000000000,0.0000000000,24571.2579625100,24501.0426833318,46543.4029794985,46543.4029794985,0.0000000000,0.0000000000,0.0000000000,10990.1887711395,1941.7604311559,2111.9563677582,0.0000000000,0.0000000000,1635.6694572087,10800.0000000000
2025-02-08,19734.0567598899,0.0000000000,0.0000000000,0.0000000000,19734.0567598899,19725.6170061189,37510.9062051969,37510.9062051969,0.0000000000,0.0000000000,0.0000000000,2369.2149027166,2111.9563677582,2132.4136217143,0.0000000000,0.0000000000,1511.2223630655,10800.0000000000
2025-02-09,56013.7866020695,75.8737208746,0.0000000000,0.0000000000,56089.6603229440,56320.4890968622,88457.8289480577,88517.4439019355,0.0000000000,59.6149538778,0.0000000000,5333.9759272683,2132.4136217143,1572.9040700678,0.0000000000,0.0000000000,1383.6485314792,10800.0000000000
2025-02-10,51432.7683082095,1021.0817592769,0.0000000000,173.8309927580,52627.6810602444,52650.5182683787,82544.9567308964,83162.6691998341,38.2088125636,617.7124689377,0.0000000000,4747.2231724197,1572.9040700678,1517.5485965400,0.0000000000,0.0000000000,1484.7611827847,10800.0000000000
