date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-01-01,45896.4263302016,0.0000000000,0.0000000000,102510.7820198869,148407.2083500884,150387.4750167551,72811.6026576890,72811.6026576890,17558.1462052778,0.0000000000,0.0000000000,0.0000000000,6000.0000000000,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,9676.9842968519
2025-01-02,63592.6229267774,0.0000000000,0.0000000000,3860.8705803216,67453.4935070991,67385.3547409363,98814.2776920464,98814.2776920464,678.3883903880,0.0000000000,0.0000000000,1665.2266590857,1200.0000000000,1365.1626435402,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-03,61648.3459468380,0.0000000000,0.0000000000,0.0000000000,61648.3459468380,58694.6876366605,95947.4683022010,95947.4683022010,0.0000000000,0.0000000000,0.0000000000,40668.1812867018,1365.1626435402,8524.5821941994,0.0000000000,0.0000000000,1365.1626435402,10800.0000000000
2025-01-04,44694.8654406644,0.0000000000,0.0000000000,0.0000000000,44694.8654406644,45615.1599328602,70950.4338506559,70950.4338506559,0.0000000000,0.0000000000,0.0000000000,26315.1840130820,8524.5821941994,6293.8656766228,0.0000000000,0.0000000000,4243.9805545189,10800.0000000000
2025-01-05,40027.5403561931,0.0000000000,0.0000000000,129924.4926495141,169952.0330057072,172053.5355898516,66210.4722122947,66210.4722122947,22817.2706599341,0.0000000000,0.0000000000,0.0000000000,6293.8656766228,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,9614.1737565477
2025-01-06,46846.8536009147,0.0000000000,0.0000000000,97256.6999997817,144103.5536006964,144103.5536006964,77526.5329726351,77526.5329726351,16897.0171026683,0.0000000000,0.0000000000,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,8546.1547180076
2025-01-07,59102.1153441042,0.0000000000,0.0000000000,28482.5644876010,87584.6798317051,87559.5476001210,92969.4216820933,92969.4216820933,4298.9251846580,0.0000000000,0.0000000000,188.0845743933,1200.0000000000,1260.9184175214,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-08,80066.0450190157,0.0000000000,0.0000000000,0.0000000000,80066.0450190157,78896.0295684477,119149.7943765309,119149.7943765309,0.0000000000,0.0000000000,0.0000000000,22804.8870734676,1260.9184175214,4096.9375543683,0.0000000000,0.0000000000,1260.9184175214,10800.0000000000
2025-01-09,72047.6129235696,0.0000000000,0.0000000000,0.0000000000,72047.6129235696,72219.1563202731,107339.1033879702,107339.1033879702,0.0000000000,0.0000000000,0.0000000000,12739.7032903021,4096.9375543683,3681.1307753940,0.0000000000,0.0000000000,2325.9500114638,10800.0000000000
2025-01-10,38009.1860175854,0.0000000000,0.0000000000,0.0000000000,38009.1860175854,38048.9428133250,65820.3529239865,65820.3529239865,0.0000000000,0.0000000000,0.0000000000,17541.4970093949,3681.1307753940,3584.7636432484,0.0000000000,0.0000000000,2524.4541405212,10800.0000000000
2025-01-11,32530.8821513275,0.0000000000,0.0000000000,0.0000000000,32530.8821513275,32623.7704063487,57916.5536423102,57916.5536423102,0.0000000000,0.0000000000,0.0000000000,10011.3686438569,3584.7636432484,3359.6103183922,0.0000000000,0.0000000000,2363.9279078756,10800.0000000000
2025-01-12,68602.9577176645,0.0000000000,0.0000000000,0.0000000000,68602.9577176645,68868.1188347648,104624.1508998663,104624.1508998663,0.0000000000,0.0000000000,0.0000000000,10101.0769757897,3359.6103183922,2716.8820517876,0.0000000000,0.0000000000,1855.4322688229,10800.0000000000
2025-01-13,66457.5848531958,0.0000000000,0.0000000000,0.0000000000,66457.5848531958,66742.7460485107,102172.5502669683,102172.5502669683,0.0000000000,0.0000000000,0.0000000000,10307.6722002061,2716.8820517876,2025.6752761791,0.0000000000,0.0000000000,1711.5157968730,10800.0000000000
2025-01-14,65839.1860136144,0.0000000000,0.0000000000,0.0000000000,65839.1860136144,65843.2823007956,101557.4771246348,101557.4771246348,0.0000000000,0.0000000000,0.0000000000,7789.1210031294,2025.6752761791,2015.7462202592,0.0000000000,0.0000000000,1576.9218562164,10800.0000000000
2025-01-15,62803.8972570557,0.0000000000,0.0000000000,0.0000000000,62803.8972570557,62859.5380067567,97606.4318219000,97606.4318219000,0.0000000000,0.0000000000,0.0000000000,2897.5902896545,2015.7462202592,1880.8777184255,0.0000000000,0.0000000000,1220.9428959292,10800.0000000000
2025-01-16,63086.9171523803,0.0000000000,0.0000000000,773.1280894385,63860.0452418188,63692.6280247917,97925.1739482097,97925.1739482097,136.9049462604,0.0000000000,0.0000000000,3960.6124523756,1880.8777184255,2286.6829845834,0.0000000000,0.0000000000,1222.5197434074,10800.0000000000
2025-01-17,28913.3958899835,0.0000000000,0.0000000000,0.0000000000,28913.3958899835,28931.4146197404,53704.7066585013,53704.7066585013,0.0000000000,0.0000000000,0.0000000000,7481.3778883447,2286.6829845834,2243.0070977501,0.0000000000,0.0000000000,1793.2872316243,10800.0000000000
2025-01-18,30601.8163644428,0.0000000000,0.0000000000,0.0000000000,30601.8163644428,30549.1419215595,56832.7836708859,56832.7836708859,0.0000000000,0.0000000000,0.0000000000,9868.3545108672,2243.0070977501,2370.6855211139,0.0000000000,0.0000000000,1909.1816218500,10800.0000000000
