date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-08-01,23443.2997326245,0.0000000000,-331.6772142264,0.0000000000,23111.6225183981,23981.0659499929,39686.4053976165,38702.9578447363,0.0000000000,0.0000000000,983.4475528803,12833.2554452607,12291.6489483446,16909.9916811535,5024.6880588210,2917.2302391727,0.6663972222,0.0000000000,0.0000000000,1777.6002295873,10800.0000000000
2025-08-02,24240.8829173206,0.0000000000,-633.0774607113,0.0000000000,23607.8054566093,23799.0972936521,42651.8886511159,41103.7316078376,0.0000000000,0.0000000000,1548.1570432783,13794.0887752624,11590.5197129844,17973.1376122263,2917.2302391727,2453.5549002595,0.6621875000,0.0000000000,0.0000000000,1288.8648783895,10800.0000000000
2025-08-03,49657.3855139911,213.3890361883,-173.0871462101,391.2402549702,50088.9276589396,50262.1523864104,66389.3298843168,66058.5402966150,46.5598797837,89.0951430178,419.8847307196,18115.5196944441,15051.4649176260,201.5654162473,2453.5549002595,2033.6727167859,0.8333687500,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-08-04,52563.1770667644,2736.9481757313,-883.7927021643,0.0000000000,54416.3325403313,54202.9233668476,69919.4773677986,69879.4165619874,0.0000000000,1971.5058113012,2011.5666171123,18693.5650373457,14676.2303666983,446.4268080067,2033.6727167859,2550.9586207323,0.8447847222,0.0000000000,0.0000000000,1938.0801822165,10800.0000000000
2025-08-05,51522.4969850934,1178.3571538278,-159.7168795702,0.0000000000,52541.1372593510,52616.8646044574,68774.5733076934,69939.2082351657,0.0000000000,1489.7090826798,325.0741552075,18053.3469407761,14788.4120711429,1521.9636321992,2550.9586207323,2367.4018994942,0.8445958333,0.0000000000,0.0000000000,1825.2180755471,10800.0000000000
2025-08-06,58388.9135858275,0.0000000000,-2159.6775945144,0.0000000000,56229.2359913131,56291.9283986171,76963.6105835556,72037.7453149965,0.0000000000,0.0000000000,4925.8652685591,18931.1500954763,15470.9965919230,463.1925447765,2367.4018994942,2215.4407721751,0.8577486111,0.0000000000,0.0000000000,1393.8908884045,10800.0000000000
2025-08-07,56007.1914161298,695.7437376124,-1750.7514062979,0.0000000000,54952.1837474443,54522.8159292906,79489.4618911284,72326.8949288560,0.0000000000,526.1173528024,7688.6843150748,20058.4553745594,15310.6724927562,4191.1267970528,2215.4407721751,3256.1922839939,0.8411048611,0.0000000000,0.0000000000,1463.5634346254,10800.0000000000
2025-08-08,21434.3277743742,0.0000000000,0.0000000000,0.0000000000,21434.3277743742,21926.3019224022,38552.7962058772,38552.7962058772,0.0000000000,0.0000000000,0.0000000000,12903.4819680821,11525.0739893596,21399.2169771547,3256.1922839939,2063.6882893126,0.6379520833,0.0000000000,0.0000000000,1612.9514810461,10800.0000000000
2025-08-09,22160.8710022545,0.0000000000,-25.3619134137,0.0000000000,22135.5090888407,22244.8946808486,39479.3829071569,39438.7528943932,0.0000000000,0.0000000000,40.6300127637,14998.3174588497,12387.2644767784,17905.7709123219,2063.6882893126,1798.5468058569,0.6529750000,0.0000000000,0.0000000000,1643.7366494086,10800.0000000000
2025-08-10,54822.7987783501,0.0000000000,-424.7502044097,0.0000000000,54398.0485739404,53636.9444338977,73745.5785969157,72366.9464621641,0.0000000000,0.0000000000,1378.6321347517,20035.3535673365,14568.2691570229,1595.2430018505,1798.5468058569,3643.3992864343,0.8486909722,0.0000000000,0.0000000000,1422.6501923632,10800.0000000000
2025-08-11,48904.9617722246,1965.6092005970,-749.5153115123,5345.2391948798,55466.2948561891,56294.8929892971,67403.3019370305,67231.7635762570,631.1432505784,1571.9105618906,1743.4489226641,17531.3901660750,16008.0330579990,1778.2963854261,3643.3992864343,1634.9470381251,0.8396298611,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-08-12,55078.1648602470,1407.2919180636,-698.8187797174,0.0000000000,55786.6379985931,55426.9224286150,76182.3439753808,73784.7770933147,0.0000000000,748.2282870036,3145.7951690697,19436.2884621865,14958.6653708205,1546.6103519488,1634.9470381251,2506.8673531813,0.8573708333,0.0000000000,0.0000000000,1421.1588258939,10800.0000000000
2025-08-13,50235.6313510232,3367.3870902569,0.0000000000,241.6010922462,53844.6195335263,53297.2726362212,68887.8667856426,72721.9448371256,28.2287367856,3834.0780514830,0.0000000000,20151.6888453348,15128.8173673145,1606.3226458910,2506.8673531813,3833.5902391887,0.8531652778,0.0000000000,0.0000000000,1203.5124092046,10800.0000000000
2025-08-14,50868.6956117176,2558.5352695019,0.0000000000,466.7286286826,53893.9595099021,54484.0762298343,67873.9886624883,71507.9401795669,54.3927542913,3633.9515170787,0.0000000000,18382.6201507821,16177.2763300653,3430.6981298081,3833.5902391887,2403.1968970423,0.8501201389,0.0000000000,0.0000000000,1209.7330835677,10800.0000000000
2025-08-15,22099.3057525176,298.0081576416,-173.7529854391,0.0000000000,22223.5609247201,22667.9654503220,39028.1997573349,38842.8742456993,0.0000000000,298.5596827552,483.8851943908,13366.8721826155,11796.6457723557,20112.9209521062,2403.1968970423,1325.9976698899,0.6512152778,0.0000000000,0.0000000000,1318.6513611211,10800.0000000000
