date,day_index,issue,perturbation,max_plan_diff_kwh,passed
2025-02-01,31,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-01,31,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-01,31,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-01,31,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-08,38,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-08,38,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-08,38,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-08,38,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-15,45,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-15,45,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-15,45,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-15,45,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-22,52,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-22,52,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-22,52,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-02-22,52,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-01,59,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-01,59,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-01,59,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-01,59,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-08,66,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-08,66,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-08,66,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-08,66,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-15,73,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-15,73,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-03-15,73,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
