date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-02-01,18829.3538460000,18286.5513660000,0.0000000000,0.0000000000,5280.4291660000,6596.1367650000,1783.9464890000,0.6514930000,18950.2285360000,17855.0497670000,0.0000000000,0.0000000000,5280.4291660000,7935.0504760000,1806.5707730000,-431.5015990000,False,False
2025-02-02,63151.6953570000,62316.5159720000,891.6104670000,153.7259430000,6596.1367650000,8620.5414150000,1200.0000000000,0.8363880000,61434.2951380000,60705.5240900000,0.0000000000,0.0000000000,7935.0504760000,9701.5302570000,1275.0492840000,-1610.9918820000,False,False
2025-02-03,63964.5358860000,63691.1612090000,18.8622020000,3.5144780000,8620.5414150000,9283.1786580000,1279.8919670000,0.8447900000,63342.4087940000,62889.2289990000,0.0000000000,0.0000000000,9701.5302570000,10800.0000000000,1465.6959720000,-801.9322100000,False,False
2025-02-04,64323.1085540000,65133.4067320000,0.0000000000,0.0000000000,9283.1786580000,7319.0839630000,1206.8275940000,0.8491900000,64387.8202980000,64980.0850700000,0.0000000000,0.0000000000,10800.0000000000,9364.3999580000,1261.8198660000,-153.3216620000,False,False
2025-02-05,63460.9000390000,62501.9632500000,76.5976990000,11.6934130000,7319.0839630000,9643.4661600000,1200.0000000000,0.8482540000,62471.0897430000,61902.4677320000,0.0000000000,0.0000000000,9364.3999580000,10742.6919320000,1280.7716480000,-599.4955180000,False,False
2025-02-06,62646.3844300000,64667.8159170000,343.6747590000,52.4471730000,9643.4661600000,4743.6860960000,1579.2426370000,0.8439650000,62564.1426630000,64127.6695700000,203.0961640000,29.4494750000,10742.6919320000,6952.8340910000,1548.0501200000,-540.1463470000,False,False
2025-02-07,18591.9328750000,18761.9535330000,1183.0380620000,281.1346920000,4743.6860960000,4331.5703070000,1200.0000000000,0.6440390000,17988.1259880000,18159.0256960000,571.7165010000,134.9661240000,6952.8340910000,6538.5875610000,1200.0000000000,-602.9278370000,False,False
2025-02-08,15974.1296950000,16077.5209180000,0.0000000000,0.0000000000,4331.5703070000,4080.9586700000,1264.0583650000,0.6423510000,15882.2120230000,15955.5808430000,0.0000000000,0.0000000000,6538.5875610000,6360.7477060000,1203.8852030000,-121.9400750000,False,False
2025-02-09,63773.3761920000,61936.6477940000,0.0000000000,0.0000000000,4080.9586700000,8533.0339690000,1274.2649460000,0.8413840000,62953.2227520000,61606.4421820000,0.0000000000,0.0000000000,6360.7477060000,9625.2306380000,1435.1155180000,-330.2056120000,False,False
2025-02-10,56041.4377370000,55375.0104650000,88.6519290000,19.4884430000,8533.0339690000,10148.3976780000,1200.0000000000,0.8180640000,55723.6146230000,55272.8913430000,0.0000000000,0.0000000000,9625.2306380000,10717.7459930000,1331.0550500000,-102.1191220000,False,False
