candidate,period,days,saving,mean_daily_saving,cvar95_B0,cvar95_candidate,positive_days
rho=0.00,Feb-Apr,89,14276.2492020004,160.4072944045,63806.7828273371,63226.8730092921,48
rho=0.00,May-Jul,92,19707.2822060008,214.2095891957,71563.4254719130,73514.4024342174,59
rho=0.00,Aug-Oct,92,50406.3693059999,547.8953185435,60120.1613714783,58902.8088453913,63
rho=0.00,Nov-Dec,61,32534.9029709990,533.3590650984,80214.9525250328,79201.2702463279,44
rho=0.15,Feb-Apr,89,8767.9647166291,98.5164574902,63806.7828273371,63572.5416387719,48
rho=0.15,May-Jul,92,20811.9055296164,226.2163644523,71563.4254719130,73231.4854323142,65
rho=0.15,Aug-Oct,92,48541.3732686331,527.6236224851,60120.1613714783,58555.7488276196,61
rho=0.15,Nov-Dec,61,38374.1610586336,629.0846075186,80214.9525250328,78312.2027001627,50
rho=0.25,Feb-Apr,89,-1393.0091924993,-15.6517886798,63806.7828273371,63958.7432830093,43
rho=0.25,May-Jul,92,26414.4828362954,287.1139438728,71563.4254719130,72520.7182035883,61
rho=0.25,Aug-Oct,92,35694.8074787245,387.9870378122,60120.1613714783,58797.7876498105,60
rho=0.25,Nov-Dec,61,40870.5067222253,670.0083069217,80214.9525250328,77422.4127081233,44
