correction,bias_window,bias_decay,samples,mae,rmse,mae_issue6,mae_issue12,mae_issue18
0.50000000,6,3.00000000,10368,0.03525746,0.04560333,0.03519174,0.03475512,0.03582553
0.25000000,6,3.00000000,10368,0.03526449,0.04563434,0.03503788,0.03497209,0.03578351
0.25000000,6,6.00000000,10368,0.03527384,0.04565016,0.03510514,0.03494079,0.03577559
0.25000000,12,12.00000000,10368,0.03527472,0.04565211,0.03525222,0.03490802,0.03566394
0.50000000,12,3.00000000,10368,0.03530310,0.04567928,0.03529568,0.03477120,0.03584242
0.25000000,12,6.00000000,10368,0.03530287,0.04569401,0.03518493,0.03496691,0.03575677
0.50000000,12,6.00000000,10368,0.03536013,0.04572754,0.03548263,0.03476544,0.03583231
0.25000000,12,3.00000000,10368,0.03532715,0.04573058,0.03511364,0.03508059,0.03578723
0.75000000,12,3.00000000,10368,0.03536362,0.04573260,0.03550858,0.03461780,0.03596448
0.25000000,3,3.00000000,10368,0.03533151,0.04575414,0.03500985,0.03516824,0.03581645
0.25000000,6,12.00000000,10368,0.03537515,0.04576338,0.03520123,0.03517945,0.03574477
0.75000000,6,3.00000000,10368,0.03538255,0.04578755,0.03542137,0.03481544,0.03591085
0.50000000,12,12.00000000,10368,0.03548792,0.04584905,0.03570815,0.03504355,0.03571206
0.25000000,3,6.00000000,10368,0.03541760,0.04585976,0.03508274,0.03535520,0.03581486
1.00000000,12,3.00000000,10368,0.03547619,0.04588774,0.03575575,0.03454253,0.03613030
0.00000000,0,0.00000000,10368,0.03540154,0.04588865,0.03497791,0.03545452,0.03577218
0.50000000,6,6.00000000,10368,0.03550645,0.04591424,0.03542801,0.03524773,0.03584362
0.50000000,3,3.00000000,10368,0.03546078,0.04592579,0.03518299,0.03525705,0.03594229
0.75000000,12,6.00000000,10368,0.03558402,0.04598247,0.03587119,0.03486972,0.03601115
0.25000000,3,12.00000000,10368,0.03561454,0.04607698,0.03521711,0.03584343,0.03578308
1.00000000,6,3.00000000,10368,0.03563356,0.04617647,0.03573395,0.03511863,0.03604809
0.75000000,3,3.00000000,10368,0.03579777,0.04638987,0.03556326,0.03566620,0.03616385
1.00000000,12,6.00000000,10368,0.03594412,0.04644918,0.03632639,0.03522336,0.03628260
0.75000000,12,12.00000000,10368,0.03600066,0.04646035,0.03634516,0.03573735,0.03591947
0.50000000,3,6.00000000,10368,0.03594339,0.04649917,0.03557168,0.03623718,0.03602132
0.50000000,6,12.00000000,10368,0.03609118,0.04661398,0.03582568,0.03661437,0.03583348
0.75000000,6,6.00000000,10368,0.03606767,0.04665078,0.03594534,0.03626331,0.03599437
1.00000000,3,3.00000000,10368,0.03630990,0.04712846,0.03610446,0.03633038,0.03649485
1.00000000,12,12.00000000,10368,0.03675106,0.04745735,0.03714408,0.03684506,0.03626403
0.50000000,3,12.00000000,10368,0.03679029,0.04753461,0.03628323,0.03803134,0.03605630
0.75000000,3,6.00000000,10368,0.03687888,0.04775547,0.03646466,0.03777244,0.03639953
1.00000000,6,6.00000000,10368,0.03692501,0.04781831,0.03666349,0.03787480,0.03623673
0.75000000,6,12.00000000,10368,0.03739611,0.04834247,0.03690020,0.03922950,0.03605863
1.00000000,3,6.00000000,10368,0.03805920,0.04956036,0.03755475,0.03969145,0.03693140
0.75000000,3,12.00000000,10368,0.03859595,0.05010065,0.03799938,0.04120388,0.03658459
1.00000000,6,12.00000000,10368,0.03909918,0.05081833,0.03826451,0.04261441,0.03641863
1.00000000,3,12.00000000,10368,0.04082258,0.05357407,0.04017631,0.04495690,0.03733455
