window,decay,slope,weekday,samples,mae,rmse
28,14.00000000,1000000.00000000,0.02500000,3456,0.03495090,0.04444555
42,14.00000000,1000000.00000000,0.02500000,3456,0.03495092,0.04444556
56,14.00000000,1000000.00000000,0.02500000,3456,0.03495092,0.04444556
21,28.00000000,1000000.00000000,0.10000000,3456,0.03504196,0.04444850
28,28.00000000,1000000.00000000,0.10000000,3456,0.03500981,0.04447563
42,28.00000000,1000000.00000000,0.10000000,3456,0.03500996,0.04447584
56,28.00000000,1000000.00000000,0.10000000,3456,0.03500996,0.04447584
21,14.00000000,1000000.00000000,0.02500000,3456,0.03501394,0.04447647
28,28.00000000,1000000.00000000,0.02500000,3456,0.03496060,0.04451787
42,28.00000000,1000000.00000000,0.02500000,3456,0.03496061,0.04451789
56,28.00000000,1000000.00000000,0.02500000,3456,0.03496061,0.04451789
21,28.00000000,1000000.00000000,0.02500000,3456,0.03502535,0.04452260
42,28.00000000,1.00000000,0.02500000,3456,0.03521757,0.04479222
56,28.00000000,1.00000000,0.02500000,3456,0.03521757,0.04479222
28,28.00000000,1.00000000,0.02500000,3456,0.03523698,0.04481806
28,14.00000000,1000000.00000000,0.00625000,3456,0.03528133,0.04488196
42,14.00000000,1000000.00000000,0.00625000,3456,0.03528133,0.04488196
56,14.00000000,1000000.00000000,0.00625000,3456,0.03528133,0.04488196
42,14.00000000,1.00000000,0.02500000,3456,0.03530590,0.04489625
56,14.00000000,1.00000000,0.02500000,3456,0.03530590,0.04489625
21,14.00000000,1000000.00000000,0.10000000,3456,0.03545890,0.04491084
28,14.00000000,1000000.00000000,0.10000000,3456,0.03542773,0.04491100
42,14.00000000,1000000.00000000,0.10000000,3456,0.03542791,0.04491126
56,14.00000000,1000000.00000000,0.10000000,3456,0.03542791,0.04491126
28,14.00000000,1.00000000,0.02500000,3456,0.03532360,0.04491490
42,28.00000000,1000000.00000000,0.00625000,3456,0.03526711,0.04491572
56,28.00000000,1000000.00000000,0.00625000,3456,0.03526711,0.04491572
28,28.00000000,1000000.00000000,0.00625000,3456,0.03526711,0.04491572
28,7.00000000,1000000.00000000,0.02500000,3456,0.03536660,0.04491775
42,7.00000000,1000000.00000000,0.02500000,3456,0.03536662,0.04491776
56,7.00000000,1000000.00000000,0.02500000,3456,0.03536662,0.04491776
21,14.00000000,1000000.00000000,0.00625000,3456,0.03534916,0.04492450
21,28.00000000,1000000.00000000,0.00625000,3456,0.03534217,0.04493103
21,7.00000000,1000000.00000000,0.02500000,3456,0.03539043,0.04494220
42,28.00000000,1.00000000,0.00625000,3456,0.03544655,0.04509905
56,28.00000000,1.00000000,0.00625000,3456,0.03544655,0.04509905
28,28.00000000,1.00000000,0.00625000,3456,0.03546700,0.04512687
42,14.00000000,1.00000000,0.00625000,3456,0.03553989,0.04520209
56,14.00000000,1.00000000,0.00625000,3456,0.03553989,0.04520209
42,28.00000000,1.00000000,0.10000000,3456,0.03562561,0.04520734
56,28.00000000,1.00000000,0.10000000,3456,0.03562561,0.04520734
28,14.00000000,1.00000000,0.00625000,3456,0.03555581,0.04522275
28,28.00000000,1.00000000,0.10000000,3456,0.03564335,0.04522689
28,7.00000000,1000000.00000000,0.00625000,3456,0.03566133,0.04530162
42,7.00000000,1000000.00000000,0.00625000,3456,0.03566133,0.04530162
56,7.00000000,1000000.00000000,0.00625000,3456,0.03566133,0.04530162
21,28.00000000,1.00000000,0.02500000,3456,0.03564402,0.04532329
21,7.00000000,1000000.00000000,0.00625000,3456,0.03569056,0.04533505
21,14.00000000,1.00000000,0.02500000,3456,0.03565742,0.04534429
42,7.00000000,1.00000000,0.02500000,3456,0.03591938,0.04555805
56,7.00000000,1.00000000,0.02500000,3456,0.03591938,0.04555805
28,7.00000000,1.00000000,0.02500000,3456,0.03592837,0.04556500
21,28.00000000,1.00000000,0.00625000,3456,0.03586215,0.04562983
21,14.00000000,1.00000000,0.00625000,3456,0.03588092,0.04564982
42,7.00000000,1.00000000,0.00625000,3456,0.03599100,0.04569397
56,7.00000000,1.00000000,0.00625000,3456,0.03599100,0.04569397
28,7.00000000,1.00000000,0.00625000,3456,0.03599919,0.04570183
21,28.00000000,1.00000000,0.10000000,3456,0.03607651,0.04576974
21,7.00000000,1.00000000,0.02500000,3456,0.03610231,0.04578762
21,7.00000000,1.00000000,0.00625000,3456,0.03616971,0.04592172
42,14.00000000,1.00000000,0.10000000,3456,0.03631045,0.04598244
56,14.00000000,1.00000000,0.10000000,3456,0.03631045,0.04598244
28,14.00000000,1.00000000,0.10000000,3456,0.03632524,0.04599611
42,28.00000000,0.20000000,0.02500000,3456,0.03625767,0.04626010
56,28.00000000,0.20000000,0.02500000,3456,0.03625767,0.04626010
28,28.00000000,0.20000000,0.02500000,3456,0.03628031,0.04628844
42,28.00000000,0.20000000,0.00625000,3456,0.03638159,0.04640589
56,28.00000000,0.20000000,0.00625000,3456,0.03638159,0.04640589
42,14.00000000,0.20000000,0.02500000,3456,0.03640506,0.04642984
56,14.00000000,0.20000000,0.02500000,3456,0.03640506,0.04642984
28,28.00000000,0.20000000,0.00625000,3456,0.03640450,0.04643656
28,14.00000000,0.20000000,0.02500000,3456,0.03642532,0.04645165
21,14.00000000,1.00000000,0.10000000,3456,0.03667822,0.04646936
42,14.00000000,0.20000000,0.00625000,3456,0.03652943,0.04657732
56,14.00000000,0.20000000,0.00625000,3456,0.03652943,0.04657732
28,14.00000000,0.20000000,0.00625000,3456,0.03654856,0.04660172
21,28.00000000,0.20000000,0.02500000,3456,0.03676416,0.04688296
21,14.00000000,0.20000000,0.02500000,3456,0.03684009,0.04699399
21,28.00000000,0.20000000,0.00625000,3456,0.03687734,0.04702988
21,14.00000000,0.20000000,0.00625000,3456,0.03697081,0.04714172
42,7.00000000,0.20000000,0.00625000,3456,0.03710540,0.04720660
56,7.00000000,0.20000000,0.00625000,3456,0.03710540,0.04720660
28,7.00000000,0.20000000,0.00625000,3456,0.03711607,0.04721856
42,28.00000000,0.20000000,0.10000000,3456,0.03705708,0.04721968
56,28.00000000,0.20000000,0.10000000,3456,0.03705708,0.04721968
28,28.00000000,0.20000000,0.10000000,3456,0.03707616,0.04724064
42,7.00000000,0.20000000,0.02500000,3456,0.03719257,0.04725511
56,7.00000000,0.20000000,0.02500000,3456,0.03719257,0.04725511
28,7.00000000,0.20000000,0.02500000,3456,0.03720311,0.04726500
28,7.00000000,1000000.00000000,0.10000000,3456,0.03732953,0.04728179
42,7.00000000,1000000.00000000,0.10000000,3456,0.03732970,0.04728200
56,7.00000000,1000000.00000000,0.10000000,3456,0.03732970,0.04728200
21,7.00000000,1000000.00000000,0.10000000,3456,0.03733912,0.04729023
42,28.00000000,0.05000000,0.00625000,3456,0.03696720,0.04732615
56,28.00000000,0.05000000,0.00625000,3456,0.03696720,0.04732615
28,28.00000000,0.05000000,0.00625000,3456,0.03699065,0.04735697
21,7.00000000,0.20000000,0.00625000,3456,0.03739280,0.04757759
42,14.00000000,0.05000000,0.00625000,3456,0.03718032,0.04758014
56,14.00000000,0.05000000,0.00625000,3456,0.03718032,0.04758014
28,14.00000000,0.05000000,0.00625000,3456,0.03720000,0.04760500
21,7.00000000,0.20000000,0.02500000,3456,0.03748136,0.04763078
21,28.00000000,0.20000000,0.10000000,3456,0.03757710,0.04786978
21,28.00000000,0.05000000,0.00625000,3456,0.03748320,0.04796278
42,14.00000000,0.20000000,0.10000000,3456,0.03780209,0.04804114
56,14.00000000,0.20000000,0.10000000,3456,0.03780209,0.04804114
28,14.00000000,0.20000000,0.10000000,3456,0.03781774,0.04805625
21,14.00000000,0.05000000,0.00625000,3456,0.03764698,0.04816523
42,28.00000000,0.05000000,0.02500000,3456,0.03750991,0.04831579
56,28.00000000,0.05000000,0.02500000,3456,0.03750991,0.04831579
28,28.00000000,0.05000000,0.02500000,3456,0.03753323,0.04834360
42,7.00000000,0.05000000,0.00625000,3456,0.03793636,0.04841781
56,7.00000000,0.05000000,0.00625000,3456,0.03793636,0.04841781
28,7.00000000,0.05000000,0.00625000,3456,0.03794759,0.04843083
42,14.00000000,0.05000000,0.02500000,3456,0.03770554,0.04852025
56,14.00000000,0.05000000,0.02500000,3456,0.03770554,0.04852025
28,14.00000000,0.05000000,0.02500000,3456,0.03772607,0.04854196
21,14.00000000,0.20000000,0.10000000,3456,0.03826106,0.04864475
21,7.00000000,0.05000000,0.00625000,3456,0.03825810,0.04883168
21,28.00000000,0.05000000,0.02500000,3456,0.03803528,0.04893659
42,7.00000000,1.00000000,0.10000000,3456,0.03878294,0.04894167
56,7.00000000,1.00000000,0.10000000,3456,0.03878294,0.04894167
28,7.00000000,1.00000000,0.10000000,3456,0.03879132,0.04894932
21,28.00000000,1000000.00000000,0.40000000,3456,0.03854104,0.04900329
28,28.00000000,1000000.00000000,0.40000000,3456,0.03857102,0.04905633
42,28.00000000,1000000.00000000,0.40000000,3456,0.03857309,0.04905867
56,28.00000000,1000000.00000000,0.40000000,3456,0.03857309,0.04905867
21,14.00000000,0.05000000,0.02500000,3456,0.03816339,0.04909221
21,7.00000000,1.00000000,0.10000000,3456,0.03900451,0.04922051
42,7.00000000,0.05000000,0.02500000,3456,0.03863040,0.04944463
56,7.00000000,0.05000000,0.02500000,3456,0.03863040,0.04944463
28,7.00000000,0.05000000,0.02500000,3456,0.03864139,0.04945511
21,7.00000000,0.05000000,0.02500000,3456,0.03895063,0.04985515
42,28.00000000,0.05000000,0.10000000,3456,0.03887110,0.05052087
56,28.00000000,0.05000000,0.10000000,3456,0.03887110,0.05052087
28,28.00000000,0.05000000,0.10000000,3456,0.03889070,0.05054092
21,28.00000000,0.05000000,0.10000000,3456,0.03940767,0.05115295
42,14.00000000,0.05000000,0.10000000,3456,0.03963949,0.05122105
56,14.00000000,0.05000000,0.10000000,3456,0.03963949,0.05122105
42,28.00000000,1.00000000,0.40000000,3456,0.04035845,0.05122766
56,28.00000000,1.00000000,0.40000000,3456,0.04035845,0.05122766
28,14.00000000,0.05000000,0.10000000,3456,0.03965557,0.05123569
28,28.00000000,1.00000000,0.40000000,3456,0.04039005,0.05124895
42,7.00000000,0.20000000,0.10000000,3456,0.04055517,0.05126551
56,7.00000000,0.20000000,0.10000000,3456,0.04055517,0.05126551
28,7.00000000,0.20000000,0.10000000,3456,0.04056428,0.05127404
