alpha,train_fitness,worst_block,block1,block2,block3,seconds
0.675000,479320.278546,533210.298765,533210.298765,501012.504064,403738.032811,0.370671
0.700000,479951.264577,536709.823984,536709.823984,499232.658388,403911.311358,0.389576
0.650000,480697.124984,531052.607080,531052.607080,506264.990711,404773.777160,0.368184
0.725000,481544.080638,541185.530577,541185.530577,498585.143411,404861.567925,0.371696
0.625000,482862.827936,529446.996326,529446.996326,512866.842736,406274.644748,0.358795
0.750000,484065.336639,546524.263815,546524.263815,498212.550332,407459.195772,0.374392
0.600000,486345.751159,529409.814625,529409.814625,519830.024983,409797.413870,0.358028
0.775000,487235.588222,550703.843012,550703.843012,500506.858020,410496.063634,0.370674
0.800000,492189.207349,558927.383542,558927.383542,503477.790465,414162.448042,0.381111
0.575000,492233.707092,531795.976944,531795.976944,527007.249847,417897.894485,0.358360
0.825000,498866.471846,571279.737168,571279.737168,507028.878913,418290.799458,0.374192
0.550000,499177.447760,535032.649234,535032.649234,533849.800585,428649.893462,0.408101
0.850000,506776.524101,586007.438976,586007.438976,511311.650486,423010.482840,0.372789
0.525000,508878.316862,545167.392873,545167.392873,541267.199228,440200.358485,0.376688
0.875000,516479.312611,600879.048083,600879.048083,519638.193035,428920.696715,0.375685
0.500000,520887.950940,560639.132752,560639.132752,550480.559551,451544.160519,0.382754
0.900000,529355.165265,614888.453385,614888.453385,535814.528773,437362.513637,0.380056
0.475000,535760.920384,579967.602045,579967.602045,562572.785547,464742.373560,0.369052
0.450000,553312.589323,601953.116227,601953.116227,577331.571568,480653.080174,0.358677
0.425000,571576.134854,623794.411736,623794.411736,594094.070057,496839.922769,0.365552
0.400000,590942.269485,646895.463233,646895.463233,613875.406917,512055.938304,0.388553
