date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,19577.804469,0.000000,-627.575933,0.000000,18950.228536,17855.049767,46342.828244,44060.706920,0.000000,0.000000,2282.121324,22818.697990,16093.986193,2957.819190,5280.429166,7935.050476,0.651493,0.000000,0.000000,1806.570773,10800.000000
2025-02-02,63134.098826,0.000000,-1699.803689,0.000000,61434.295138,60705.524090,91339.133349,87016.417398,0.000000,0.000000,4322.715951,24377.802086,18156.187886,2438.525249,7935.050476,9701.530257,0.836388,0.000000,0.000000,1275.049284,10800.000000
2025-02-03,64667.286485,464.884397,-1789.762089,0.000000,63342.408794,62889.228999,91401.930419,87448.500820,0.000000,250.053981,4203.483580,24716.850837,19032.026410,1546.759893,9701.530257,10800.000000,0.844790,0.000000,0.000000,1465.695972,10800.000000
2025-02-04,67242.373865,0.000000,-2854.553568,0.000000,64387.820298,64980.085070,92501.440899,86248.647749,0.000000,0.000000,6252.793149,21880.472422,19015.222699,2188.534077,10800.000000,9364.399958,0.849190,0.000000,0.000000,1261.819866,10800.000000
2025-02-05,62682.242128,508.895822,-720.048207,0.000000,62471.089743,61902.467732,89273.995241,88187.689448,0.000000,479.458125,1565.763919,25513.469140,19425.447227,1351.240551,9364.399958,10742.691932,0.848254,0.000000,0.000000,1280.771648,10800.000000
2025-02-06,65552.856281,353.983451,-3545.793233,203.096164,62564.142663,64127.669570,89638.702837,82007.900420,29.449475,185.429078,7816.231495,19714.474024,19379.596016,1431.414670,10742.691932,6952.834091,0.843965,0.000000,0.000000,1548.050120,10800.000000
2025-02-07,18257.112698,0.000000,-840.703210,571.716501,17988.125988,18159.025696,43330.991169,39816.884029,134.966124,0.000000,3514.107140,19173.174797,15903.093463,4876.089152,6952.834091,6538.587561,0.644039,0.000000,0.000000,1200.000000,10800.000000
2025-02-08,15181.531049,700.680974,0.000000,0.000000,15882.212023,15955.580843,37174.099690,37728.002057,0.000000,553.902367,0.000000,20633.558591,16873.238329,2390.519078,6538.587561,6360.747706,0.642351,0.000000,0.000000,1203.885203,10800.000000
2025-02-09,62956.047689,884.863380,-887.688317,0.000000,62953.222752,61606.442182,91100.043210,89709.842243,0.000000,642.755305,2032.956272,25820.534734,17976.598496,2310.490038,6360.747706,9625.230638,0.841384,0.000000,0.000000,1435.115518,10800.000000
2025-02-10,57304.563320,0.000000,-1580.948697,0.000000,55723.614623,55272.891343,85129.882651,81212.843363,0.000000,0.000000,3917.039289,24040.750958,18489.744456,1335.199277,9625.230638,10717.745993,0.818064,0.000000,0.000000,1331.055050,10800.000000
2025-02-11,58774.939456,0.000000,-2382.636207,3484.740093,59877.043342,59874.230535,85598.886380,80127.258602,610.882669,0.000000,5471.627778,23452.910155,18990.721018,1055.355002,10717.745993,10724.564001,0.828492,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,57934.657381,328.487768,-2195.377026,2808.040504,58875.808627,59276.751365,84475.542469,79276.279055,513.334352,184.386914,5383.650329,22785.227510,19330.700638,1068.350401,10724.564001,9752.712496,0.826424,0.000000,0.000000,1200.000000,10800.000000
2025-02-13,51304.175735,22.454824,-983.789801,0.000000,50342.840758,51373.214721,76242.465122,73837.646238,0.000000,19.150419,2423.969302,19931.368607,18392.194486,968.993101,9752.712496,7255.172591,0.814791,0.000000,0.000000,1212.437139,10800.000000
2025-02-14,14598.887595,517.305504,0.000000,485.107763,15601.300862,16187.111812,35652.496040,36168.996805,117.973678,516.500765,0.000000,18215.493759,16032.510811,4302.185718,7255.172591,5835.216073,0.631100,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,16304.968589,382.988980,-81.181382,0.000000,16606.776186,15766.558740,38561.177801,38586.139050,0.000000,281.275925,256.314677,21326.637528,15441.621559,3421.031981,5835.216073,7871.832561,0.637847,0.000000,0.000000,1341.461493,10800.000000
2025-02-16,58633.759487,2823.246806,-2621.887165,1255.221643,60090.340771,59429.135371,85949.381992,81362.129350,237.111394,1522.573801,6109.826442,23190.899838,17342.193172,373.154978,7871.832561,9474.538891,0.830322,0.000000,0.000000,1200.000000,10800.000000
2025-02-17,57479.022243,1114.259762,-3585.626907,1450.016814,56457.671912,55979.620144,85345.728356,76715.683874,225.083054,584.750232,9214.794714,22234.294125,16966.896657,489.506293,9474.538891,10633.296206,0.817353,0.000000,0.000000,1200.000000,10800.000000
2025-02-18,49553.128761,2263.471073,-28.490988,54.198723,51842.307569,52033.122673,74758.772585,76201.574935,10.793333,1522.208671,79.406321,20688.095143,17173.624865,606.510207,10633.296206,10170.776429,0.814522,0.000000,0.000000,1210.912633,10800.000000
2025-02-19,49206.397712,3548.792136,-0.399998,1568.683706,54323.473557,54451.610688,74075.142244,77304.467806,263.870460,3231.159992,1.834430,22466.697199,18477.559006,699.872689,10170.776429,9860.182791,0.816430,0.000000,0.000000,1200.000000,10800.000000
2025-02-20,49058.860471,461.163658,-445.846851,380.178787,49454.356065,51462.378747,72071.373554,71302.307325,74.616753,284.278220,1053.344448,16991.392311,18143.578195,1535.976228,9860.182791,4992.904544,0.816807,0.000000,0.000000,1200.000000,10800.000000
