date,issue,t,q_prev,q_new,delta,q_baseline_0000,delivery_price,issue_price,fee_attributed
2025-02-01,6,75,490.272354,395.085448,-95.186905,490.272354,0.335900,0.810200,-15.986641
2025-02-01,6,96,407.285552,402.775320,-4.510232,407.285552,0.695600,0.810200,-1.568659
2025-02-01,12,74,264.447573,0.000000,-264.447573,264.447573,0.407700,0.297900,-53.907638
2025-02-01,12,75,395.085448,0.000000,-395.085448,490.272354,0.335900,0.297900,-66.354601
2025-02-01,12,89,143.729873,0.000000,-143.729873,143.729873,0.514700,0.297900,-36.988883
2025-02-01,12,90,414.136488,56.874680,-357.261808,414.136488,0.557500,0.297900,-99.586729
2025-02-01,12,91,220.426828,93.591159,-126.835670,220.426828,0.660600,0.297900,-41.893822
2025-02-01,12,92,235.849536,142.280671,-93.568865,235.849536,0.688000,0.297900,-32.187690
2025-02-01,12,93,299.423048,178.427033,-120.996015,299.423048,0.661700,0.297900,-40.031532
2025-02-01,12,94,339.113021,238.567965,-100.545056,339.113021,0.646500,0.297900,-32.501189
2025-02-01,12,95,394.987366,296.649080,-98.338285,394.987366,0.666700,0.297900,-32.781067
2025-02-01,12,96,402.775320,302.811177,-99.964143,407.285552,0.695600,0.297900,-34.767529
2025-02-01,12,97,417.178913,334.557110,-82.621803,417.178913,0.703200,0.297900,-29.049826
2025-02-01,12,98,468.398765,389.775900,-78.622865,468.398765,0.704100,0.297900,-27.679180
2025-02-01,12,99,499.338140,440.279629,-59.058510,499.338140,0.735700,0.297900,-21.724673
2025-02-01,12,100,469.399199,424.378553,-45.020647,469.399199,0.746600,0.297900,-16.806207
2025-02-01,12,101,410.665231,381.574822,-29.090409,410.665231,0.738300,0.297900,-10.738724
2025-02-01,12,102,444.747036,397.245332,-47.501704,444.747036,0.764200,0.297900,-18.150401
2025-02-01,12,103,458.543483,431.132116,-27.411367,458.543483,0.787000,0.297900,-10.786373
2025-02-01,12,104,448.468672,439.066754,-9.401918,448.468672,0.775000,0.297900,-3.643243
2025-02-01,18,131,1237.717417,1236.046239,-1.671178,1237.717417,0.320500,1.066200,-0.267806
2025-02-01,18,134,1257.740719,1256.489670,-1.251049,1257.740719,0.277400,1.066200,-0.173520
2025-02-02,6,36,887.302249,821.044943,-66.257306,887.302249,1.048800,0.963600,-34.745331
2025-02-02,6,37,877.396794,851.608371,-25.788423,877.396794,1.038500,0.963600,-13.390639
2025-02-02,6,39,856.596511,843.526851,-13.069660,856.596511,1.074900,0.963600,-7.024289
2025-02-02,6,40,847.135325,808.790386,-38.344939,847.135325,1.044600,0.963600,-20.027562
2025-02-02,6,41,850.529688,649.267294,-201.262394,850.529688,0.986900,0.963600,-99.312928
2025-02-02,6,45,1434.879892,1429.033237,-5.846655,1434.879892,0.837900,0.963600,-2.449456
2025-02-02,6,65,970.604844,864.118376,-106.486468,970.604844,0.680600,0.963600,-36.237345
2025-02-02,6,66,973.592822,843.265650,-130.327172,973.592822,0.657800,0.963600,-42.864607
2025-02-02,6,67,984.781066,849.927255,-134.853810,984.781066,0.694300,0.963600,-46.814500
2025-02-02,6,68,1001.452026,833.641014,-167.811012,1001.452026,0.672700,0.963600,-56.443234
2025-02-02,6,69,938.157023,796.689929,-141.467094,938.157023,0.626500,0.963600,-44.314567
2025-02-02,6,70,924.805531,747.334185,-177.471346,924.805531,0.577000,0.963600,-51.200483
2025-02-02,6,71,904.192894,713.347930,-190.844964,904.192894,0.555600,0.963600,-53.016731
2025-02-02,6,72,895.314220,859.920832,-35.393389,895.314220,0.590100,0.963600,-10.442819
2025-02-02,6,73,887.774747,861.364162,-26.410585,887.774747,0.634400,0.963600,-8.377438
2025-02-02,6,74,885.617823,845.267322,-40.350501,885.617823,0.610800,0.963600,-12.323043
2025-02-02,6,75,914.883966,852.690910,-62.193056,914.883966,0.519000,0.963600,-16.139098
2025-02-02,12,72,859.920832,749.344433,-110.576399,895.314220,0.590100,0.555600,-32.625566
2025-02-02,12,73,861.364162,756.903690,-104.460472,887.774747,0.634400,0.555600,-33.134862
2025-02-02,12,74,845.267322,750.894026,-94.373296,885.617823,0.610800,0.555600,-28.821605
2025-02-02,12,75,852.690910,758.040502,-94.650408,914.883966,0.519000,0.555600,-24.561781
2025-02-02,12,76,890.121579,201.188305,-688.933275,890.121579,0.694100,0.555600,-239.094293
2025-02-02,12,77,148.966429,40.274710,-108.691718,148.966429,1.028300,0.555600,-55.883847
2025-02-02,12,78,151.990264,50.961253,-101.029012,151.990264,1.058700,0.555600,-53.479707
2025-02-02,12,79,161.331889,52.666866,-108.665023,161.331889,0.996500,0.555600,-54.142348
2025-02-02,12,80,165.518768,91.933184,-73.585584,165.518768,1.009100,0.555600,-37.127606
2025-02-02,12,81,213.176993,141.862933,-71.314060,213.176993,1.044500,0.555600,-37.243768
2025-02-02,12,91,1207.146657,550.999197,-656.147460,1207.146657,0.824500,0.555600,-270.496790
2025-02-02,12,92,1357.233756,1078.117611,-279.116144,1357.233756,0.891400,0.555600,-124.402065
2025-02-02,12,104,1036.521607,1030.502319,-6.019288,1036.521607,1.078200,0.555600,-3.244998
2025-02-02,18,108,718.317770,659.531484,-58.786286,718.317770,1.291300,1.307500,-37.955365
2025-02-02,18,109,737.913112,698.487514,-39.425598,737.913112,1.258300,1.307500,-24.804615
2025-02-02,18,110,722.623558,689.497152,-33.126406,722.623558,1.279900,1.307500,-21.199244
2025-02-02,18,111,727.035314,703.516080,-23.519234,727.035314,1.263500,1.307500,-14.858276
2025-02-02,18,112,255.515101,217.891745,-37.623357,255.515101,1.248100,1.307500,-23.478856
2025-02-02,18,124,721.997586,686.416348,-35.581238,721.997586,1.160000,1.307500,-20.637118
2025-02-02,18,128,739.006091,735.628543,-3.377548,739.006091,0.931700,1.307500,-1.573431
2025-02-02,18,131,1381.577828,1371.599801,-9.978027,1381.577828,0.412200,1.307500,-2.056471
2025-02-02,18,132,1378.598144,1369.797281,-8.800863,1378.598144,0.373500,1.307500,-1.643561
2025-02-02,18,133,1388.221185,1386.750890,-1.470295,1388.221185,0.425800,1.307500,-0.313026
2025-02-02,18,138,1403.208339,1393.922154,-9.286185,1403.208339,0.409300,1.307500,-1.900418
