block,case,changed,seconds,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,plan_kwh,equivalent_cycles,top17_mean,max_daily,daily_std,final_soc,cvar95
A 发布时点,不更新,mask=(),54.9959450000,15278750.6987839993,15277271.3223790005,13451410.3749650009,0.0000000000,0.0000000000,1827340.3238190000,287319.6376290000,0.0000000000,0.0000000000,6311893.5504949996,5109406.4802169995,1843770.7437239999,20698127.6713399999,212.8919370000,101476.9161210000,143974.4553500000,22805.5338850000,8866.3132590000,
A 发布时点,6:00,"mask=(6,)",122.2293500000,15014954.9889150001,15013600.2231709994,13121277.9750379995,391462.5813910000,-120961.5253250000,1623175.9578110001,253596.8172720000,372241.0912800000,365584.5639330000,6490849.0314039998,5254632.2609470002,1446110.0176049999,20361262.9384090006,218.9430110000,88721.1619800000,118675.5241240000,21070.8584710000,8564.2674880000,
A 发布时点,12:00,"mask=(12,)",127.0381240000,14799994.8523910008,14798640.0866480004,13116676.5307229999,323310.2084910000,-101038.1890920000,1461046.3022690001,249234.4728990000,297740.8192950000,301089.9704670000,6530995.5047810003,5287150.9043830000,1413210.9746419999,20350359.7482809983,220.2979540000,88938.4647620000,107061.1444410000,20486.0724410000,8564.2674880000,
A 发布时点,18:00,"mask=(18,)",126.1981780000,14554743.2913169991,14553388.5255730003,13116595.5275240000,655300.7433470000,-13955.5344300000,796802.5548750000,146968.5238250000,328703.0256080000,22866.6020380000,6365664.1681279996,5153232.5216939999,1650987.7874350001,20349803.9814400002,214.7180220000,85890.5525920000,106052.4679590000,20038.1116640000,8564.2674880000,
A 发布时点,6:00+12:00,"mask=(6, 12)",181.9213300000,14508846.6919320002,14507491.9261879995,13116669.8416239992,482189.8880380000,-156995.8454790000,1066982.8077489999,175398.1550650000,455619.5927640000,474651.5336340000,6570900.1603770005,5319473.6754149999,1316148.1658870000,20350397.9316210002,221.6447360000,80632.4600620000,94803.7033010000,19554.9026500000,8564.2674880000,
A 发布时点,6:00+18:00,"mask=(6, 18)",182.3097270000,14152366.7021050006,14151011.9363620002,13116363.4330209997,821944.8088220000,-136006.8694140000,350065.3296760000,65301.2172590000,593474.8662680000,389912.7114910000,6496353.7431910001,5259091.0774950003,1441617.6843369999,20349206.4729640000,219.1287950000,75759.4983940000,81579.9319270000,18793.3455750000,8564.2674880000,
A 发布时点,12:00+18:00,"mask=(12, 18)",186.8150680000,14323950.8285249993,14322596.0627820008,13115230.2394180000,583268.2069760000,-118634.0928060000,744086.4749360000,138929.7900890000,436596.8598600000,329256.7333320000,6537708.6784610003,5292588.5750630004,1408338.0819170000,20346377.7636639997,220.5245240000,82993.6418180000,101720.6220330000,19480.4539980000,8564.2674880000,
A 发布时点,6:00+12:00+18:00,"mask=(6, 12, 18)",247.1547450000,14029554.0049559996,14028199.2392129991,13115295.4742460009,743422.7261980000,-174591.1087860000,345426.9132980000,64758.9427780000,594503.6720180000,502820.6894770000,6578063.7662410000,5325276.1961650001,1311084.2569490001,20346619.3966730013,221.8865080000,74787.2638670000,81602.6596850000,18561.6258630000,8564.2674880000,
B 信息更新,只更新光伏（关负荷日内校正）,bank.correction=0,244.7960970000,14247232.2684550006,14245877.5027120002,13107360.4087429997,662129.3335030000,-149173.3371880000,626915.8633970000,110218.6965100000,540321.8101050000,454034.4848760000,6537934.5807769997,5292771.5559390001,1342434.4311619999,20330280.9292269982,220.5321480000,80541.0732300000,91057.8359760000,19230.1848610000,8564.2674880000,
B 信息更新,只更新负荷（光伏用 0:00 版本）,"stale_pv_issues=[1,2,3]",243.1592200000,14310187.5743429996,14308832.8085999992,13116819.6434790008,733352.4278870000,-47087.0775630000,507102.5805400000,94158.9412160000,479376.2478130000,139548.7082540000,6440512.0478809997,5213859.3042930001,1618082.8595479999,20349938.6173270009,217.2441380000,76764.9959730000,85950.9143370000,19022.6084000000,8564.2674880000,
B 信息更新,两者都不更新,组合对照：correction=0 且 stale PV,244.7946410000,14508670.6350550000,14507315.8693109993,13106851.1352619994,625248.0716049999,-24938.7859660000,801510.2141530000,141786.8143290000,397692.8666390000,93247.6811840000,6418081.8718670001,5195690.8617219999,1614110.5852570001,20329459.0905839987,216.4871190000,81860.1284050000,100786.3563910000,19575.0872990000,8564.2674880000,
B 信息更新,关闭电价日内偏差校正,price hp.correction=0,248.3595400000,14030982.1942919996,14029627.4285489991,13115559.0960670002,745794.1829290000,-175293.2336650000,344922.1489610000,64802.6707170000,595680.8366029999,503759.0036310000,6577766.4021859998,5325035.3312799996,1311911.5319560000,20347107.5941389985,221.8764720000,74802.9138100000,81658.3912220000,18564.5482180000,8564.2674880000,
C 结算口径,旧口径：原费照付＋罚金,settlements='legacy_gross',231.3501960000,14059155.4091110006,14057802.4974140003,12982218.9864349999,770492.4384820000,0.0000000000,306443.9841940000,58899.4381600000,642563.4404170000,0.0000000000,6519070.8356649997,5277495.9670449998,1644347.7628029999,20123649.2478130013,219.8956650000,74884.1363460000,81693.7613230000,18631.1672110000,8559.7734370000,
D 物理参数,容量 9600 kWh,capacity=9600.0,250.9502200000,14659167.3059090003,14658182.7244409993,13719185.9884900004,730793.2884930000,-175539.2107040000,384727.2396290000,71967.5271010000,560352.5151340000,490211.5940670000,5588189.2219080003,4524285.3812750001,1537802.2521950000,20398787.1396250017,188.5118910000,77277.1817430000,83484.8083670000,18554.5582050000,7666.9719100000,
D 物理参数,容量 14400 kWh,capacity=14400.0,248.3456830000,13486714.3631340005,13484723.5791289993,12625805.9153419994,741658.6930020000,-169652.7904080000,288902.5451980000,55977.9592730000,609284.8049900000,492741.4844560000,7410318.3490509996,5998014.9189020004,1125704.2016260000,20304675.8469350003,249.9172880000,72582.5783710000,78988.6571990000,18518.3735480000,10105.9223100000,
D 物理参数,功率 4500 kW,power=4500.0,249.6014050000,14061096.6988430005,14059796.8406639993,13151940.4083299991,737434.8372580000,-174579.3916790000,346300.8449340000,65031.0624070000,585134.6348450000,494424.8445350000,6480268.8628660003,5246182.1066230005,1314944.1767820001,20332479.5752740018,218.5909210000,75080.3316800000,81640.1241500000,18621.7845200000,8431.1761650000,
D 物理参数,功率 5500 kW,power=5500.0,245.8172250000,14015936.7582130004,14014272.5758030005,13093765.5423189998,743011.7921920000,-173720.5776560000,352880.0013580000,66509.0904720000,596777.4593500000,506440.2873610000,6632965.4719430003,5369071.5777840000,1304812.9857460000,20351050.1124119982,223.7113160000,74796.2193530000,81168.0730780000,18547.0667170000,9314.2674880000,
