problem,alpha,train_fitness,worst_block,block1,block2,block3,seconds
Q4-2,0.675000,479390.091665,533112.775695,533112.775695,501349.702941,403707.796359,0.249945
Q4-2,0.700000,480010.874181,536610.398427,536610.398427,499547.255820,403874.968297,0.252421
Q4-2,0.650000,480770.117925,530956.777225,530956.777225,506603.976814,404749.599737,0.239887
Q4-2,0.725000,481598.384654,541084.202534,541084.202534,498894.711321,404816.240107,0.257347
Q4-2,0.625000,482939.298048,529352.755050,529352.755050,513208.518673,406256.620422,0.245251
Q4-2,0.750000,484114.511765,546421.033285,546421.033285,498517.119398,407405.382612,0.244201
Q4-2,0.600000,486426.910993,529317.468665,529317.468665,520174.409737,409788.854579,0.254354
Q4-2,0.775000,487278.390683,550595.647484,550595.647484,500804.821990,410434.702575,0.244201
Q4-2,0.800000,492224.110836,558811.160345,558811.160345,503769.149338,414092.022824,0.246089
Q4-2,0.575000,492317.038584,531705.711972,531705.711972,527354.037394,417891.366387,0.242323
Q4-2,0.825000,498889.316073,571141.296669,571141.296669,507314.039938,418212.611611,0.241904
Q4-2,0.550000,499262.853770,534944.615006,534944.615006,534199.230089,428644.716215,0.253970
Q4-2,0.850000,506788.028089,585849.219682,585849.219682,511590.621666,422924.242919,0.246088
Q4-2,0.525000,508965.636550,545081.252158,545081.252158,541618.512105,440197.145389,0.249552
Q4-2,0.875000,516474.927457,600696.372765,600696.372765,519904.697896,428823.711708,0.241824
Q4-2,0.500000,520977.178526,560555.145952,560555.145952,550833.755800,451542.633825,0.243162
Q4-2,0.900000,529342.118770,614705.778067,614705.778067,536068.657054,437251.921188,0.258512
Q4-2,0.475000,535851.861575,579885.369624,579885.369624,562927.766186,464742.448916,0.248184
Q4-2,0.450000,553405.194135,601872.638184,601872.638184,577688.016961,480654.927261,0.250068
Q4-2,0.425000,571670.398599,623715.688071,623715.688071,594451.878165,496843.629561,0.268939
Q4-2,0.400000,591038.342227,646818.991727,646818.991727,614234.603643,512061.431312,0.293174
Q4-3,0.600000,462034.410361,507232.546275,507232.546275,480762.383856,398108.300953,1.111146
Q4-3,0.575000,462331.243543,508229.221254,508229.221254,480923.089268,397841.420107,1.096450
Q4-3,0.625000,463018.710563,508438.532133,508438.532133,481194.022029,399423.577529,1.068624
Q4-3,0.550000,463177.325342,509750.395944,509750.395944,481784.768872,397996.811210,1.097348
Q4-3,0.650000,464392.596608,510802.026742,510802.026742,481691.686043,400684.077039,1.086035
Q4-3,0.525000,464559.615133,511893.600224,511893.600224,482920.445820,398864.799356,1.073759
Q4-3,0.675000,466393.381855,514125.804876,514125.804876,482873.463233,402180.877455,1.157609
Q4-3,0.500000,466410.579896,514784.022931,514784.022931,484791.932648,399655.784110,1.113661
Q4-3,0.700000,468813.049149,518366.367376,518366.367376,484497.467144,403575.312928,1.066879
Q4-3,0.475000,469435.929713,519654.055136,519654.055136,487561.934492,401091.799511,1.101014
Q4-3,0.725000,471497.328581,522768.363393,522768.363393,486458.618918,405265.003433,1.074361
Q4-3,0.450000,472712.417453,523988.762090,523988.762090,490734.732076,403413.758193,1.078844
Q4-3,0.750000,474759.816002,528213.118909,528213.118909,489022.333534,407043.995564,1.061559
Q4-3,0.425000,477294.427927,529503.126939,529503.126939,494451.514868,407928.641976,1.063750
Q4-3,0.775000,478682.687146,534745.319966,534745.319966,492050.086969,409252.654502,1.037568
Q4-3,0.400000,482499.895695,535981.385976,535981.385976,499371.778484,412146.522627,1.068630
Q4-3,0.800000,483187.068307,542354.140287,542354.140287,495280.979242,411926.085392,1.019818
Q4-3,0.825000,488386.597707,551153.486985,551153.486985,498971.745258,415034.560878,1.025227
Q4-3,0.850000,494533.839893,561818.634919,561818.634919,503111.051880,418671.832881,1.044077
Q4-3,0.875000,501900.473729,572696.429691,572696.429691,509764.551340,423240.440154,1.062683
Q4-3,0.900000,511628.713006,583613.486111,583613.486111,522325.613158,428947.039749,1.030777
