date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,21297.631884,0.000000,0.000000,0.000000,21297.631884,19591.264078,50284.565296,50284.565296,0.000000,0.000000,0.000000,23546.773225,15350.403353,7710.019491,5206.484223,9342.576399,0.651493,0.000000,0.000000,1892.959648,10800.000000
2025-02-02,64258.724539,0.000000,0.000000,0.000000,64258.724539,64348.519404,91547.913370,91547.913370,0.000000,0.000000,0.000000,21695.837966,17769.518438,9265.315891,9342.576399,9124.921193,0.836388,0.000000,0.000000,1570.156044,10800.000000
2025-02-03,66718.491654,0.000000,0.000000,0.000000,66718.491654,66803.840048,93238.929637,93238.929637,0.000000,0.000000,0.000000,22037.146884,18036.278577,9021.144830,9124.921193,8918.043859,0.844790,0.000000,0.000000,1465.338884,10800.000000
2025-02-04,68980.203165,0.000000,0.000000,0.000000,68980.203165,68948.492273,95628.732248,95628.732248,0.000000,0.000000,0.000000,22529.962143,18180.091252,10083.997407,8918.043859,8994.908396,0.849190,0.000000,0.000000,1600.806648,10800.000000
2025-02-05,63685.948776,0.000000,0.000000,0.000000,63685.948776,63687.734675,89787.073297,89787.073297,0.000000,0.000000,0.000000,23408.841514,18965.057608,4594.862408,8994.908396,8990.579528,0.848254,0.000000,0.000000,1455.576484,10800.000000
2025-02-06,68905.419478,0.000000,0.000000,0.000000,68905.419478,68908.309900,95746.796951,95746.796951,0.000000,0.000000,0.000000,22004.757615,17830.159195,11301.141314,8990.579528,8983.573387,0.843965,0.000000,0.000000,1560.927266,10800.000000
2025-02-07,19022.901905,0.000000,0.000000,0.000000,19022.901905,19113.757945,45214.862421,45214.862421,0.000000,0.000000,0.000000,18774.264717,15405.359086,10040.277123,8983.573387,8763.345981,0.644039,0.000000,0.000000,1359.200512,10800.000000
2025-02-08,15600.182361,0.000000,0.000000,1037.984365,16638.166726,16639.332178,37751.899294,37751.899294,209.144543,0.000000,0.000000,18899.201884,15310.895987,2795.575222,8763.345981,8760.521025,0.642351,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,63012.328182,0.000000,0.000000,0.000000,63012.328182,63046.055848,89640.259468,89640.259468,0.000000,0.000000,0.000000,21924.754352,17832.628752,5992.717901,8760.521025,8678.767995,0.841384,0.000000,0.000000,1386.578303,10800.000000
2025-02-10,57788.103266,0.000000,0.000000,14.497196,57802.600462,57851.508780,85333.347777,85333.347777,2.924001,0.000000,0.000000,21276.149689,17340.375937,7073.860443,8678.767995,8560.218340,0.818064,0.000000,0.000000,1326.099814,10800.000000
2025-02-11,59497.266418,0.000000,0.000000,115.854481,59613.120898,59633.925800,86453.139445,86453.139445,24.924929,0.000000,0.000000,22975.399152,18655.459712,6937.527801,8560.218340,8509.789008,0.828492,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,59224.830012,0.000000,0.000000,0.000000,59224.830012,59210.394586,86594.606960,86594.606960,0.000000,0.000000,0.000000,22200.884267,17951.225022,7078.211581,8509.789008,8544.779268,0.826424,0.000000,0.000000,1270.326526,10800.000000
2025-02-13,54188.597530,0.000000,0.000000,41.307769,54229.905299,54205.201251,81165.712788,81165.712788,8.215547,0.000000,0.000000,21234.415879,17145.984381,5756.017820,8544.779268,8604.659803,0.814791,0.000000,0.000000,1261.036315,10800.000000
2025-02-14,15186.390328,0.000000,0.000000,1224.153114,16410.543442,16448.761548,36873.719524,36873.719524,243.806635,0.000000,0.000000,18509.286641,15075.895908,3882.333609,8604.659803,8512.022326,0.631100,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,15764.406626,0.000000,0.000000,259.593020,16023.999646,16094.301619,36930.569827,36930.569827,65.277683,0.000000,0.000000,18046.159229,14770.754444,4440.351625,8512.022326,8341.616250,0.637847,0.000000,0.000000,1200.000000,10800.000000
2025-02-16,58880.329316,0.000000,0.000000,462.069940,59342.399256,59319.201754,85996.284981,85996.284981,77.278076,0.000000,0.000000,22564.079019,18226.298089,6358.403028,8341.616250,8397.845045,0.830322,0.000000,0.000000,1200.000000,10800.000000
2025-02-17,57224.384502,0.000000,0.000000,794.571968,58018.956470,58033.870081,85018.397225,85018.397225,122.282777,0.000000,0.000000,19776.455129,16051.463061,10231.824768,8397.845045,8361.695704,0.817353,0.000000,0.000000,1200.000000,10800.000000
2025-02-18,49989.247355,0.000000,0.000000,5764.340076,55753.587431,55704.641128,75917.436285,75917.436285,885.194740,0.000000,0.000000,21852.048035,17593.381356,452.576563,8361.695704,8480.337429,0.814522,0.000000,0.000000,1200.000000,10800.000000
2025-02-19,50343.706921,0.000000,0.000000,4762.895812,55106.602733,55223.482692,76455.664760,76455.664760,770.242741,0.000000,0.000000,23155.478731,19010.914252,202.015638,8480.337429,8197.030230,0.816430,0.000000,0.000000,1200.000000,10800.000000
2025-02-20,53267.356893,0.000000,0.000000,889.497950,54156.854843,54091.770327,80074.287226,80074.287226,154.105368,0.000000,0.000000,22038.128307,17708.900470,4906.031023,8197.030230,8354.789628,0.816807,0.000000,0.000000,1200.000000,10800.000000
2025-02-21,14543.244138,0.000000,0.000000,147.950811,14691.194949,14706.932228,34721.112089,34721.112089,38.194609,0.000000,0.000000,18772.846104,15240.336602,5666.535163,8354.789628,8316.643786,0.620850,0.000000,0.000000,1200.000000,10800.000000
2025-02-22,14669.726523,0.000000,0.000000,1410.668335,16080.394858,16076.158961,34791.710001,34791.710001,280.392056,0.000000,0.000000,19016.779983,15394.351075,3604.910267,8316.643786,8326.911242,0.635284,0.000000,0.000000,1200.000000,10800.000000
2025-02-23,51360.346092,0.000000,0.000000,3433.128127,54793.474219,54799.797541,77866.917560,77866.917560,629.893356,0.000000,0.000000,23392.974966,18962.104204,2534.086471,8326.911242,8311.584040,0.815378,0.000000,0.000000,1200.000000,10800.000000
2025-02-24,48982.321505,0.000000,0.000000,1039.208276,50021.529781,49981.407538,74254.490458,74254.490458,182.913483,0.000000,0.000000,22103.808199,17816.556990,1947.119116,8311.584040,8408.836986,0.808249,0.000000,0.000000,1200.000000,10800.000000
2025-02-25,49887.821945,0.000000,0.000000,623.835540,50511.657485,50561.238785,77093.631086,77093.631086,125.645947,0.000000,0.000000,20339.160335,16582.882686,7641.676151,8408.836986,8288.656080,0.794097,0.000000,0.000000,1200.000000,10800.000000
2025-02-26,45187.478739,0.000000,0.000000,18385.056705,63572.535444,63509.148180,70117.239783,70117.239783,2917.389957,0.000000,0.000000,20718.810866,16643.955939,144.926780,8288.656080,8442.301482,0.805538,0.000000,0.000000,1200.000000,10746.906761
2025-02-27,45139.779856,0.000000,0.000000,7905.425585,53045.205441,53040.721363,71228.928371,71228.928371,1290.850160,0.000000,0.000000,22723.999537,18396.657498,1235.852292,8442.301482,8453.170512,0.797912,0.000000,0.000000,1200.000000,10800.000000
2025-02-28,13483.290398,0.000000,0.000000,1088.728820,14572.019218,14610.333433,33419.252176,33419.252176,258.099533,0.000000,0.000000,19044.898168,15509.950908,6849.810899,8453.170512,8360.300076,0.616678,0.000000,0.000000,1200.000000,10800.000000
2025-03-01,14597.203256,0.000000,0.000000,0.000000,14597.203256,14553.501017,35666.698550,35666.698550,0.000000,0.000000,0.000000,16728.754390,13454.953556,8734.131782,8360.300076,8466.230632,0.614222,0.000000,0.000000,1250.649393,10800.000000
2025-03-02,52571.184725,0.000000,0.000000,1024.410777,53595.595502,53650.395032,79721.891898,79721.891898,190.210217,0.000000,0.000000,23671.007126,19293.062283,3175.850206,8466.230632,8333.401176,0.812293,0.000000,0.000000,1200.000000,10800.000000
2025-03-03,53819.397621,0.000000,0.000000,6036.291373,59855.688994,59860.447970,81757.284159,81757.284159,956.653500,0.000000,0.000000,21875.180213,17729.277794,6550.888607,8333.401176,8321.865818,0.811850,0.000000,0.000000,1200.000000,10800.000000
2025-03-04,47483.319872,0.000000,0.000000,3513.040512,50996.360384,51032.912123,73283.756390,73283.756390,554.588060,0.000000,0.000000,22312.003562,18152.461394,479.344349,8321.865818,8233.267474,0.800628,0.000000,0.000000,1200.000000,10800.000000
2025-03-05,49372.605090,0.000000,0.000000,217.670543,49590.275633,49509.483776,77626.142803,77626.142803,33.073553,0.000000,0.000000,21050.192148,16874.406234,7352.958425,8233.267474,8429.100147,0.794501,0.000000,0.000000,1200.000000,10800.000000
2025-03-06,45896.912862,0.000000,0.000000,0.000000,45896.912862,45918.275885,72082.492522,72082.492522,0.000000,0.000000,0.000000,22160.721711,17996.788540,1977.905218,8429.100147,8377.317976,0.791857,0.000000,0.000000,1244.548676,10800.000000
2025-03-07,13858.508697,0.000000,0.000000,0.000000,13858.508697,13760.242018,34153.373863,34153.373863,0.000000,0.000000,0.000000,17577.352373,14023.284268,9677.020224,8377.317976,8615.508148,0.608501,0.000000,0.000000,1447.529306,10800.000000
2025-03-08,12903.010869,0.000000,0.000000,0.000000,12903.010869,12900.327625,31980.120068,31980.120068,0.000000,0.000000,0.000000,18662.991372,15111.169449,9365.158628,8615.508148,8622.012106,0.597263,0.000000,0.000000,1461.452623,10800.000000
2025-03-09,46590.218387,0.000000,0.000000,0.000000,46590.218387,46662.906350,74593.747573,74593.747573,0.000000,0.000000,0.000000,21337.480508,17441.929774,7364.671789,8622.012106,8445.822592,0.783809,0.000000,0.000000,1209.515175,10800.000000
2025-03-10,45740.522611,0.000000,0.000000,6391.741549,52132.264159,52138.088732,71151.353404,71151.353404,1139.526427,0.000000,0.000000,21933.047586,17778.474993,94.235788,8445.822592,8431.704316,0.802451,0.000000,0.000000,1200.000000,10767.250965
2025-03-11,40024.553980,0.000000,0.000000,28370.939148,68395.493128,68379.687906,63387.819423,63387.819423,4525.978593,0.000000,0.000000,17484.245767,14127.759594,618.393044,8431.704316,8470.014846,0.789393,0.000000,0.000000,1200.000000,10800.000000
2025-03-12,46080.863086,0.000000,0.000000,0.000000,46080.863086,46101.412856,73225.195066,73225.195066,0.000000,0.000000,0.000000,20908.107591,16980.396973,6861.949765,8470.014846,8420.203930,0.780168,0.000000,0.000000,1201.456673,10800.000000
2025-03-13,46831.895049,0.000000,0.000000,2277.737599,49109.632648,49108.649260,73132.063347,73132.063347,355.295038,0.000000,0.000000,21141.783470,17122.699327,1922.656226,8420.203930,8422.587579,0.799637,0.000000,0.000000,1200.000000,10800.000000
2025-03-14,12313.159458,0.000000,0.000000,539.117288,12852.276747,12745.504256,31473.020982,31473.020982,103.348469,0.000000,0.000000,18569.339524,14808.238224,11785.842168,8422.587579,8681.395123,0.591387,0.000000,0.000000,1200.000000,10800.000000
2025-03-15,12452.040497,0.000000,0.000000,829.055750,13281.096247,13450.875763,30804.997066,30804.997066,163.718568,0.000000,0.000000,18796.178322,15595.282592,6843.694754,8681.395123,8269.863844,0.604772,0.000000,0.000000,1200.000000,10800.000000
2025-03-16,44088.190036,0.000000,0.000000,8.081100,44096.271136,43890.318007,69966.619095,69966.619095,1.640000,0.000000,0.000000,22263.594189,17584.219522,1937.837495,8269.863844,8769.076922,0.784895,0.000000,0.000000,1437.175997,10800.000000
2025-03-17,39003.288780,0.000000,0.000000,3140.520032,42143.808812,42209.120804,64921.473424,64921.473424,505.043393,0.000000,0.000000,21609.106187,17645.855713,3605.134910,8769.076922,8610.766143,0.760176,0.000000,0.000000,1200.000000,10800.000000
2025-03-18,46497.206388,0.000000,0.000000,0.000000,46497.206388,46490.627694,74282.082915,74282.082915,0.000000,0.000000,0.000000,19555.742054,15825.799483,9426.181978,8610.766143,8626.712343,0.776017,0.000000,0.000000,1352.864218,10800.000000
2025-03-19,37447.401433,0.000000,0.000000,17565.598466,55012.999900,55056.089369,60619.118410,60619.118410,2786.659084,0.000000,0.000000,18679.733017,15224.584471,485.158498,8626.712343,8522.267090,0.771838,0.000000,0.000000,1200.000000,10800.000000
2025-03-20,43262.484324,0.000000,0.000000,4668.231226,47930.715551,47951.544745,69175.675773,69175.675773,886.617797,0.000000,0.000000,21879.768681,17768.052026,3741.615099,8522.267090,8471.778874,0.778638,0.000000,0.000000,1200.000000,10800.000000
2025-03-21,11651.490932,0.000000,0.000000,849.631140,12501.122072,12499.920956,30106.404061,30106.404061,280.805836,0.000000,0.000000,18952.704109,15349.070065,14750.111336,8471.778874,8474.690278,0.570290,0.000000,0.000000,1200.000000,10800.000000
2025-03-22,12615.930516,0.000000,0.000000,0.000000,12615.930516,12420.080819,31165.843780,31165.843780,0.000000,0.000000,0.000000,18871.815105,14858.919349,11271.748291,8474.690278,8949.413485,0.587388,0.000000,0.000000,1539.389362,10800.000000
2025-03-23,42881.510036,0.000000,0.000000,393.137018,43274.647054,43451.737965,69565.578969,69565.578969,64.303595,0.000000,0.000000,19771.607211,16401.329979,7489.885216,8949.413485,8520.159997,0.767178,0.000000,0.000000,1200.000000,10800.000000
2025-03-24,39772.551724,0.000000,0.000000,0.000000,39772.551724,39848.238641,65369.128202,65369.128202,0.000000,0.000000,0.000000,21697.402195,17740.008633,3413.237557,8520.159997,8336.701269,0.767486,0.000000,0.000000,1202.079827,10800.000000
2025-03-25,44848.690876,0.000000,0.000000,492.733660,45341.424536,45313.932000,72957.974881,72957.974881,75.444748,0.000000,0.000000,20765.903136,16760.405903,8077.797679,8336.701269,8403.340866,0.771276,0.000000,0.000000,1200.000000,10800.000000
2025-03-26,38230.149128,0.000000,0.000000,3864.706260,42094.855388,42063.547154,62593.078195,62593.078195,699.995885,0.000000,0.000000,21622.419006,17445.859721,3523.959929,8403.340866,8479.229392,0.756611,0.000000,0.000000,1200.000000,10800.000000
2025-03-27,40538.375548,0.000000,0.000000,0.000000,40538.375548,40515.243452,66380.601058,66380.601058,0.000000,0.000000,0.000000,20599.574851,16635.192399,3699.229206,8479.229392,8535.299648,0.766416,0.000000,0.000000,1339.349152,10800.000000
2025-03-28,11815.004260,0.000000,0.000000,0.000000,11815.004260,11773.893767,30178.580462,30178.580462,0.000000,0.000000,0.000000,18577.972293,14958.474013,15737.201416,8535.299648,8634.948030,0.574768,0.000000,0.000000,1421.908478,10800.000000
2025-03-29,11259.675464,0.000000,0.000000,1574.717033,12834.392497,12883.463646,29096.575164,29096.575164,303.647712,0.000000,0.000000,18911.598693,15425.444849,18206.859849,8634.948030,8516.003688,0.563087,0.000000,0.000000,1200.000000,10800.000000
2025-03-30,38286.305036,0.000000,0.000000,0.000000,38286.305036,38253.115513,65176.738909,65176.738909,0.000000,0.000000,0.000000,21375.078086,17241.409497,5697.450620,8516.003688,8596.452302,0.752027,0.000000,0.000000,1276.275708,10800.000000
2025-03-31,34128.319891,0.000000,0.000000,28868.605542,62996.925433,63016.931299,55570.921225,55570.921225,4580.885930,0.000000,0.000000,16205.719375,13170.275977,164.974273,8596.452302,8547.959765,0.760704,0.000000,0.000000,1200.000000,9846.224392
2025-04-01,42607.557478,0.000000,0.000000,1117.917096,43725.474574,43763.232607,69513.522857,69513.522857,172.391658,0.000000,0.000000,20034.373099,16310.212281,5752.902180,8547.959765,8456.437465,0.773109,0.000000,0.000000,1200.000000,10800.000000
2025-04-02,39667.162388,0.000000,0.000000,1197.707084,40864.869472,40877.598822,65762.678308,65762.678308,179.889920,0.000000,0.000000,21169.176062,17174.801998,1512.858763,8456.437465,8425.582590,0.772320,0.000000,0.000000,1200.000000,10800.000000
2025-04-03,41513.763448,0.000000,0.000000,0.000000,41513.763448,41465.796747,67253.703809,67253.703809,0.000000,0.000000,0.000000,20050.662957,16136.396467,7475.907052,8425.582590,8541.849844,0.764464,0.000000,0.000000,1271.942950,10800.000000
2025-04-04,10928.652174,0.000000,0.000000,0.000000,10928.652174,10881.613959,28644.899322,28644.899322,0.000000,0.000000,0.000000,19007.105162,15293.140169,18500.132079,8541.849844,8655.866523,0.559503,0.000000,0.000000,1265.227699,10800.000000
2025-04-05,11101.871406,0.000000,0.000000,501.642167,11603.513573,11706.194360,28318.053408,28318.053408,136.577890,0.000000,0.000000,19075.197974,15674.910997,13010.229338,8655.866523,8406.976926,0.575528,0.000000,0.000000,1200.000000,10800.000000
2025-04-06,37962.944177,0.000000,0.000000,244.433302,38207.377479,38184.646250,63928.638814,63928.638814,46.527073,0.000000,0.000000,21434.332683,17312.220743,5442.977680,8406.976926,8462.075515,0.755687,0.000000,0.000000,1200.000000,10800.000000
2025-04-07,33152.283810,0.000000,0.000000,11055.492074,44207.775884,44247.453247,55374.538408,55374.538408,1703.559372,0.000000,0.000000,20115.278848,16379.933001,100.032650,8462.075515,8365.900922,0.751716,0.000000,0.000000,1200.000000,10605.955991
2025-04-08,38890.781920,0.000000,0.000000,537.701847,39428.483768,39429.743197,65154.810557,65154.810557,90.052117,0.000000,0.000000,20568.776598,16663.456520,6986.348979,8365.900922,8362.848172,0.751916,0.000000,0.000000,1200.000000,10800.000000
2025-04-09,38015.225276,0.000000,0.000000,3865.286997,41880.512273,41860.587584,63019.875276,63019.875276,591.257552,0.000000,0.000000,20868.491746,16860.012120,468.342186,8362.848172,8411.143943,0.766271,0.000000,0.000000,1200.000000,10800.000000
2025-04-10,37485.031618,0.000000,0.000000,0.000000,37485.031618,37418.364389,61439.925041,61439.925041,0.000000,0.000000,0.000000,21310.416263,17116.000987,2784.871865,8411.143943,8572.739705,0.758027,0.000000,0.000000,1286.893469,10800.000000
2025-04-11,10490.677626,0.000000,0.000000,1437.618317,11928.295943,12043.127063,27355.915233,27355.915233,417.796886,0.000000,0.000000,18978.187478,15622.838745,19101.713219,8572.739705,8294.398719,0.551478,0.000000,0.000000,1200.000000,10800.000000
2025-04-12,11379.614745,0.000000,0.000000,0.000000,11379.614745,11208.311232,29187.333992,29187.333992,0.000000,0.000000,0.000000,18427.267413,14552.383817,16287.289846,8294.398719,8709.624038,0.563867,0.000000,0.000000,1470.104407,10800.000000
2025-04-13,35114.023209,0.000000,0.000000,1815.546938,36929.570147,37007.933261,58398.417284,58398.417284,297.174961,0.000000,0.000000,20331.369310,16639.360185,727.224637,8709.624038,8519.678434,0.756255,0.000000,0.000000,1200.000000,10800.000000
2025-04-14,36530.662279,0.000000,0.000000,886.385153,37417.047432,37457.663052,61457.781845,61457.781845,137.213402,0.000000,0.000000,19835.579786,16155.423593,5386.807255,8519.678434,8421.229582,0.746597,0.000000,0.000000,1200.000000,10800.000000
2025-04-15,31918.089350,0.000000,0.000000,7735.892129,39653.981479,39606.741237,53765.058305,53765.058305,1196.466085,0.000000,0.000000,19872.476765,15993.650441,943.269233,8421.229582,8535.735959,0.738533,0.000000,0.000000,1200.000000,10800.000000
2025-04-16,35812.743572,0.000000,0.000000,2962.484523,38775.228095,38857.389912,60620.428850,60620.428850,447.721688,0.000000,0.000000,19967.872126,16353.214429,1673.900891,8535.735959,8336.582617,0.762354,0.000000,0.000000,1200.000000,10800.000000
2025-04-17,33201.562086,0.000000,0.000000,13959.381352,47160.943438,47071.733767,54400.664021,54400.664021,2293.320324,0.000000,0.000000,17897.668988,14302.498807,230.471815,8336.582617,8552.819365,0.747767,0.000000,0.000000,1200.000000,9344.267813
2025-04-18,10413.394366,0.000000,0.000000,0.000000,10413.394366,10319.772369,27704.180391,27704.180391,0.000000,0.000000,0.000000,18803.421485,15026.532735,17573.174457,8552.819365,8779.751219,0.559420,0.000000,0.000000,1447.839725,10800.000000
2025-04-19,10015.887913,0.000000,0.000000,0.000000,10015.887913,10163.084303,27090.718816,27090.718816,0.000000,0.000000,0.000000,18630.250481,15411.615400,17087.404486,8779.751219,8422.959540,0.557976,0.000000,0.000000,1262.763368,10800.000000
2025-04-20,33439.497185,0.000000,0.000000,2277.904928,35717.402113,35696.671989,55852.809145,55852.809145,349.211241,0.000000,0.000000,20542.426506,16594.142200,295.991197,8422.959540,8473.207618,0.745439,0.000000,0.000000,1200.000000,10800.000000
2025-04-21,34591.874030,0.000000,0.000000,240.271341,34832.145371,34874.752721,59182.991615,59182.991615,49.383217,0.000000,0.000000,19218.361475,15659.821768,7156.924743,8473.207618,8369.930981,0.733952,0.000000,0.000000,1200.000000,10800.000000
2025-04-22,32384.714323,0.000000,0.000000,11051.273963,43435.988287,43468.386609,54005.532045,54005.532045,1731.858350,0.000000,0.000000,18376.561099,14955.692219,163.592198,8369.930981,8291.400171,0.750958,0.000000,0.000000,1200.000000,10608.434908
2025-04-23,31297.137292,0.000000,0.000000,18798.670616,50095.807909,50021.069656,51991.550774,51991.550774,2946.835192,0.000000,0.000000,16739.089376,13395.619075,194.998948,8291.400171,8472.559415,0.747912,0.000000,0.000000,1200.000000,8836.718785
2025-04-24,31860.399153,0.000000,0.000000,0.000000,31860.399153,31871.747485,53030.887507,53030.887507,0.000000,0.000000,0.000000,19335.567032,15686.565958,2291.779734,8472.559415,8445.052012,0.736185,0.000000,0.000000,1218.266888,10800.000000
2025-04-25,9999.771804,0.000000,0.000000,0.000000,9999.771804,9964.575110,27241.951013,27241.951013,0.000000,0.000000,0.000000,18591.460726,14982.300742,21632.433379,8445.052012,8530.365841,0.540692,0.000000,0.000000,1362.162817,10800.000000
2025-04-26,10326.708489,0.000000,0.000000,0.000000,10326.708489,10325.526269,27003.913399,27003.913399,0.000000,0.000000,0.000000,18597.701418,15061.559105,23397.577453,8530.365841,8533.231445,0.537805,0.000000,0.000000,1351.181566,10800.000000
2025-04-27,31069.101919,0.000000,0.000000,3937.764063,35006.865983,35058.954697,52322.773321,52322.773321,600.223163,0.000000,0.000000,20026.753087,16335.302800,658.075013,8533.231445,8406.972780,0.733783,0.000000,0.000000,1200.000000,10800.000000
2025-04-28,38143.041741,0.000000,0.000000,0.000000,38143.041741,38121.591682,64181.956321,64181.956321,0.000000,0.000000,0.000000,20159.201047,16282.159020,3682.946979,8406.972780,8458.965921,0.766052,0.000000,0.000000,1205.989990,10800.000000
2025-04-29,31841.950182,0.000000,0.000000,3620.911985,35462.862167,35366.202449,54005.178736,54005.178736,547.130853,0.000000,0.000000,18282.284430,14597.784859,3434.596301,8458.965921,8693.260954,0.730383,0.000000,0.000000,1200.000000,10800.000000
2025-04-30,30444.586293,0.000000,0.000000,3554.594992,33999.181285,34111.961643,51186.498756,51186.498756,585.477272,0.000000,0.000000,18882.007119,15540.458866,173.573343,8693.260954,8419.890843,0.729442,0.000000,0.000000,1200.000000,10287.778668
2025-05-01,33693.400658,0.000000,0.000000,10795.037318,44488.437976,44777.451744,54133.078970,54133.078970,1703.347275,0.000000,0.000000,19497.143311,16423.176662,1751.080795,8419.890843,7719.345754,0.747326,0.000000,0.000000,1200.000000,10800.000000
2025-05-02,11858.641440,0.000000,0.000000,5843.334401,17701.975840,17621.752627,29187.491258,29187.491258,1161.399884,0.000000,0.000000,18212.265326,14576.926020,12423.231753,7719.345754,7913.800081,0.586951,0.000000,0.000000,1200.000000,10800.000000
2025-05-03,11164.450129,0.000000,0.000000,7246.233420,18410.683550,18309.328591,28189.708325,28189.708325,1527.710533,0.000000,0.000000,18130.787371,14464.829457,17184.289295,7913.800081,8159.475985,0.569824,0.000000,0.000000,1200.000000,10800.000000
2025-05-04,35514.762556,0.000000,0.000000,8815.241387,44330.003943,44405.471430,58744.742368,58744.742368,1457.856775,0.000000,0.000000,18037.666501,14775.144028,5205.409337,8159.475985,7976.549138,0.746128,0.000000,0.000000,1200.000000,10800.000000
2025-05-05,36896.587760,0.000000,0.000000,6844.925738,43741.513498,43728.309861,60492.716838,60492.716838,1083.493431,0.000000,0.000000,20172.663478,16311.053361,2638.593353,7976.549138,8008.553644,0.760461,0.000000,0.000000,1200.000000,10800.000000
