date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,18851.610995,0.000000,0.000000,0.000000,18851.610995,19710.105854,42872.139087,42872.139087,0.000000,0.000000,0.000000,18371.142435,16753.452832,6876.273551,5206.484223,3125.564823,0.651493,0.000000,0.000000,1892.959648,10800.000000
2025-02-02,64312.547952,0.000000,0.000000,0.000000,64312.547952,64254.102908,90462.630554,90462.630554,0.000000,0.000000,0.000000,21710.867039,17458.303013,7853.788579,3125.564823,3267.230700,0.836388,0.000000,0.000000,1996.253458,10800.000000
2025-02-03,65984.075304,0.000000,0.000000,0.000000,65984.075304,66116.880183,91223.053553,91223.053553,0.000000,0.000000,0.000000,21477.922364,17686.834197,7215.048886,3267.230700,2945.322831,0.844790,0.000000,0.000000,1899.434725,10800.000000
2025-02-04,69632.483994,0.000000,0.000000,0.000000,69632.483994,69892.099211,94601.604603,94601.604603,0.000000,0.000000,0.000000,21417.043128,17914.161858,9903.859383,2945.322831,2316.037360,0.849190,0.000000,0.000000,2068.777071,10800.000000
2025-02-05,65182.445970,0.000000,0.000000,0.000000,65182.445970,65205.672052,89834.124056,89834.124056,0.000000,0.000000,0.000000,21882.680090,17775.639136,4978.656119,2316.037360,2259.739289,0.848254,0.000000,0.000000,1897.909118,10800.000000
2025-02-06,69719.976744,0.000000,0.000000,0.000000,69719.976744,69644.450240,95416.864804,95416.864804,0.000000,0.000000,0.000000,22110.671976,17744.881392,10780.017004,2259.739289,2442.809187,0.843965,0.000000,0.000000,2062.762665,10800.000000
2025-02-07,19493.176067,0.000000,0.000000,0.000000,19493.176067,19731.515474,45540.735140,45540.735140,0.000000,0.000000,0.000000,18947.399647,15867.336940,10654.992767,2442.809187,1865.094491,0.644039,0.000000,0.000000,1645.009770,10800.000000
2025-02-08,15981.568040,0.000000,0.000000,0.000000,15981.568040,15987.728126,37952.285381,37952.285381,0.000000,0.000000,0.000000,20552.953229,16661.330495,2483.499930,1865.094491,1850.162959,0.642351,0.000000,0.000000,1442.479952,10800.000000
2025-02-09,64559.186723,0.000000,0.000000,0.000000,64559.186723,64436.264112,90004.882967,90004.882967,0.000000,0.000000,0.000000,20894.294342,16656.219746,6211.392404,1850.162959,2148.117038,0.841384,0.000000,0.000000,1850.162959,10800.000000
2025-02-10,58543.873817,0.000000,0.000000,0.000000,58543.873817,58481.486236,84946.402812,84946.402812,0.000000,0.000000,0.000000,19967.390856,16037.486565,6689.860937,2148.117038,2299.339292,0.818064,0.000000,0.000000,2089.976129,10800.000000
2025-02-11,60220.703932,0.000000,0.000000,0.000000,60220.703932,60307.916485,86028.270099,86028.270099,0.000000,0.000000,0.000000,22264.981036,18224.890950,6767.582879,2299.339292,2087.943392,0.828492,0.000000,0.000000,1671.925116,10800.000000
2025-02-12,60068.127798,0.000000,0.000000,0.000000,60068.127798,60167.260550,86658.116071,86658.116071,0.000000,0.000000,0.000000,21525.454822,17651.878921,7517.804037,2087.943392,1847.653930,0.826424,0.000000,0.000000,1517.326836,10800.000000
2025-02-13,55189.072716,0.000000,0.000000,0.000000,55189.072716,55178.470752,81537.691851,81537.691851,0.000000,0.000000,0.000000,19879.020163,16078.877890,6408.070562,1847.653930,1873.352199,0.814791,0.000000,0.000000,1753.854070,10800.000000
2025-02-14,15676.087607,0.000000,0.000000,0.000000,15676.087607,15821.364013,37882.489075,37882.489075,0.000000,0.000000,0.000000,18870.350216,15601.907696,4812.244739,1873.352199,1521.214397,0.631100,0.000000,0.000000,1201.327779,10800.000000
2025-02-15,16677.249424,0.000000,0.000000,0.000000,16677.249424,16751.034646,38259.097276,38259.097276,0.000000,0.000000,0.000000,18895.332353,15466.183468,5549.857291,1521.214397,1342.365218,0.637847,0.000000,0.000000,1342.365218,10800.000000
2025-02-16,61138.243839,0.000000,0.000000,0.000000,61138.243839,60391.814352,86793.573308,86793.573308,0.000000,0.000000,0.000000,21553.451238,15829.941383,5692.684352,1342.365218,3151.647574,0.830322,0.000000,0.000000,1342.365218,10800.000000
2025-02-17,58796.062154,0.000000,0.000000,0.000000,58796.062154,59205.297222,84273.260558,84273.260558,0.000000,0.000000,0.000000,16652.635051,14381.390665,10818.153006,3151.647574,2159.696158,0.817353,0.000000,0.000000,2159.696158,10800.000000
2025-02-18,51652.460222,0.000000,0.000000,0.000000,51652.460222,51603.938763,76460.411937,76460.411937,0.000000,0.000000,0.000000,20524.863218,16519.288462,363.449398,2159.696158,2277.308097,0.814522,0.000000,0.000000,1907.504908,10800.000000
2025-02-19,52150.053161,0.000000,0.000000,242.783470,52392.836632,52544.011309,76952.947117,76952.947117,44.760964,0.000000,0.000000,21643.373838,17860.924052,335.930912,2277.308097,1910.873382,0.816430,0.000000,0.000000,1890.755947,10800.000000
2025-02-20,54546.543632,0.000000,0.000000,382.120655,54928.664287,55112.084152,80900.394427,80900.394427,78.372422,0.000000,0.000000,21407.276295,17740.028705,6318.385525,1910.873382,1466.279042,0.816807,0.000000,0.000000,1200.000000,10800.000000
2025-02-21,14692.264442,0.000000,0.000000,0.000000,14692.264442,14716.711217,35058.474708,35058.474708,0.000000,0.000000,0.000000,19388.031504,15757.636753,5867.817924,1466.279042,1407.022114,0.620850,0.000000,0.000000,1334.477153,10800.000000
2025-02-22,15256.783834,0.000000,0.000000,1035.303355,16292.087189,16345.808459,35270.311086,35270.311086,206.831396,0.000000,0.000000,18666.238489,15236.847434,4202.988545,1407.022114,1276.806271,0.635284,0.000000,0.000000,1200.000000,10800.000000
2025-02-23,53140.647697,0.000000,0.000000,4862.350515,58002.998211,57871.070360,79497.070829,79497.070829,889.974334,0.000000,0.000000,23302.323026,18587.077828,4139.946282,1276.806271,1596.588297,0.815378,0.000000,0.000000,1200.000000,10800.000000
2025-02-24,50477.529411,0.000000,0.000000,158.122880,50635.652290,50690.340038,74906.241390,74906.241390,31.035988,0.000000,0.000000,21061.038797,17178.744079,2851.949044,1596.588297,1464.029793,0.808249,0.000000,0.000000,1464.029793,10800.000000
2025-02-25,51967.542897,0.000000,0.000000,58.050551,52025.593448,51854.472367,78203.062026,78203.062026,11.311487,0.000000,0.000000,19666.048233,15556.194258,8283.196305,1464.029793,1878.812916,0.794097,0.000000,0.000000,1464.029793,10800.000000
2025-02-26,45908.349006,0.000000,0.000000,15539.654755,61448.003762,61718.399417,69381.153976,69381.153976,2541.285199,0.000000,0.000000,18987.284125,15969.574854,89.881871,1878.812916,1223.396568,0.805538,0.000000,0.000000,1200.000000,10378.981502
2025-02-27,46263.869653,0.000000,0.000000,6144.093210,52407.962863,52382.926064,71044.948276,71044.948276,964.138841,0.000000,0.000000,22192.913505,17921.641552,781.230965,1223.396568,1284.083665,0.797912,0.000000,0.000000,1200.000000,10800.000000
2025-02-28,13660.790294,0.000000,0.000000,2124.142532,15784.932826,15691.235687,33047.271452,33047.271452,561.395620,0.000000,0.000000,18495.688670,14777.105231,6597.490083,1284.083665,1511.197656,0.616678,0.000000,0.000000,1200.000000,10800.000000
2025-03-01,15038.786145,0.000000,0.000000,0.000000,15038.786145,15020.124247,37068.279533,37068.279533,0.000000,0.000000,0.000000,17186.400189,13880.272768,10103.386180,1511.197656,1556.432527,0.614222,0.000000,0.000000,1377.030410,10800.000000
2025-03-02,54402.702459,0.000000,0.000000,0.000000,54402.702459,53971.362859,80330.683182,80330.683182,0.000000,0.000000,0.000000,21884.347673,16785.343764,2873.372206,1556.432527,2601.963473,0.812293,0.000000,0.000000,1556.432527,10800.000000
2025-03-03,55018.600099,0.000000,0.000000,2239.745892,57258.345991,57779.472540,81532.389158,81532.389158,374.333368,0.000000,0.000000,20197.100680,17496.501820,7188.977032,2601.963473,1338.796508,0.811850,0.000000,0.000000,1200.000000,10800.000000
2025-03-04,47833.676368,0.000000,0.000000,2682.418860,50516.095228,50573.356498,72264.954154,72264.954154,562.379016,0.000000,0.000000,19740.158971,16114.445623,2.161889,1338.796508,1200.000000,0.800628,0.000000,0.000000,1200.000000,10549.807923
2025-03-05,50005.145780,0.000000,0.000000,0.000000,50005.145780,49829.940644,77426.253490,77426.253490,0.000000,0.000000,0.000000,21440.539350,16984.622600,6839.864723,1200.000000,1624.682526,0.794501,0.000000,0.000000,1200.000000,10800.000000
2025-03-06,46375.498504,0.000000,0.000000,215.853423,46591.351927,46766.557063,71671.698596,71671.698596,115.198057,0.000000,0.000000,21259.045868,17602.041427,2189.238078,1624.682526,1200.000000,0.791857,0.000000,0.000000,1200.000000,10800.000000
2025-03-07,14143.699696,0.000000,0.000000,0.000000,14143.699696,13966.413013,33916.503357,33916.503357,0.000000,0.000000,0.000000,17360.367948,13675.142818,9308.992694,1200.000000,1629.728022,0.608501,0.000000,0.000000,1200.000000,10800.000000
2025-03-08,12785.511499,0.000000,0.000000,0.000000,12785.511499,12802.251708,31095.695651,31095.695651,0.000000,0.000000,0.000000,16522.580179,13419.809120,8929.785074,1629.728022,1589.151162,0.597263,0.000000,0.000000,1312.278952,10800.000000
2025-03-09,46577.499837,0.000000,0.000000,0.000000,46577.499837,46617.166264,73371.647407,73371.647407,0.000000,0.000000,0.000000,22309.705093,18157.394403,5885.811667,1589.151162,1493.003075,0.783809,0.000000,0.000000,1337.083711,10800.000000
2025-03-10,45257.421734,0.000000,0.000000,13460.063597,58717.485332,58838.365378,69410.812697,69410.812697,2225.122589,0.000000,0.000000,20160.310771,16593.554493,27.107557,1493.003075,1200.000000,0.802451,0.000000,0.000000,1200.000000,10571.238700
2025-03-11,39744.746423,0.000000,0.000000,35502.298022,75247.044445,75137.565945,61695.824504,61695.824504,5570.318500,0.000000,0.000000,15517.901131,12330.669900,139.992972,1200.000000,1465.366685,0.789393,0.000000,0.000000,1200.000000,10800.000000
2025-03-12,46877.530416,0.000000,0.000000,0.000000,46877.530416,46634.859787,73299.657835,73299.657835,0.000000,0.000000,0.000000,20701.537146,16238.853197,6401.439203,1465.366685,2053.579897,0.780168,0.000000,0.000000,1465.366685,10800.000000
2025-03-13,47059.452012,0.000000,0.000000,1231.207068,48290.659079,48636.504506,72560.097669,72560.097669,238.085899,0.000000,0.000000,20501.767167,17360.901633,2111.700017,2053.579897,1215.279645,0.799637,0.000000,0.000000,1200.000000,10800.000000
2025-03-14,12284.281513,0.000000,0.000000,589.772596,12874.054109,12765.752973,30821.052509,30821.052509,113.059062,0.000000,0.000000,16844.316029,13407.634416,11468.003975,1215.279645,1477.792498,0.591387,0.000000,0.000000,1200.000000,10800.000000
2025-03-15,12321.493252,0.000000,0.000000,1697.723965,14019.217218,14133.822056,30085.147619,30085.147619,463.168640,0.000000,0.000000,16228.789129,13395.332442,6790.734422,1477.792498,1200.000000,0.604772,0.000000,0.000000,1200.000000,10800.000000
2025-03-16,44158.394487,0.000000,0.000000,8.081100,44166.475587,44056.315998,69313.880948,69313.880948,1.640000,0.000000,0.000000,23355.927419,18677.985380,1286.531976,1200.000000,1467.017588,0.784895,0.000000,0.000000,1200.000000,10800.000000
