date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,19929.937488,0.000000,0.000000,0.000000,19929.937488,18779.879271,46955.803985,46955.803985,0.000000,0.000000,0.000000,23124.138222,16221.671927,5675.161757,5280.429166,8068.073647,0.651493,0.000000,0.000000,1911.382148,10800.000000
2025-02-02,64079.237898,0.000000,0.000000,0.000000,64079.237898,62994.830722,91887.303818,91887.303818,0.000000,0.000000,0.000000,24418.611919,17413.414967,6525.828917,8068.073647,10696.585521,0.836388,0.000000,0.000000,2272.943867,10800.000000
2025-02-03,65246.207627,0.000000,0.000000,0.000000,65246.207627,65203.543409,90714.104839,90714.104839,0.000000,0.000000,0.000000,22311.415988,17979.173920,6164.946271,10696.585521,10800.000000,0.844790,0.000000,0.000000,2267.144312,10800.000000
2025-02-04,68079.588985,0.000000,0.000000,0.000000,68079.588985,68465.583040,92633.476819,92633.476819,0.000000,0.000000,0.000000,19618.342128,16732.912562,8553.183303,10800.000000,9864.382846,0.849190,0.000000,0.000000,2329.163132,10800.000000
2025-02-05,63982.928801,0.000000,0.000000,0.000000,63982.928801,63596.934746,89979.480499,89979.480499,0.000000,0.000000,0.000000,24002.443807,18599.924045,3828.533754,9864.382846,10800.000000,0.848254,0.000000,0.000000,1953.116489,10800.000000
2025-02-06,66778.653206,0.000000,0.000000,0.000000,66778.653206,68147.142306,90805.342333,90805.342333,0.000000,0.000000,0.000000,18553.547329,18013.765663,9994.503450,10800.000000,7482.897415,0.843965,0.000000,0.000000,2067.637500,10800.000000
2025-02-07,18910.610197,0.000000,0.000000,0.000000,18910.610197,19099.065804,44559.511982,44559.511982,0.000000,0.000000,0.000000,19048.910027,15840.737623,9545.659912,7482.897415,7026.096858,0.644039,0.000000,0.000000,1653.069237,10800.000000
2025-02-08,15341.219006,0.000000,0.000000,92.067479,15433.286485,15805.917392,36947.513000,36947.513000,18.550772,0.000000,0.000000,19881.820581,16917.178078,2424.258551,7026.096858,6122.870850,0.642351,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,64843.834685,0.000000,0.000000,0.000000,64843.834685,63016.677723,92546.845925,92546.845925,0.000000,0.000000,0.000000,25100.183100,16345.160861,4236.407720,6122.870850,10551.745794,0.841384,0.000000,0.000000,2778.967705,10800.000000
2025-02-10,57583.128128,0.000000,0.000000,0.000000,57583.128128,57595.728922,84084.639716,84084.639716,0.000000,0.000000,0.000000,20255.434576,16434.390946,5936.958503,10551.745794,10521.202527,0.818064,0.000000,0.000000,2066.259332,10800.000000
2025-02-11,59158.275990,0.000000,0.000000,31.355294,59189.631284,59187.397315,84674.244235,84674.244235,6.118703,0.000000,0.000000,21673.921471,17551.002935,5336.847268,10521.202527,10526.617479,0.828492,0.000000,0.000000,1618.524381,10800.000000
2025-02-12,58985.351023,0.000000,0.000000,0.000000,58985.351023,59007.040297,85277.442550,85277.442550,0.000000,0.000000,0.000000,21339.053490,17331.949005,6003.601932,10526.617479,10474.044504,0.826424,0.000000,0.000000,2089.774759,10800.000000
2025-02-13,52956.895564,0.000000,0.000000,0.000000,52956.895564,53848.890102,77096.594063,77096.594063,0.000000,0.000000,0.000000,16768.459567,15528.360077,4527.015556,10474.044504,8311.924696,0.814791,0.000000,0.000000,2634.272680,10800.000000
2025-02-14,14519.628274,0.000000,0.000000,423.119585,14942.747859,15964.032424,34968.550002,34968.550002,84.269983,0.000000,0.000000,17671.299357,16541.709650,4121.428462,8311.924696,5836.416727,0.631100,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,17043.447785,0.000000,0.000000,0.000000,17043.447785,16163.541176,39934.493727,39934.493727,0.000000,0.000000,0.000000,20987.360577,15080.224352,4747.266403,5836.416727,7969.236411,0.637847,0.000000,0.000000,1440.156896,10800.000000
2025-02-16,60278.031626,0.000000,0.000000,0.000000,60278.031626,59298.805715,86784.906437,86784.906437,0.000000,0.000000,0.000000,21923.666716,15621.964849,5105.825470,7969.236411,10342.797734,0.830322,0.000000,0.000000,2474.373485,10800.000000
2025-02-17,57997.717508,0.000000,0.000000,0.000000,57997.717508,58111.844841,84454.544603,84454.544603,0.000000,0.000000,0.000000,18009.384527,14836.573025,10097.869934,10342.797734,10066.162670,0.817353,0.000000,0.000000,2013.815327,10800.000000
2025-02-18,50977.263408,0.000000,0.000000,143.233661,51120.497069,51349.710981,75990.067675,75990.067675,24.248817,0.000000,0.000000,20281.507996,16928.057212,569.477924,10066.162670,9510.567409,0.814522,0.000000,0.000000,1200.000000,10800.000000
2025-02-19,51530.667824,0.000000,0.000000,207.591984,51738.259807,51914.542046,76732.541491,76732.541491,45.355291,0.000000,0.000000,21011.828080,17404.144745,290.886063,9510.567409,9083.274075,0.816430,0.000000,0.000000,1200.000000,10800.000000
