date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,18182.618906,0.000000,-560.963744,0.000000,17621.655162,17743.067909,42928.367344,40755.839687,0.000000,0.000000,2172.527657,19687.833726,16212.010185,2901.840212,5280.429166,4986.134869,0.651493,0.000000,0.000000,1795.505707,10800.000000
2025-02-02,64252.180965,0.000000,-1859.728590,782.308397,63174.760772,61177.684563,94541.970550,89936.337297,124.508729,0.000000,4605.633254,27790.796197,18153.874493,2067.646372,4986.134869,9826.879787,0.836388,0.000000,0.000000,1200.000000,10800.000000
2025-02-03,64347.079214,425.197020,-2049.199318,0.000000,62723.076916,62748.786460,90654.203603,85927.701961,0.000000,231.717641,4958.219283,22587.353394,18351.842248,1475.274315,9826.879787,9764.562011,0.844790,0.000000,0.000000,1442.549924,10800.000000
2025-02-04,67451.153779,0.000000,-2767.753229,0.000000,64683.400549,64726.145280,94072.417100,87853.044579,0.000000,0.000000,6219.372521,24345.297241,19812.939437,2125.822826,9764.562011,9660.952375,0.849190,0.000000,0.000000,1447.058645,10800.000000
2025-02-05,60501.949038,400.809480,-750.032995,0.000000,60152.725523,61318.429996,84675.474361,83434.347786,0.000000,381.324460,1622.451036,20681.857856,19295.317584,1299.380529,9660.952375,6835.382687,0.848254,0.000000,0.000000,1285.700737,10800.000000
2025-02-06,66735.614948,474.059007,-3624.121661,218.394137,63803.946431,64084.008395,93047.071947,85449.123923,32.427551,252.185875,7850.133899,22989.016031,19232.064985,1453.543211,6835.382687,6156.536020,0.843965,0.000000,0.000000,1526.082014,10800.000000
2025-02-07,17965.677051,0.000000,-1070.899282,2063.038902,18957.816671,19375.529257,43680.378343,39103.388708,487.082931,0.000000,4576.989635,20537.906562,17546.954503,4793.839913,6156.536020,5144.035811,0.644039,0.000000,0.000000,1200.000000,10800.000000
2025-02-08,16149.758924,578.546069,0.000000,190.556222,16918.861214,15629.844925,40877.733329,41369.105695,38.395370,491.372366,0.000000,24392.307577,16945.748685,2383.779457,5144.035811,8268.502980,0.642351,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,59097.720985,908.336034,-906.410396,0.000000,59099.646622,60934.379241,82362.801577,80926.831974,0.000000,643.610626,2079.580230,16854.613282,17654.750686,2171.553411,8268.502980,3821.265283,0.841384,0.000000,0.000000,1374.967316,10800.000000
2025-02-10,58693.007568,0.000000,-1667.624118,0.000000,57025.383450,55047.076407,89112.121080,85133.828832,0.000000,0.000000,3978.292248,27875.578126,18263.493249,1195.106372,3821.265283,8616.515320,0.818064,0.000000,0.000000,1230.571152,10800.000000
2025-02-11,58069.843672,0.000000,-2254.930638,2718.353600,58533.266635,58704.265980,84841.286251,79629.067545,493.230599,0.000000,5212.218706,22324.877138,18456.189721,1033.013594,8616.515320,8202.027275,0.828492,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,57965.088121,478.765938,-1986.323548,2814.722628,59272.253137,58793.112003,85995.241281,81527.448713,513.657349,255.997186,4723.789755,24555.223405,18844.472895,1063.619419,8202.027275,9363.425123,0.826424,0.000000,0.000000,1200.000000,10800.000000
2025-02-13,50000.238524,0.000000,-1336.723915,480.032524,49143.547132,51785.312626,73216.491674,69831.815664,80.667884,0.000000,3384.676010,16085.214967,18792.099938,1289.889503,9363.425123,2960.007551,0.814791,0.000000,0.000000,1200.000000,10800.000000
2025-02-14,14566.908808,514.521481,0.000000,664.929777,15746.360066,16026.489208,36236.568216,36751.789225,132.429751,515.221009,0.000000,19695.909566,16564.795300,3951.302892,2960.007551,2280.998050,0.631100,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,17103.354195,226.748438,-72.667841,0.000000,17257.434792,15225.913323,41993.590172,41918.222639,0.000000,160.535454,235.902987,25577.113092,16285.648003,3346.666450,2280.998050,7205.235385,0.637847,0.000000,0.000000,1207.020974,10800.000000
2025-02-16,56955.055887,2859.507855,-2523.702432,1272.930662,58563.791972,58839.953900,83671.117178,79087.229108,239.411653,1541.138165,6125.026235,21758.337934,18226.707702,417.631429,7205.235385,6535.842078,0.830322,0.000000,0.000000,1200.000000,10800.000000
2025-02-17,57076.990131,876.788768,-3576.148228,1636.845287,56014.475959,55490.787808,85905.523888,77117.175282,257.793789,460.435282,9248.783888,23752.580991,18097.152138,535.677052,6535.842078,7805.218150,0.817353,0.000000,0.000000,1200.000000,10800.000000
2025-02-18,49365.388367,2739.733161,-11.813445,0.000000,52093.308084,51735.844757,76172.458294,78027.068154,0.000000,1889.451403,34.841542,23763.550754,18468.661150,640.790767,7805.218150,8671.679218,0.814522,0.000000,0.000000,1213.444728,10800.000000
2025-02-19,49847.354643,2436.575728,-29.472189,1812.883946,54067.342128,53795.668244,76680.739296,78837.864326,314.294143,2245.107124,87.982094,26104.242645,20551.773343,720.361784,8671.679218,9330.193884,0.816430,0.000000,0.000000,1200.000000,10800.000000
2025-02-20,49460.086792,445.821498,-613.547219,602.574425,49894.935496,51720.838017,73280.196757,72057.959073,115.611472,280.468525,1502.706210,18258.007001,18772.236525,1694.666335,9330.193884,4904.359602,0.816807,0.000000,0.000000,1200.000000,10800.000000
2025-02-21,13461.576430,720.700629,0.000000,0.000000,14182.277059,14674.996425,33057.465004,33579.071372,0.000000,521.606368,0.000000,18483.475701,16046.494624,5581.828262,4904.359602,3710.049261,0.620850,0.000000,0.000000,1376.048903,10800.000000
2025-02-22,14063.618900,1574.260380,-38.789764,100.487977,15699.577493,15595.026300,34064.783761,35048.929212,20.766269,1129.868680,145.723228,19928.675948,15914.146543,3210.403192,3710.049261,3963.472567,0.635284,0.000000,0.000000,1200.000000,10800.000000
