date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,15492.707244,0.000000,-0.000000,0.000000,15492.707244,15895.274180,37483.542416,37483.542416,0.000000,0.000000,0.000000,20966.189816,17860.823333,0.000000,5280.429166,4304.640741,0.651493,0.000000,0.000000,1200.000000,10800.000000
2025-02-02,59144.231060,0.000000,0.000000,0.000000,59144.231060,56959.601179,88728.074767,88728.074767,0.000000,0.000000,0.000000,29505.123601,19133.326783,0.000000,4304.640741,9600.000000,0.836388,0.000000,0.000000,1200.000000,10800.000000
2025-02-03,59238.565713,0.000000,0.000000,0.000000,59238.565713,59238.565713,84741.163574,84741.163574,0.000000,0.000000,0.000000,23811.826708,19287.579633,0.000000,9600.000000,9600.000000,0.844790,0.000000,0.000000,1200.000000,10800.000000
2025-02-04,60461.071608,0.000000,0.000000,0.000000,60461.071608,60522.954941,85825.514184,85825.514184,0.000000,0.000000,0.000000,25082.369650,20451.719417,0.000000,9600.000000,9450.000000,0.849190,0.000000,0.000000,1200.000000,10800.000000
2025-02-05,58161.013266,0.000000,0.000000,0.000000,58161.013266,59398.679932,82076.169510,82076.169510,0.000000,0.000000,0.000000,21198.644877,19870.902350,0.000000,9450.000000,6450.000000,0.848254,0.000000,0.000000,1200.000000,10800.000000
2025-02-06,58625.284087,0.000000,-0.000000,0.000000,58625.284087,58934.700753,84124.390550,84124.390550,0.000000,0.000000,0.000000,23833.333333,19980.000000,0.000000,6450.000000,5700.000000,0.843965,0.000000,0.000000,1200.000000,10800.000000
2025-02-07,15212.683975,0.000000,0.000000,0.000000,15212.683975,15522.100641,36828.732462,36828.732462,0.000000,0.000000,0.000000,20870.085412,17579.769183,1732.736567,5700.000000,4950.000000,0.644039,0.000000,0.000000,1200.000000,10800.000000
2025-02-08,15898.302261,0.000000,0.000000,0.000000,15898.302261,14660.635595,39952.711750,39952.711750,0.000000,0.000000,0.000000,24666.666667,17280.000000,988.882367,4950.000000,7950.000000,0.642351,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,55903.318074,0.000000,0.000000,0.000000,55903.318074,57759.818074,78957.082633,78957.082633,0.000000,0.000000,0.000000,18166.666667,18765.000000,0.000000,7950.000000,3450.000000,0.841384,0.000000,0.000000,1200.000000,10800.000000
2025-02-10,54576.075941,0.000000,-0.000000,0.000000,54576.075941,52410.159274,84585.830331,84585.830331,0.000000,0.000000,0.000000,29127.330250,18868.137502,0.000000,3450.000000,8700.000000,0.818064,0.000000,0.000000,1200.000000,10800.000000
2025-02-11,53456.750545,0.000000,0.000000,0.000000,53456.750545,53580.517212,79218.917808,79218.917808,0.000000,0.000000,0.000000,22464.845658,18466.524983,0.000000,8700.000000,8400.000000,0.828492,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,54055.108652,0.000000,-0.000000,0.000000,54055.108652,53621.925319,80905.255072,80905.255072,0.000000,0.000000,0.000000,24702.731255,19064.212317,0.000000,8400.000000,9450.000000,0.826424,0.000000,0.000000,1200.000000,10800.000000
2025-02-13,46438.089025,0.000000,0.000000,0.000000,46438.089025,49177.027366,68364.364852,68364.364852,0.000000,0.000000,0.000000,15841.824136,18806.938300,0.000000,9450.000000,2811.043611,0.814791,0.000000,0.000000,1200.000000,10800.000000
2025-02-14,14342.543771,0.000000,0.000000,0.000000,14342.543771,14554.910983,35247.484550,35247.484550,0.000000,0.000000,0.000000,19833.333333,16528.284250,2140.633650,2811.043611,2296.283333,0.631100,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,16799.081748,0.000000,0.000000,0.000000,16799.081748,14717.645764,41377.218289,41377.218289,0.000000,0.000000,0.000000,25617.305206,16209.313883,2689.135867,2296.283333,7341.509259,0.637847,0.000000,0.000000,1200.000000,10800.000000
2025-02-16,53114.655498,0.000000,0.000000,0.000000,53114.655498,53482.452596,78795.452137,78795.452137,0.000000,0.000000,0.000000,22212.796687,18794.723650,0.000000,7341.509259,6450.000000,0.830322,0.000000,0.000000,1200.000000,10800.000000
2025-02-17,50308.661052,0.000000,0.000000,0.000000,50308.661052,49689.827719,77216.998579,77216.998579,0.000000,0.000000,0.000000,24648.081117,18614.945704,0.000000,6450.000000,7950.000000,0.817353,0.000000,0.000000,1200.000000,10800.000000
2025-02-18,50162.370344,0.000000,0.000000,0.000000,50162.370344,49852.953677,77460.649753,77460.649753,0.000000,0.000000,0.000000,24706.641948,19337.379978,0.000000,7950.000000,8700.000000,0.814522,0.000000,0.000000,1200.000000,10800.000000
2025-02-19,51196.006445,0.000000,0.000000,0.000000,51196.006445,50824.706445,78672.463678,78672.463678,0.000000,0.000000,0.000000,26227.033128,20433.896833,0.000000,8700.000000,9600.000000,0.816430,0.000000,0.000000,1200.000000,10800.000000
2025-02-20,47374.841216,0.000000,0.000000,0.000000,47374.841216,49293.224549,70275.792286,70275.792286,0.000000,0.000000,0.000000,18250.834486,18968.175933,0.000000,9600.000000,4950.000000,0.816807,0.000000,0.000000,1200.000000,10800.000000
2025-02-21,13529.868153,0.000000,0.000000,0.000000,13529.868153,14086.818153,33044.836581,33044.836581,0.000000,0.000000,0.000000,18180.274815,15941.022600,5245.322333,4950.000000,3600.000000,0.620850,0.000000,0.000000,1200.000000,10800.000000
2025-02-22,14334.419836,0.000000,0.000000,0.000000,14334.419836,14354.418848,34692.673033,34692.673033,0.000000,0.000000,0.000000,19833.333333,16108.628333,3123.205150,3600.000000,3551.524074,0.635284,0.000000,0.000000,1200.000000,10800.000000
2025-02-23,52591.501860,0.000000,-0.000000,0.000000,52591.501860,49848.636180,83267.991914,83267.991914,0.000000,0.000000,0.000000,30276.367881,18540.229650,0.000000,3551.524074,10200.000000,0.815378,0.000000,0.000000,1200.000000,10800.000000
2025-02-24,45913.609802,0.000000,0.000000,0.000000,45913.609802,46841.859802,70336.729718,70336.729718,0.000000,0.000000,0.000000,21887.874218,19754.178117,0.000000,10200.000000,7950.000000,0.808249,0.000000,0.000000,1200.000000,10800.000000
2025-02-25,45673.864281,0.000000,0.000000,0.000000,45673.864281,44745.614281,72621.927852,72621.927852,0.000000,0.000000,0.000000,25134.761152,18334.156533,0.000000,7950.000000,10200.000000,0.794097,0.000000,0.000000,1200.000000,10800.000000
2025-02-26,45759.447889,0.000000,0.000000,0.000000,45759.447889,46997.114555,70029.657777,70029.657777,0.000000,0.000000,0.000000,20604.261811,19389.452067,0.000000,10200.000000,7200.000000,0.805538,0.000000,0.000000,1200.000000,10800.000000
2025-02-27,45340.942928,0.000000,0.000000,0.000000,45340.942928,45340.942928,71454.024722,71454.024722,0.000000,0.000000,0.000000,23670.739588,19173.299067,0.000000,7200.000000,7200.000000,0.797912,0.000000,0.000000,1200.000000,10800.000000
2025-02-28,12388.221365,0.000000,0.000000,0.000000,12388.221365,13316.471365,31064.117233,31064.117233,0.000000,0.000000,0.000000,17333.333333,16065.000000,6503.190350,7200.000000,4950.000000,0.616678,0.000000,0.000000,1200.000000,10800.000000
2025-03-01,12212.454927,0.000000,0.000000,0.000000,12212.454927,13077.723737,30036.003600,30036.003600,0.000000,0.000000,0.000000,17353.633745,15944.048333,4967.652255,4950.000000,2852.661111,0.614222,0.000000,0.000000,1200.000000,10800.000000
2025-03-02,50939.799782,0.000000,-0.000000,0.000000,50939.799782,50136.414305,79289.520721,79289.520721,0.000000,0.000000,0.000000,27255.835021,20324.621367,0.000000,2852.661111,4800.000000,0.812293,0.000000,0.000000,1200.000000,10800.000000
2025-03-03,50489.315727,0.000000,0.000000,0.000000,50489.315727,49808.599061,78413.007642,78413.007642,0.000000,0.000000,0.000000,25846.636886,19450.775878,0.000000,4800.000000,6450.000000,0.811850,0.000000,0.000000,1200.000000,10800.000000
2025-03-04,47411.383092,0.000000,-0.000000,0.000000,47411.383092,47101.966426,74580.009970,74580.009970,0.000000,0.000000,0.000000,24766.063349,19385.511312,0.000000,6450.000000,7200.000000,0.800628,0.000000,0.000000,1200.000000,10800.000000
2025-03-05,44568.341978,0.000000,0.000000,0.000000,44568.341978,44073.275311,71736.369257,71736.369257,0.000000,0.000000,0.000000,23820.511790,18214.614550,0.000000,7200.000000,8400.000000,0.794501,0.000000,0.000000,1200.000000,10800.000000
2025-03-06,43104.018526,0.000000,0.000000,0.000000,43104.018526,43908.501859,68137.479138,68137.479138,0.000000,0.000000,0.000000,20799.078971,18602.253967,0.000000,8400.000000,6450.000000,0.791857,0.000000,0.000000,1200.000000,10800.000000
