date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,18920.352519,0.000000,-570.414596,0.000000,18349.937924,17790.541799,44600.338832,42609.710894,0.000000,0.000000,1990.627938,21522.740977,16213.083912,2921.877896,5280.429166,6636.358365,0.651493,0.000000,0.000000,1658.386498,10800.000000
2025-02-02,62857.752142,0.000000,-1852.424239,678.609110,61683.937013,61046.612512,90968.856039,86433.799234,109.707891,0.000000,4535.056805,24347.304138,18330.977419,2170.902456,6636.358365,8181.179402,0.836388,0.000000,0.000000,1200.000000,10800.000000
2025-02-03,65275.456587,553.197319,-2210.050633,0.690480,63619.293753,63236.862403,91950.447494,87143.624766,0.147161,292.431359,5099.254087,24699.595675,19172.389186,1399.648939,8181.179402,9108.160858,0.844790,0.000000,0.000000,1200.000000,10800.000000
2025-02-04,66700.214856,0.000000,-2741.751211,88.186886,64046.650532,64787.059050,92073.031880,86041.537700,16.487952,0.000000,6031.494180,22406.346867,19764.360191,2221.175026,9108.160858,7313.472826,0.849190,0.000000,0.000000,1200.000000,10800.000000
2025-02-05,64109.078290,148.279941,-1104.696733,297.577484,63450.238982,62486.222580,91655.959559,89356.721393,45.428209,105.901033,2405.139199,26936.236748,19715.326488,1432.812359,7313.472826,9650.167578,0.848254,0.000000,0.000000,1200.000000,10800.000000
2025-02-06,65396.969214,663.331161,-3780.939439,360.302581,62639.663518,64669.070194,88770.777034,80775.605197,55.105406,378.386903,8373.558740,17892.530154,18920.149553,1587.272786,9650.167578,4731.056324,0.843965,0.000000,0.000000,1515.025273,10800.000000
2025-02-07,18422.917994,0.000000,-744.705401,2126.358095,19804.570688,19965.177461,43935.969770,41047.891050,506.469570,0.000000,2888.078720,19400.709807,16064.942534,6412.913680,4731.056324,4341.759002,0.644039,0.000000,0.000000,1200.000000,10800.000000
2025-02-08,15264.631973,588.815253,0.000000,242.146796,16095.594023,16241.044962,36893.080288,37352.325435,48.790408,459.245147,0.000000,19875.412640,16416.389008,2364.929496,4341.759002,3989.198147,0.642351,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,63903.754645,707.226388,-996.154963,0.000000,63614.826070,61746.731830,93142.549954,91489.140138,0.000000,503.902530,2157.312346,27889.332673,18515.066347,2559.457845,3989.198147,8517.301611,0.841384,0.000000,0.000000,1259.059868,10800.000000
2025-02-10,57478.807874,0.000000,-1736.785808,24.070527,55766.092592,55322.393515,85357.341727,81155.974300,5.393653,0.000000,4201.367427,23708.660532,18236.074677,1362.144516,8517.301611,9592.790892,0.818064,0.000000,0.000000,1200.000000,10800.000000
2025-02-11,58217.730762,36.559767,-2469.589802,4848.023823,60632.724550,61061.448358,84434.649524,78797.261160,857.077865,19.200550,5656.588914,22304.024675,19001.531424,1131.248641,9592.790892,8553.600407,0.828492,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,58213.357250,590.671173,-2264.508969,4002.936638,60542.456092,60587.339082,85230.377522,80146.429376,723.524273,328.396949,5412.345095,23731.156493,19320.150095,1192.211117,8553.600407,8444.807811,0.826424,0.000000,0.000000,1200.000000,10800.000000
2025-02-13,51565.484839,14.289824,-1475.023270,1393.121868,51497.873261,52929.129287,76333.918818,72748.297191,232.235643,12.186964,3597.808590,19205.599342,18678.855373,1124.309848,8444.807811,4975.563472,0.814791,0.000000,0.000000,1200.000000,10800.000000
