month,baseline,main,saving,saving_percent
2,1265559.461753,1255934.705220,9624.756533,0.760514
3,1100780.653918,1099522.976065,1257.677853,0.114253
4,896921.869800,892595.178251,4326.691549,0.482393
5,943308.235460,950525.771416,-7217.535957,-0.765130
6,1367753.874078,1345820.542629,21933.331449,1.603602
7,1705856.170155,1701821.077793,4035.092362,0.236544
8,1404448.429201,1380733.270953,23715.158248,1.688575
9,1144578.714591,1127137.561477,17441.153114,1.523805
10,1123374.212171,1114113.117494,9261.094677,0.824400
11,1307910.401004,1296389.345340,11521.055664,0.880875
12,1884924.118620,1863605.692574,21318.426045,1.130997
