param,base,perturbed,rel,fitness,d_fitness,elasticity,note
temper,0.473208,0.378566,-0.200000,458563.960837,-5.325011,0.000058,
temper,0.473208,0.567849,0.200000,458811.221829,241.935981,0.002638,
shrink_net,0.550000,0.440000,-0.200000,458359.712670,-209.573178,0.002285,
shrink_net,0.550000,0.660000,0.200000,459812.892178,1243.606330,0.013560,
shrink_price,0.762065,0.609652,-0.200000,458694.228062,124.942215,-0.001362,
shrink_price,0.762065,0.914478,0.200000,458953.311377,384.025529,0.004187,
kappa,1.058382,0.846705,-0.200000,460253.115081,1683.829233,-0.018360,
kappa,1.058382,1.270058,0.200000,459054.059836,484.773988,0.005286,
threshold,237.089679,189.671743,-0.200000,458825.430081,256.144233,-0.002793,
threshold,237.089679,284.507615,0.200000,458569.285847,0.000000,0.000000,
adj_premium,1.234241,0.987393,-0.200000,460289.995183,1720.709335,-0.018762,
adj_premium,1.234241,1.481089,0.200000,460883.516871,2314.231024,0.025233,
