date,interval,purchase_kwh
2025-03-20,10:00-10:10,-0.000000
2025-03-20,12:00-12:10,587.150305
2025-03-20,14:00-14:10,-0.000000
2025-03-20,16:00-16:10,644.918547
2025-03-20,18:00-18:10,699.678602
2025-03-20,20:00-20:10,-0.000000
2025-03-20,全天购电量,65114.113318
2025-03-20,全天购电费(元),45488.084523
2025-06-21,10:00-10:10,-0.000000
2025-06-21,12:00-12:10,-0.000000
2025-06-21,14:00-14:10,-0.000000
2025-06-21,16:00-16:10,217.202227
2025-06-21,18:00-18:10,476.435274
2025-06-21,20:00-20:10,-0.000000
2025-06-21,全天购电量,35024.704379
2025-06-21,全天购电费(元),17885.000699
2025-09-23,10:00-10:10,-0.000000
2025-09-23,12:00-12:10,380.187608
2025-09-23,14:00-14:10,-0.000000
2025-09-23,16:00-16:10,565.789271
2025-09-23,18:00-18:10,20.022717
2025-09-23,20:00-20:10,-0.000000
2025-09-23,全天购电量,67522.056374
2025-09-23,全天购电费(元),48365.344236
2025-12-21,10:00-10:10,-0.000000
2025-12-21,12:00-12:10,978.330428
2025-12-21,14:00-14:10,-0.000000
2025-12-21,16:00-16:10,866.539274
2025-12-21,18:00-18:10,729.391571
2025-12-21,20:00-20:10,-0.000000
2025-12-21,全天购电量,98297.618794
2025-12-21,全天购电费(元),73561.223891
