date,block,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,1016.010328,244.605860
2025-03-20,04:00-08:00,246.250525,5973.565377
2025-03-20,08:00-12:00,3085.410347,2570.746016
2025-03-20,12:00-16:00,6884.015603,254.722783
2025-03-20,16:00-20:00,541.617204,6438.107984
2025-03-20,20:00-24:00,6720.611998,1893.705592
2025-03-20,0:00 储电量,9829.428846,
2025-03-20,24:00 储电量,7167.893684,
2025-06-21,00:00-04:00,398.237499,278.151552
2025-06-21,04:00-08:00,1728.896723,1728.292723
2025-06-21,08:00-12:00,10176.166601,0.000000
2025-06-21,12:00-16:00,0.000000,0.000000
2025-06-21,16:00-20:00,10.356297,5557.122944
2025-06-21,20:00-24:00,1558.595856,3425.462312
2025-06-21,0:00 储电量,1956.411786,
2025-06-21,24:00 储电量,2231.406653,
2025-09-23,00:00-04:00,3602.495936,27.986844
2025-09-23,04:00-08:00,1002.270822,6381.937429
2025-09-23,08:00-12:00,4935.410893,1896.615716
2025-09-23,12:00-16:00,5882.254733,460.466279
2025-09-23,16:00-20:00,56.198571,6887.536082
2025-09-23,20:00-24:00,7396.016081,1741.143400
2025-09-23,0:00 储电量,6597.771863,
2025-09-23,24:00 储电量,7856.414472,
2025-12-21,00:00-04:00,2060.048036,73.973211
2025-12-21,04:00-08:00,816.436556,1716.395519
2025-12-21,08:00-12:00,4996.146515,7174.023512
2025-12-21,12:00-16:00,7961.294611,2233.169820
2025-12-21,16:00-20:00,18.562384,5788.353632
2025-12-21,20:00-24:00,9254.618197,2873.478433
2025-12-21,0:00 储电量,8991.202476,
2025-12-21,24:00 储电量,9521.604674,
