problem,n_scen,train_fitness,worst_block,seconds
Q4-3,6,460973.784864,505039.343261,7.280665
Q4-2,6,495177.162591,571432.297039,1.492246
Q4-3,8,458524.138962,502048.556519,9.723392
Q4-2,8,486676.058857,555907.889313,2.217633
Q4-3,10,460428.028730,503019.396190,12.415167
Q4-2,10,486721.685891,555008.291768,2.703476
Q4-3,12,457915.444137,503118.481600,15.691497
Q4-2,12,483020.353838,556125.489117,3.566615
Q4-3,16,458171.859631,503210.631270,21.333723
Q4-2,16,483047.881556,555416.846916,5.049488
Q4-3,20,458066.870414,503210.631270,26.768770
Q4-2,20,482326.315352,555416.846916,6.712846
