problem,algorithm,generation,evaluations,best,mean,std
Q4-3,GA,0,16,461823.9426308468,467528.1332757081,3773.3025374169
Q4-3,GA,1,32,460768.5492261184,463470.91409937653,2218.466626222963
Q4-3,GA,2,48,460032.18053284474,462631.4726211126,1508.5993092162275
Q4-3,GA,3,64,458981.0609336805,461379.4876191139,1338.8217409578472
Q4-3,GA,4,80,458981.0609336805,460974.4845935303,1081.2377846445459
Q4-3,GA,5,96,458981.0609336805,460554.2302914781,1203.8848051480447
Q4-3,GA,6,112,458816.03123355954,460075.2221416746,954.9017101100658
Q4-3,GA,7,128,458816.03123355954,459954.5099637311,972.0809521623931
Q4-3,GA,8,144,458694.9668629118,459442.32296436897,640.9528497236678
Q4-3,NM,0,7,458694.9668629118,458934.2572829743,216.9003502826667
Q4-3,NM,1,8,458694.9668629118,458875.00697657367,161.1056512252701
Q4-3,NM,2,10,458694.9668629118,458836.96489997435,133.09994368903122
Q4-3,NM,3,11,458694.9668629118,458830.27626750927,123.69185135756551
Q4-3,NM,4,12,458694.9668629118,458794.5222379566,102.3755977873364
Q4-3,NM,5,13,458694.9668629118,458777.36913468875,74.24465771321174
Q4-3,NM,6,15,458694.9668629118,458760.661181672,62.585091822283246
Q4-3,NM,7,17,458694.9668629118,458752.7811409409,50.54354174988225
Q4-3,NM,8,18,458694.9668629118,458746.5413926236,42.54964439568062
Q4-3,NM,9,19,458694.9668629118,458738.6238635696,33.06670460292919
Q4-3,NM,10,27,458694.9668629118,458754.1237675771,57.79965153162972
Q4-3,NM,11,29,458694.9668629118,458745.09473303764,49.028006699496245
Q4-3,NM,12,30,458694.9668629118,458736.33877625794,38.87370586108526
Q4-3,NM,13,31,458694.9668629118,458729.7261175316,30.889406236725833
Q4-3,NM,14,33,458694.9668629118,458725.13641192514,26.679322798275134
Q4-3,NM,15,34,458694.9668629118,458720.6199689261,22.579980886848126
Q4-3,NM,16,36,458694.9668629118,458714.10398399277,18.857209833663514
Q4-3,NM,17,38,458649.1097967173,458701.32634369656,26.653223502945185
Q4-3,NM,18,40,458649.1097967173,458700.4158855237,25.475586695963905
Q4-3,NM,19,41,458649.1097967173,458695.2466233048,22.11396439347998
Q4-3,NM,20,42,458649.1097967173,458689.6068178044,17.15648986406416
Q4-3,NM,21,44,458576.791606738,458671.0923097335,41.58708144621887
Q4-3,NM,22,45,458576.791606738,458661.4980771833,42.32429572173007
Q4-3,NM,23,47,458576.791606738,458655.6564021235,40.0274397782726
Q4-3,NM,24,49,458576.791606738,458652.50912156387,37.605665619314884
Q4-3,NM,25,51,458576.791606738,458649.6599518492,34.94215324565241
Q4-3,NM,26,52,458576.791606738,458641.90828256105,30.933793821366418
Q4-3,NM,27,53,458576.791606738,458635.3942617848,27.929889379158475
Q4-3,NM,28,61,458569.28584747174,458631.466611277,40.48679423210529
Q4-3,NM,29,63,458569.28584747174,458628.8991243696,37.69068695347311
Q4-2,GA,0,16,496246.9465230608,499553.4359795939,1669.5567576656038
Q4-2,GA,1,32,496246.9465230608,498278.2753176871,1457.3514420709757
Q4-2,GA,2,48,496246.9465230608,497377.64551230497,822.7231800178489
Q4-2,GA,3,64,496177.3148628341,497154.69078155124,642.6527014827485
Q4-2,GA,4,80,495807.52792832797,496719.0507909382,498.97770928325826
Q4-2,GA,5,96,495807.52792832797,496401.72564742446,296.2975220876578
Q4-2,GA,6,112,495785.35235785646,496303.55751372053,480.0199970961999
Q4-2,GA,7,128,495785.35235785646,496216.062220567,324.44940615118134
Q4-2,GA,8,144,495785.35235785646,496095.1795306038,371.26277874864064
Q4-2,NM,0,3,495785.35235785646,496132.0018192178,251.24700443317582
Q4-2,NM,1,5,495785.35235785646,496099.8385976941,222.93338610744692
Q4-2,NM,2,7,495785.35235785646,496065.6359896939,199.90499782880337
Q4-2,NM,3,11,495785.35235785646,495932.4043161142,113.23592808763034
Q4-2,NM,4,13,495785.35235785646,495922.32780140097,102.16177593650586
Q4-2,NM,5,15,495785.35235785646,495881.97963528475,70.39005394895746
Q4-2,NM,6,16,495785.35235785646,495834.2866365111,54.025045759194
Q4-2,NM,7,18,495772.7035662869,495788.6649937712,14.57429522534163
Q4-2,NM,8,22,495772.7035662869,495800.0172235461,30.342793106378654
Q4-2,NM,9,24,495772.7035662869,495781.74665531935,6.4761400380137
Q4-2,NM,10,26,495772.7035662869,495778.9568152212,5.026933084448694
Q4-2,NM,11,28,495768.3667478501,495773.40832515544,4.432251730599258
Q4-2,NM,12,29,495768.3667478501,495770.32755219936,1.7946769223723178
Q4-2,NM,13,31,495767.84066597716,495768.70658542943,0.8792337757654989
Q4-2,NM,14,35,495760.90754519805,495769.02599778096,7.16181279983553
Q4-2,NM,15,39,495757.54623623035,495767.16809165647,11.314080216274771
Q4-2,NM,16,41,495757.54623623035,495758.7105941186,1.554410074148394
Q4-2,NM,17,43,495755.40064116585,495756.8749594412,1.0438873715280583
Q4-2,NM,18,45,495754.94919897337,495755.96535878984,1.1329401645546266
