problem,algorithm,generation,evaluations,best,mean,std
Q4-2-structural,GA,0,12,496210.7809765047,499156.67077767017,2222.7823147130866
Q4-2-structural,GA,1,24,495778.9989821966,499229.1722142373,2468.381249021396
Q4-2-structural,GA,2,36,495692.2175422597,496879.39741485805,1065.445212114746
Q4-2-structural,GA,3,48,495664.39641832496,496327.74258093437,1251.7545986633206
Q4-2-structural,GA,4,60,495516.9144436645,496174.66056354594,1082.9943782463185
Q4-2-structural,GA,5,72,495480.95518715674,495885.8394488008,502.39659638470266
Q4-2-structural,GA,6,84,495480.2453911337,495911.99868545966,611.1316508826495
Q4-2-structural,GA,7,96,495480.2453911337,495710.15433683945,316.7418865052192
Q4-2-structural,GA,8,108,495480.2453911337,495719.9918077704,257.08859502094674
Q4-2-structural,NM,0,3,495480.2453911337,495779.84834607993,230.8175534959971
Q4-2-structural,NM,1,5,495480.2453911337,495697.3350517198,153.7949000013057
Q4-2-structural,NM,2,9,495480.2453911337,495565.8299257157,64.78548092423718
Q4-2-structural,NM,3,11,495456.6953121668,495505.746567025,53.58606941381513
Q4-2-structural,NM,4,13,495456.6953121668,495475.499537814,13.829435496093895
Q4-2-structural,NM,5,14,495456.6953121668,495466.87757838034,9.874625221728897
Q4-2-structural,NM,6,16,495456.6953121668,495462.14441608026,3.971123174886721
Q4-2-structural,NM,7,20,495426.2229668035,495465.087238043,35.6557810400165
Q4-2-structural,NM,8,22,495426.2229668035,495464.2809017932,34.589395894520834
Q4-2-structural,NM,9,23,495426.2229668035,495445.9826650153,13.98875280717106
Q4-2-structural,NM,10,25,495424.08164271485,495435.11144186463,14.111450501142011
Q4-2-structural,NM,11,27,495413.0471626736,495421.11725739733,5.772991070525296
Q4-2-structural,NM,12,31,495413.0471626736,495427.25962289766,10.172113655340661
Q4-2-structural,NM,13,32,495413.0471626736,495425.30398410023,8.70577341537326
Q4-2-structural,NM,14,34,495413.0471626736,495424.3101642232,7.973943804494261
Q4-2-structural,NM,15,36,495413.0471626736,495423.30589292507,7.3018925858085115
Q4-2-structural,NM,16,37,495413.0471626736,495419.8375900619,5.890971447766502
Q4-2-structural,NM,17,39,495413.0471626736,495418.5994081825,4.360115122429137
Q4-2-structural,NM,18,41,495412.9556410215,495415.0185163272,2.8528753360438373
