problem,algorithm,generation,evaluations,best,mean,std
Q4-2-wide,GA,0,16,479452.20646521664,496046.32486563444,13215.65956842137
Q4-2-wide,GA,1,32,479452.20646521664,486829.66532057093,6017.285130888581
Q4-2-wide,GA,2,48,479452.20646521664,484666.94012831256,4640.176733679286
Q4-2-wide,GA,3,64,477937.5548464029,483658.06020079704,6103.051598331133
Q4-2-wide,GA,4,80,477937.5548464029,482043.45126014797,4302.248151682709
Q4-2-wide,GA,5,96,477720.69533210696,479944.1119479438,1733.4165174387022
Q4-2-wide,GA,6,112,477472.7055027648,480032.48852367327,4358.082783838285
Q4-2-wide,GA,7,128,477255.3248426554,478883.0844523285,1451.6096313623555
Q4-2-wide,GA,8,144,477255.3248426554,479446.69315015886,2957.9828819692098
Q4-2-wide,GA,9,160,476647.4766183453,478576.7582687913,1709.945080266707
Q4-2-wide,NM,0,5,476647.4766183453,477546.0206877783,779.4682865511198
Q4-2-wide,NM,1,6,476647.4766183453,477225.85534624197,516.4495189810788
Q4-2-wide,NM,2,8,476647.4766183453,476993.61383821664,322.64796485755977
Q4-2-wide,NM,3,9,476647.4766183453,476834.7515169868,159.38883752337244
Q4-2-wide,NM,4,11,476519.96244326903,476715.1782354758,122.0610858370321
Q4-2-wide,NM,5,13,476519.96244326903,476660.97949906735,94.15604043759063
Q4-2-wide,NM,6,15,476501.9705489844,476608.4304284613,94.91299232094309
Q4-2-wide,NM,7,16,476501.9705489844,476566.31456830696,54.383092216055026
Q4-2-wide,NM,8,17,476501.9705489844,476547.43826743664,36.3139244039658
Q4-2-wide,NM,9,19,476501.9705489844,476532.05096886476,19.862640214934178
Q4-2-wide,NM,10,21,476260.6771334049,476473.40242285805,107.6474548332047
Q4-2-wide,NM,11,23,476260.6771334049,476464.51221106603,102.4067780469707
Q4-2-wide,NM,12,24,476260.6771334049,476417.1011008165,114.65070158049888
Q4-2-wide,NM,13,26,476260.6771334049,476389.918607365,102.50990019802028
Q4-2-wide,NM,14,27,476260.6771334049,476370.0394628501,85.84101887554738
Q4-2-wide,NM,15,29,476260.6771334049,476354.9261772002,65.5324480882922
Q4-2-wide,NM,16,30,476260.6771334049,476345.10771551495,57.240751323014095
Q4-2-wide,NM,17,31,476260.6771334049,476315.66481835546,54.4708106032017
Q4-2-wide,NM,18,33,476221.2729357595,476283.10941030516,52.47736804493117
Q4-2-wide,NM,19,35,476221.2729357595,476264.4943123103,25.155273026648747
Q4-2-wide,NM,20,36,476221.2729357595,476255.9153439314,20.41111561397545
Q4-2-wide,NM,21,38,476221.2729357595,476246.2345790101,15.593107769646645
Q4-2-wide,NM,22,40,476204.7149113726,476234.7707919525,20.16382366265795
Q4-2-wide,NM,23,41,476204.7149113726,476227.3916426926,15.558073119378488
Q4-2-wide,NM,24,43,476204.7149113726,476219.6166264741,10.545289338500414
Q4-2-wide,NM,25,45,476153.3499828325,476203.1201234947,25.782382211073593
Q4-2-wide,NM,26,47,476153.3499828325,476197.1371095503,23.6787626224499
Q4-2-wide,NM,27,48,476153.3499828325,476192.0774273174,20.465730244176523
Q4-2-wide,NM,28,50,476153.3499828325,476188.2817373285,17.932675529330787
Q4-2-wide,NM,29,51,476153.3499828325,476183.70371025486,15.967189728596841
