date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,19577.8044690188,0.0000000000,-627.5759331092,0.0000000000,18950.2285359096,17855.0497665518,46342.8282441956,44060.7069202167,0.0000000000,0.0000000000,2282.1213239790,22818.6979904512,16093.9861932194,2957.8191896516,5280.4291660000,7935.0504760512,0.6514930556,0.0000000000,0.0000000000,1806.5707732711,10800.0000000000
2025-02-02,63134.0988264848,0.0000000000,-1699.8036886333,0.0000000000,61434.2951378515,60705.5240903178,91339.1333491648,87016.4173984226,0.0000000000,0.0000000000,4322.7159507422,24377.8020858680,18156.1878864229,2438.5252489774,7935.0504760512,9701.5302573070,0.8363881944,0.0000000000,0.0000000000,1275.0492836438,10800.0000000000
2025-02-03,64667.2864851499,467.7285460978,-1791.7021004307,0.0000000000,63343.3129308171,62890.1331358594,91401.9304187216,87448.5008201470,0.0000000000,250.0539812798,4203.4835798543,24716.8508372622,19032.0264097587,1546.7598926435,9701.5302573070,10800.0000000000,0.8447902778,0.0000000000,0.0000000000,1465.6959724415,10800.0000000000
2025-02-04,67242.3738652289,0.0000000000,-2805.0011552645,0.0000000000,64437.3727099643,65029.6374828722,92501.4408986134,86352.5409293633,0.0000000000,0.0000000000,6148.8999692501,21824.3126147676,18969.7332558161,2303.0976204118,10800.0000000000,9364.3999579396,0.8491895833,0.0000000000,0.0000000000,1261.8198657002,10800.0000000000
2025-02-05,62682.2421282666,572.2779904089,-749.3712080699,0.0000000000,62505.1489106056,61936.5268994659,89273.9952413284,88187.6894476673,0.0000000000,550.9776390685,1637.2834327296,25513.4691400158,19425.4472266199,1351.2405509380,9364.3999579396,10742.6919321540,0.8482541667,0.0000000000,0.0000000000,1280.7716476955,10800.0000000000
2025-02-06,65552.8562809689,356.1432935698,-3552.1521446789,203.0961635622,62559.9435934220,64122.2593861727,89638.7028374464,82018.9260477390,29.4494749560,152.8470957190,7772.6238854264,19758.5979849166,19412.6943492747,1431.4146703865,10742.6919321540,6955.7697304960,0.8439645833,0.0000000000,0.0000000000,1552.7722933803,10800.0000000000
2025-02-07,18256.0411893008,0.0000000000,-840.7032103467,571.7165009630,17987.0544799171,18159.1653015005,43327.7293478391,39813.6222079104,134.9661239290,0.0000000000,3514.1071399286,19169.9129758764,15903.0934627426,4876.0891520389,6955.7697304960,6538.5875612930,0.6440388889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,15181.5310486444,689.3165688926,-5.3660830958,0.0000000000,15865.4815344412,15938.8503548379,37174.0996903199,37755.6378799089,0.0000000000,581.5381895890,0.0000000000,20624.7964069705,16866.1409596201,2419.8197158918,6538.5875612930,6360.7477057664,0.6423513889,0.0000000000,0.0000000000,1203.8852033247,10800.0000000000
2025-02-09,62956.0476891747,944.2216438164,-887.6883169552,0.0000000000,63012.5810160360,61666.0195952701,91100.0432099836,89745.6923663082,0.0000000000,678.6054282279,2032.9562719032,25817.3963823037,17974.5345094173,2347.4145267552,6360.7477057664,9624.6994393760,0.8413840278,0.0000000000,0.0000000000,1434.5843199211,10800.0000000000
2025-02-10,57304.8050154360,1502.7530911249,-2239.3785069558,0.0000000000,56568.1795996051,56117.2371712309,85130.4728716871,80804.6130729351,0.0000000000,6.8206726910,4332.6804714430,24035.7059685419,18485.1799358303,927.4494568902,9624.6994393760,10717.7459934745,0.8180638889,0.0000000000,0.0000000000,1331.0550499041,10800.0000000000
2025-02-11,58774.9394561096,43.3271612548,-2398.6991044235,3543.9058604678,59963.4733734087,59959.9481205617,85598.8863804541,80092.9816332667,619.7100871410,0.0000000000,5505.9047471874,23310.7850541078,18874.0454688177,1055.3550017844,10717.7459934745,10726.2909101518,0.8284923611,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,57933.9720554935,423.9587542766,-2230.9889601003,2813.3264391922,58940.2682888621,59341.9234725100,84473.5381650432,79288.9856393224,514.2080063854,176.6547688898,5361.2072946106,22772.1004924624,19321.6219718943,1085.9789918064,10726.2909101518,9752.7124957076,0.8264243056,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,51304.1757345113,48.9553471873,-1007.2668805951,0.0000000000,50345.8642011035,51376.2381640250,76242.4651215661,73784.3503161164,0.0000000000,19.1504193441,2477.2652247937,19931.3686068448,18392.1944858088,915.6971784137,9752.7124957076,7255.1725909693,0.8147909722,0.0000000000,0.0000000000,1212.4371387738,10800.0000000000
2025-02-14,14598.8875948698,517.3055040109,0.0000000000,485.1077630704,15601.3008619511,16187.1118119197,35652.4960401106,36168.9968053653,117.9736777895,516.5007652547,0.0000000000,18215.4937592347,16032.5108107883,4302.1857180417,7255.1725909693,5835.2160734047,0.6311000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-15,16304.9685889591,546.7915991745,-176.7817408069,0.0000000000,16674.9784473266,15834.7610009706,38561.1778006654,38463.9924509344,0.0000000000,322.3747748624,419.5601245934,21363.3676375367,15471.3729478687,3291.9066612665,5835.2160734047,7871.8325606669,0.6378472222,0.0000000000,0.0000000000,1341.4614931779,10800.0000000000
2025-02-16,58633.7594871647,2823.2468061008,-2621.8871652268,1255.2216431111,60090.3407711498,59429.1353708371,85949.3819915442,81362.1293500888,237.1113938179,1522.5738008583,6109.8264423137,23190.8998381949,17342.1931720532,373.1549777649,7871.8325606669,9474.5388905388,0.8303222222,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,57479.0222428604,1114.2597615834,-3585.6269067892,1450.0168144170,56457.6719120717,55979.6201439410,85345.7283556818,76715.6838740704,225.0830537584,584.7502321715,9214.7947137828,22234.2941252077,16966.8966572927,489.5062932471,9474.5388905388,10633.2962062338,0.8173527778,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,49553.1287609142,2263.4710727248,-28.4909878619,54.1987233333,51842.3075691105,52033.1226725855,74758.7725849812,76201.5749353543,10.7933333333,1522.2086710583,79.4063206853,20688.0951425035,17173.6248645520,606.5102074028,10633.2962062338,10170.7764294292,0.8145215278,0.0000000000,0.0000000000,1210.9126328402,10800.0000000000
