date,issue,estimated_gain,accepted,up_kwh,down_kwh
2025-02-01,6,1482.6952995103,True,0.0000000000,99.6971367666
2025-02-01,12,8309.8341679951,True,0.0000000000,2179.5019602009
2025-02-01,18,8728.1628606308,True,0.0000000000,2.9222270114
2025-02-02,6,1162.1180430182,True,0.0000000000,1564.1787736047
2025-02-02,12,7860.1865160875,True,0.0000000000,2497.5621391529
2025-02-02,18,9775.1556494911,True,0.0000000000,260.9750379846
2025-02-03,6,1576.9070536517,True,0.0000000000,2455.8709691084
2025-02-03,12,7286.4439460941,True,0.0000000000,1749.2062391626
2025-02-03,18,10484.7767767702,True,251.6476096965,0.0000000000
2025-02-04,6,2308.5546057305,True,0.0000000000,3767.5450855381
2025-02-04,12,7354.5231655332,True,0.0000000000,2146.2640742926
2025-02-04,18,10074.2219712111,True,0.0000000000,235.0908094194
2025-02-05,6,3531.7103048562,True,550.9776390685,200.8141921680
2025-02-05,12,7178.3811516597,True,0.0000000000,1432.3686038528
2025-02-05,18,9633.3011822334,True,0.0000000000,4.1006367087
2025-02-06,6,2041.8231918534,True,0.0000000000,3783.7582456681
2025-02-06,12,5328.1875477095,True,0.0000000000,4022.4411750700
2025-02-06,18,1305.2428916183,True,186.4226310307,0.0000000000
2025-02-07,6,697.9446799522,True,0.0000000000,1597.6021561001
2025-02-07,12,345.7612721102,True,0.0000000000,1585.2450732330
2025-02-07,18,3774.9602849542,True,0.0000000000,331.2599105955
2025-02-08,6,3091.4843223724,True,423.9565639727,0.0000000000
2025-02-08,12,6684.6593516511,True,0.0000000000,17.2577254895
2025-02-08,18,10015.6222374852,True,174.8393511057,0.0000000000
2025-02-09,6,4163.2730307340,True,628.9759898992,1182.5715005038
2025-02-09,12,6380.2238346663,True,49.6294383287,849.0288976929
2025-02-09,18,8581.8696160378,True,0.0000000000,1.3558737065
2025-02-10,6,2839.1617113438,True,0.0000000000,5536.6374847134
2025-02-10,12,11685.9255240645,True,1339.3479570608,0.0000000000
2025-02-10,18,8098.4477764990,True,0.0000000000,128.5702710993
2025-02-11,6,2636.9749517140,True,0.0000000000,4542.1412318563
2025-02-11,12,5203.9348725311,True,0.0000000000,982.3320202287
2025-02-11,18,8595.6234747464,True,23.3035693182,4.7350644205
2025-02-12,6,2802.4603587316,True,0.0000000000,5138.0767542330
2025-02-12,12,5465.4635869582,True,0.0000000000,283.7247332456
2025-02-12,18,10163.9953970071,True,237.2489617578,0.0000000000
2025-02-13,6,1307.0002486780,True,0.0000000000,2433.2677025544
2025-02-13,12,1569.7354387622,True,47.7570751877,52.1915328052
2025-02-13,18,1829.7745692086,True,0.0000000000,20.4126452776
2025-02-14,6,2192.7352167991,True,516.5007652547,0.0000000000
2025-02-14,12,-85.8425415013,False,50.8187195280,0.0000000000
2025-02-14,18,-1777.5554989075,False,738.6797724395,0.0000000000
2025-02-15,6,1573.1649715631,True,0.0000000000,532.2507072879
2025-02-15,12,6703.0355565191,True,175.3278656905,0.0000000000
2025-02-15,18,8354.4577685937,True,259.7374918664,0.0000000000
2025-02-16,6,2795.8859184468,True,0.0000000000,5120.3359673424
2025-02-16,12,5675.1709499559,True,0.0000000000,989.4904749713
2025-02-16,18,13572.5276456276,True,1522.5738008583,0.0000000000
2025-02-17,6,3187.6899170946,True,0.0000000000,6727.7723973328
2025-02-17,12,5721.6511379575,True,0.0000000000,2485.5721456192
2025-02-17,18,10362.0466840842,True,584.7502321715,1.4501708308
2025-02-18,6,3583.7572205012,True,676.2640893853,0.0000000000
2025-02-18,12,5494.3950000373,True,0.0000000000,79.4063206853
2025-02-18,18,11160.8498690737,True,845.9445816730,0.0000000000
2025-02-19,6,1087.9183766812,True,122.7583640412,0.0000000000
2025-02-19,12,17724.7847621870,True,3108.4016279796,0.0000000000
2025-02-19,18,7673.3426320267,True,0.0000000000,1.8344302899
2025-02-20,6,5410.4765825800,True,969.5665211315,1237.7242630123
2025-02-20,12,-11.1143054795,False,45.1146174321,341.0362926344
2025-02-20,18,-2452.0665743572,False,185.4030399950,0.0000000000
2025-02-21,6,393.4143993080,True,0.0000000000,0.0000000000
2025-02-21,12,2815.1026371730,True,45.9244834269,0.0000000000
2025-02-21,18,1511.7735801245,True,301.2764423430,0.0000000000
2025-02-22,6,2719.8617978022,True,443.7006752749,0.0000000000
2025-02-22,12,5372.0772688480,True,0.0000000000,324.3810238934
2025-02-22,18,11476.5449303041,True,944.6671627922,0.0000000000
2025-02-23,6,6547.0714098221,True,1479.4520875356,0.0000000000
2025-02-23,12,5875.4413512880,True,0.0000000000,2174.2690759692
2025-02-23,18,10074.8973511186,True,586.9951455800,0.0000000000
2025-02-24,6,1949.3294004350,True,337.1069442428,0.0000000000
2025-02-24,12,4718.5320284176,True,0.0000000000,610.7722309456
2025-02-24,18,9849.3945278559,True,755.5706191585,0.0000000000
2025-02-25,6,1115.8062953458,True,0.9477340014,1125.4845690208
2025-02-25,12,6040.2099830676,True,0.0000000000,4427.4011819361
2025-02-25,18,9538.4812167481,True,400.0971149863,0.0000000000
2025-02-26,6,9279.1057039975,True,2152.4214116211,0.0000000000
2025-02-26,12,16063.4393853884,True,2609.1026436189,0.0000000000
2025-02-26,18,9966.3799480159,True,454.4856903493,0.0000000000
2025-02-27,6,627.7244471739,True,83.3120245125,0.0000000000
2025-02-27,12,3985.0513723352,True,1151.9418439736,19.9516235422
2025-02-27,18,-243.4834709251,False,762.0511020364,0.0000000000
2025-02-28,6,1236.3164697059,True,273.5307225049,318.1140727406
2025-02-28,12,584.8316864012,True,212.5393866945,0.0000000000
2025-02-28,18,1670.2143331642,True,0.0000000000,6.2869263224
2025-03-01,6,1172.2598126965,True,0.0000000000,527.1603398621
2025-03-01,12,4132.8188258032,True,0.0000000000,46.3520573994
2025-03-01,18,7458.3361809264,True,1.2676178366,0.0000000000
2025-03-02,6,3200.4579286274,True,706.9742484959,9.4868520993
2025-03-02,12,5579.0455802250,True,0.0000000000,1473.9419707015
2025-03-02,18,11931.9723530557,True,1198.0621944300,0.0000000000
2025-03-03,6,4402.2569971553,True,405.5796001997,5293.7330968500
2025-03-03,12,7023.9490223315,True,415.2958190997,0.0000000000
2025-03-03,18,12569.7947455530,True,1228.4237163721,0.0000000000
2025-03-04,6,4172.6066561143,True,852.3629391809,0.0000000000
2025-03-04,12,4216.2081251816,True,111.2396222843,0.0000000000
2025-03-04,18,13318.8731183212,True,1168.7512653968,0.0000000000
2025-03-05,6,1544.1591379024,True,0.0000000000,2500.0336763613
2025-03-05,12,6711.1340232314,True,0.0000000000,4750.6466003817
2025-03-05,18,16470.7865549972,True,2087.3662927431,0.0000000000
2025-03-06,6,224.4502800908,False,0.0000000000,61.7060929739
2025-03-06,12,-2378.0266832651,False,0.0000000000,155.7897039149
2025-03-06,18,1093.7575434226,True,721.2771885827,0.0000000000
2025-03-07,6,404.4052993395,True,0.0000000000,890.0052128789
2025-03-07,12,1805.8245639023,True,0.0000000000,285.1885655452
2025-03-07,18,-7948.6163631382,False,401.7848271451,0.0000000000
2025-03-08,6,1238.6531069396,True,0.0000000000,94.9033625468
2025-03-08,12,5448.4345099479,True,0.0000000000,0.0000000000
2025-03-08,18,7064.6820911870,True,0.0000000000,7.5884410573
2025-03-09,6,3296.3265312965,True,0.0000000000,8430.2176873533
2025-03-09,12,12604.6464865032,True,1836.3880328385,0.0000000000
2025-03-09,18,8799.1741405893,True,299.6186783761,7.7890897134
2025-03-10,6,5480.5677931711,True,1301.4215005692,0.0000000000
2025-03-10,12,8849.5986395030,True,1177.7558615486,0.0000000000
2025-03-10,18,9777.4269122297,True,571.6134041432,0.0000000000
2025-03-11,6,33939.5209814160,True,7651.2854507919,0.0000000000
2025-03-11,12,4295.2944107270,True,0.0000000000,841.6589057457
2025-03-11,18,6848.8919491275,True,293.2242877926,0.0000000000
2025-03-12,6,2899.8456705796,True,0.0000000000,7095.2494796374
2025-03-12,12,10226.9699395363,True,1390.4980299712,0.0000000000
2025-03-12,18,8717.3537097681,True,319.6041383980,0.0000000000
2025-03-13,6,1177.6342064451,True,169.6261390733,272.7586309291
2025-03-13,12,995.0527740203,True,66.9523815279,441.5297998436
2025-03-13,18,-3897.4843098936,False,496.4124748619,0.0000000000
