date,issue,t,q_prev,q_new,delta,q_baseline_0000,delivery_price,issue_price,fee_attributed
2025-02-01,6,75,490.2723536650,395.0854484267,-95.1869052382,490.2723536650,0.3359000000,0.8102000000,-15.9866407348
2025-02-01,6,96,407.2855517300,402.7753202016,-4.5102315284,407.2855517300,0.6956000000,0.8102000000,-1.5686585256
2025-02-01,12,74,264.4475730182,0.0000000000,-264.4475730182,264.4475730182,0.4077000000,0.2979000000,-53.9076377598
2025-02-01,12,75,395.0854484267,0.0000000000,-395.0854484267,490.2723536650,0.3359000000,0.2979000000,-66.3546010633
2025-02-01,12,89,143.7298733880,0.0000000000,-143.7298733880,143.7298733880,0.5147000000,0.2979000000,-36.9888829164
2025-02-01,12,90,414.1364884512,56.8746801833,-357.2618082679,414.1364884512,0.5575000000,0.2979000000,-99.5867290547
2025-02-01,12,91,220.4268282476,93.5911585129,-126.8356697347,220.4268282476,0.6606000000,0.2979000000,-41.8938217134
2025-02-01,12,92,235.8495361142,142.2806711407,-93.5688649735,235.8495361142,0.6880000000,0.2979000000,-32.1876895509
2025-02-01,12,93,299.4230482778,178.4270332109,-120.9960150669,299.4230482778,0.6617000000,0.2979000000,-40.0315315849
2025-02-01,12,94,339.1130207264,238.5679652250,-100.5450555014,339.1130207264,0.6465000000,0.2979000000,-32.5011891908
2025-02-01,12,95,394.9873657736,296.6490803866,-98.3382853870,394.9873657736,0.6667000000,0.2979000000,-32.7810674338
2025-02-01,12,96,402.7753202016,302.8111773082,-99.9641428934,407.2855517300,0.6956000000,0.2979000000,-34.7675288983
2025-02-01,12,97,417.1789132437,334.5571101190,-82.6218031247,417.1789132437,0.7032000000,0.2979000000,-29.0498259787
2025-02-01,12,98,468.3987654011,389.7759003961,-78.6228650050,468.3987654011,0.7041000000,0.2979000000,-27.6791796250
2025-02-01,12,99,499.3381397456,440.2796292788,-59.0585104667,499.3381397456,0.7357000000,0.2979000000,-21.7246730752
2025-02-01,12,100,469.3991994611,424.3785527835,-45.0206466776,469.3991994611,0.7466000000,0.2979000000,-16.8062074048
2025-02-01,12,101,410.6652306083,381.5748215887,-29.0904090196,410.6652306083,0.7383000000,0.2979000000,-10.7387244896
2025-02-01,12,102,444.7470358974,397.2453315756,-47.5017043218,444.7470358974,0.7642000000,0.2979000000,-18.1504012214
2025-02-01,12,103,458.5434832114,431.1321161305,-27.4113670810,458.5434832114,0.7870000000,0.2979000000,-10.7863729464
2025-02-01,12,104,448.4686717602,439.0667539136,-9.4019178466,448.4686717602,0.7750000000,0.2979000000,-3.6432431656
2025-02-01,18,131,1237.7174172430,1236.0462390677,-1.6711781753,1237.7174172430,0.3205000000,1.0662000000,-0.2678063026
