soc_kwh,normalized_cost
1200.0,135438.5971544614
1680.0,134841.34333435923
2160.0,134246.77430483318
2640.0,133653.80138210312
3120.0,133063.90392734463
3600.0,132477.08898989815
4080.0,131892.37332726404
4560.0,131311.40432319682
5040.0,130732.03782843756
5520.0,130154.2743152617
6000.0,129581.57681512485
6480.0,129010.57831751592
6960.0,128441.84712909437
7440.0,127877.3573677335
7920.0,127315.43923291059
8400.0,126758.32405036362
8880.0,126207.63189916477
9360.0,125661.2353789882
9840.0,125124.41359075478
10320.0,124594.56058191719
10800.0,124070.42249941466
