date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,mean_price,balance_error,dynamics_error,soc_min,soc_max
2025-01-01,58172.159561,26302.985579,0.000000,20442.909048,104918.054187,103580.093832,80811.602658,97260.115001,3134.457556,16448.512343,0.000000,28099.739944,19841.996228,101.658825,6000.000000,9243.103474,0.926522,0.000000,0.000000,1200.000000,10387.264632
2025-01-02,75773.220906,1199.771235,-812.610016,354.109616,76514.491742,76787.016792,98052.496055,97165.673851,80.169150,728.775500,1615.597704,23770.713487,19848.797964,438.688212,9243.103474,8582.525651,0.926603,0.000000,0.000000,1200.000000,10755.667777
2025-01-03,56910.949741,0.000000,-10130.221695,4484.246236,51264.974281,51356.784487,95755.809232,68746.295691,1164.063485,0.000000,27009.513541,13378.020925,11036.483150,22063.880034,8582.525651,8359.985429,0.738624,0.000000,0.000000,1200.000000,10800.000000
2025-01-04,43355.442868,0.000000,-5392.141429,716.425727,38679.727167,38868.291644,78474.985812,63044.377479,179.796166,0.000000,15430.608334,14026.725531,11773.005683,16204.851431,8359.985429,7902.920981,0.730317,0.000000,0.000000,1200.000000,10800.000000
2025-01-05,50374.469548,33489.477248,0.000000,34267.323814,118131.270609,117563.796866,72279.146100,91822.764937,5244.586490,19543.618838,0.000000,24752.039003,18811.193790,90.795914,7902.920981,9278.429650,0.925232,0.000000,0.000000,1200.000000,9462.468161
2025-01-06,55118.444022,26817.701085,-1.016238,19820.505732,101755.634602,101908.138137,76392.166695,92037.024453,2865.305059,15647.655001,2.797243,23424.405801,19306.458878,151.901489,9278.429650,8908.773895,0.928992,0.000000,0.000000,1200.000000,10278.405574
2025-01-07,70149.365765,7631.107756,0.000000,117.979598,77898.453120,78095.972999,92404.117354,97405.095125,16.158269,5000.977771,0.000000,25113.418735,20772.763607,513.697316,8908.773895,8430.002304,0.923422,0.000000,0.000000,1225.001819,10800.000000
2025-01-08,83290.174698,0.000000,-4989.325873,109.446682,78410.295506,78088.494059,107602.517176,97112.360179,15.644428,0.000000,10490.156997,25614.546329,20045.764825,2033.221787,8430.002304,9210.021972,0.917374,0.000000,0.000000,1200.000000,10800.000000
2025-01-09,73081.309161,1487.853201,-300.690718,321.085405,74589.557049,76148.524294,94383.598491,94534.836376,45.423951,943.690683,792.452797,22220.299994,21399.368040,2667.772256,9210.021972,5431.216367,0.920592,0.000000,0.000000,1200.000000,10800.000000
2025-01-10,28119.309222,1674.139181,-2786.276321,369.976582,27377.148664,26963.368053,59636.752042,51945.568185,106.033686,1003.431387,8694.615244,22326.829630,17182.059512,1416.165036,5431.216367,6434.185798,0.729304,0.000000,0.000000,1200.000000,10800.000000
