date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-981.5018549798,0.0000000000,22785.0383129779,22522.1180869771,44945.8823612059,41814.2748854894,0.0000000000,0.0000000000,3131.6074757165,3066.3871252533,1520.6548179639,2157.9513528432,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57050.8105338289,0.0000000000,-1588.4819302791,1.8893352280,55464.2179387779,55531.2068345225,90201.0389328207,85633.8310538206,0.4033593570,0.0000000000,4567.2078790001,3130.5632438284,2157.9513528432,1995.5758985739,0.0000000000,0.0000000000,1389.5368488871,10800.0000000000
2025-02-03,57977.5942341224,0.0000000000,-2026.3098975889,195.9556760437,56147.2400125772,56273.9919138002,91798.0535885424,86149.5729256417,29.2446759108,0.0000000000,5648.4806629007,1745.0380767264,1995.5758985739,1688.3399408560,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60095.0451668077,0.0000000000,-2000.3529122475,0.0000000000,58094.6922545602,58099.0751980347,94449.7963478583,89247.6834928576,0.0000000000,0.0000000000,5202.1128550007,3485.8363702748,1688.3399408560,1677.7160541685,0.0000000000,0.0000000000,1376.5168559519,10800.0000000000
2025-02-05,55917.5459618451,297.6398210531,-134.7798027369,0.0000000000,56080.4059801614,56028.3555128139,88660.0266510134,88592.4715530255,0.0000000000,284.4858521449,352.0409501327,3187.4056711474,1677.7160541685,1803.8820132658,0.0000000000,0.0000000000,1357.4519811973,10800.0000000000
2025-02-06,60068.4421983093,0.0000000000,-2235.1074957695,285.7538500510,58119.0885525908,58160.9496821051,94465.2059512054,88475.3852355832,52.4471734363,0.0000000000,5989.8207156223,3936.8446221673,1803.8820132658,1702.4141528755,0.0000000000,0.0000000000,1432.8017517494,10800.0000000000
2025-02-07,22902.3629140853,0.0000000000,-780.2656161303,56.6130129122,22178.7103108671,22265.0700597319,44001.5255472065,41058.8126194485,12.4124260477,0.0000000000,2942.7129277580,5762.7953294986,1702.4141528755,1493.0853783581,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19177.5684801405,651.8521492317,-3.8347552802,243.1097357129,20068.6956098049,20002.9607684006,37193.0268032019,37722.3590019907,39.7693007873,537.4711776017,8.1389788129,2409.6972007095,1493.0853783581,1652.4211102835,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55537.1831531493,502.4636359627,-622.3180753128,0.0000000000,55417.3287137992,55489.9976603320,88178.1297379491,87051.2211190206,0.0000000000,428.8625294822,1555.7711484107,3304.1431372331,1652.4211102835,1476.2776901932,0.0000000000,0.0000000000,1288.1450464412,10800.0000000000
2025-02-10,52475.1483309603,19.5388612685,-2481.9171051729,13520.3414078066,63533.1114948625,63618.1076539643,84013.0600323986,76757.9027304407,2009.4066260896,11.7334596966,7266.8907616544,545.0222015639,1476.2776901932,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,0.0000000000,-2092.4207234992,4741.8615415459,56204.9669525736,56135.4874046986,85307.5142025036,79839.7108968956,900.7187873782,0.0000000000,5467.8033056081,839.1839461746,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,0.0000000000,-2386.0989964774,11301.1741491308,62233.0390560798,62272.9337594075,85172.4740136200,78520.0268519291,1740.6700747476,0.0000000000,6652.4471616909,744.1601151463,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,50.0981374567,-1349.9387920852,2142.4479643212,50150.6165331080,50121.1651195864,79870.0350400066,75848.0711483592,317.7090001258,31.4991287184,4053.4630203658,402.1282713309,1341.9653198752,1413.3530714762,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18606.0635876339,773.4735979901,0.0000000000,635.0705223008,20014.6077079248,20041.2881409218,36237.6344369770,36850.9722216965,103.8885199249,613.3377847195,0.0000000000,3688.7914640957,1413.3530714762,1348.6819438239,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
