parameter,low_value,high_value,arc_elasticity
eta,0.85,0.95,-0.6322652944785564
capacity,9600.0,14400.0,-0.22056643822795394
power,4000.0,6000.0,-0.03140521687116732
window,14.0,56.0,0.000869839177842671
decay_days,7.0,28.0,0.001470853271497972
bias_window,3.0,12.0,-0.005942107932303205
slope,0.2,3.2,-0.0005911634249260923
weekday,0.0125,0.1,0.003147237647501191
up,1.2,1.8,0.05243045254873203
emergency,3.0,7.0,0.02195983813989933
forecast_scale,0.9,1.1,0.03248820691486655
alpha0,0.45,0.9,0.03535517210084178
