date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23887.9022537811,0.0000000000,-1119.8694623344,0.0000000000,22768.0327914466,22610.3332787187,45149.0481218015,41707.9780880561,0.0000000000,0.0000000000,3441.0700337454,3202.2815858712,1520.6548179639,1902.9051854703,0.0000000000,0.0000000000,1476.4346631173,10800.0000000000
2025-02-02,57167.0629068154,0.0000000000,-1954.6680651596,1026.2683332572,56238.6631749130,56315.5507082198,90463.6226436207,85095.9677215925,147.4450488808,0.0000000000,5367.6549220281,2729.2440046048,1902.9051854703,1716.5362655238,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,57772.6806347668,534.0311930828,-1869.6703481092,23.7530257099,56460.7945054504,56364.7408108248,91661.0668803569,86669.9862538519,5.0710985717,298.3792506704,5289.4598771753,1664.8408729244,1716.5362655238,1949.3623499919,0.0000000000,0.0000000000,1218.1469279114,10800.0000000000
2025-02-04,59952.3428032693,0.0000000000,-2461.0587931850,48.8947652600,57540.1787753443,57724.7256041987,94134.7207475648,87815.2110380965,23.2943140829,0.0000000000,6319.5097094683,2475.5178110849,1949.3623499919,1502.0363441504,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55962.1942958465,281.4008560608,-863.6053790804,74.2978693800,55454.2876422069,55403.2724453963,88800.6816077303,86857.1362589877,10.7811950825,241.9186501951,2185.4639989377,1430.3324202569,1502.0363441504,1625.6928944589,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60124.5598870885,402.6147730446,-3019.8301199321,289.8885164983,57797.2330566994,57711.3917613581,94623.3933520668,86473.0855105300,53.1226477773,209.0096137764,8359.3174553132,1603.4872840846,1625.6928944589,1833.7649812004,0.0000000000,0.0000000000,1552.1793068433,10800.0000000000
2025-02-07,22946.4564913304,0.0000000000,-1128.7940732570,283.7519388964,22101.4143569699,22250.9146811322,44006.0898788568,40090.5192515226,61.6555495035,0.0000000000,3915.5706273342,5023.2657384978,1833.7649812004,1471.3887578068,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19265.3027882473,738.5812231176,-2.6252042170,0.0000000000,20001.2588071479,19896.6395989621,37322.9259447849,37814.3577793415,0.0000000000,497.0542527364,5.6224181797,2374.7319126750,1471.3887578068,1724.9769273924,0.0000000000,0.0000000000,1253.1882305398,10800.0000000000
2025-02-09,55480.0245679521,444.8455398992,-800.3521411869,0.0000000000,55124.5179666645,55232.7182989560,88061.6936290017,86269.7090083153,0.0000000000,373.7992173507,2165.7838380371,2622.0648651528,1724.9769273924,1462.7084138928,0.0000000000,0.0000000000,1276.9641470942,10800.0000000000
2025-02-10,52141.0307073047,98.5435099703,-1372.4958600744,88.4499622526,50955.5283194532,51040.9828723832,83568.0136456654,79676.2664020019,19.4416885927,58.7207227077,3950.4679663712,1085.2667390084,1462.7084138928,1255.5737582585,0.0000000000,0.0000000000,1202.3268935642,10800.0000000000
2025-02-11,53532.8536746471,0.0000000000,-2187.3689092297,5136.0089550459,56481.4937204633,56406.4283469254,85279.5304673914,79720.0616208067,966.1619418270,0.0000000000,5559.4688465847,763.3176412672,1255.5737582585,1437.5259160396,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53288.1132955984,696.5298925372,-1860.6742555991,1495.5900573577,53619.5589898941,53660.3560404577,85130.0793123862,80318.4300488923,309.0321182265,360.6419526423,5172.2912161362,891.3423567014,1437.5259160396,1338.6372936124,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49268.9413739336,103.0159004828,-1092.9904818970,1057.5425975266,49336.5093900460,49309.9975567140,79818.0448999153,76808.2941178477,173.2167900436,90.3913926730,3100.1421747406,1167.4586243181,1338.6372936124,1402.8997498441,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18694.9395887717,2049.2944403929,0.0000000000,0.0000000000,20744.2340291647,20454.3401113311,36375.2542360815,37826.6233298156,0.0000000000,1451.3690937341,0.0000000000,3815.7593801517,1402.8997498441,2105.5782471514,0.0000000000,0.0000000000,1402.8997498441,10800.0000000000
2025-02-15,18361.0143948592,575.8497892383,-166.9276177918,0.0000000000,18769.9365663057,19103.4601943019,34901.5703033804,34881.6120609891,0.0000000000,446.1862166055,466.1444589968,3051.5721746646,2105.5782471514,1297.1449985745,0.0000000000,0.0000000000,1265.3130785072,10800.0000000000
2025-02-16,52631.9241058485,2979.3243518434,-2291.5563755373,1869.7606536536,55189.4527358082,55127.9561474164,84377.6784057210,79648.4596500222,393.4956116319,1592.3243912684,6321.5431469671,167.8970568922,1297.1449985745,1446.2075613340,0.0000000000,0.0000000000,1200.0000000000,10777.1061533526
