issue,target,samples,mae_kw,rmse_kw,midnight_rmse_same_targets
0,executed_next_6h,12024,10.5578072217,43.6711770046,
0,full_24h_horizon,48096,197.4909724981,383.0269248527,
0,same_targets_vs_midnight,12024,10.5578072217,43.6711770046,43.6711770046
6,executed_next_6h,12024,184.6869515164,269.6282640814,
6,full_24h_horizon,48096,122.4284583552,236.8516210899,
6,same_targets_vs_midnight,12024,184.6869515164,269.6282640814,484.6692374715
12,executed_next_6h,12024,140.3782805001,192.7780920459,
12,full_24h_horizon,48096,212.4891696780,524.0850668937,
12,same_targets_vs_midnight,12024,140.3782805001,192.7780920459,589.8209328502
18,executed_next_6h,12024,10.0151408433,42.9233529016,
18,full_24h_horizon,48096,270.5158940565,528.5387064655,
18,same_targets_vs_midnight,12024,10.0151408433,42.9233529016,46.2420411325
