month,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,no_update_cost,saving
2025-02,1175322.547681279,35202.5456879378,-28955.8504940473,22641.777370119802,1204211.0202452894,1274056.2263014,69845.20605611056
2025-03,1054562.8633012604,56488.937432984,-19888.6556339039,12433.5885697349,1103596.7336700745,1227065.6593521645,123468.92568208999
2025-04,861204.0686756637,50833.0619404529,-11244.3646529845,16199.786946678101,916992.55290981,1032972.0119363673,115979.45902655728
2025-05,867500.8034700546,62279.0785797433,-15015.4017900144,45960.8731278112,960725.3533875946,1096010.2972691825,135284.94388158794
2025-06,1189487.9388104554,101126.28830137549,-25494.2738788978,24864.4491543136,1289984.4023872467,1436773.6113452143,146789.20895796758
2025-07,1364396.5671677967,107380.7708642093,-31569.3545199255,42175.4733592804,1482383.4568713605,1787484.8404606574,305101.38358929683
2025-08,1224668.0691936119,37338.6519836582,-26991.7911971232,29717.4238277575,1264732.3538079045,1324943.6254139876,60211.27160608303
2025-09,1060702.3981151402,65987.9374039049,-28594.0260000025,31727.5323569174,1129823.8418759604,1260569.0070572342,130745.16518127383
2025-10,1040617.4082798618,67065.3719526529,-21975.058018404,34795.670628409,1120503.3928425193,1270642.9875902955,150139.59474777617
2025-11,1194705.7229058037,53112.4902982736,-13407.8050189766,17837.7498094515,1252248.1579945518,1346226.4316206437,93978.27362609189
2025-12,1571299.063981682,74971.3791100881,-18357.7854845072,32972.3605264291,1660885.018133692,1808503.5855878573,147618.5674541653
